Book Name,Authors,Info,Image URL
"One Piece, Vol. 8",Eiichiro Oda,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/695924E612932FB94239204FC00590DE08DBCD64.jpeg
Inventions,Glenn Murphy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416938656"", ""ISBN13:"": ""9781416938651"", ""Release Date:"": ""March 2009"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""64 Pages"", ""Weight:"": ""1.36 lbs."", ""Dimensions:"": ""0.5\"" x 9.6\"" x 10.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/B982C380CDEF181C786ABE64BF8A5D5FFA27D72B.jpeg
Disney-Pixar Ratatouille (Disney's Wonderful World of Reading),Walt Disney Company,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439024153"", ""ISBN13:"": ""9780439024150"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Scholastic"", ""Length:"": ""45 Pages"", ""Weight:"": ""0.35 lbs.""}",https://m.media-amazon.com/images/I/51t1G6FFAiL._SL350_.jpg
"Yu-Gi-Oh!: Duelist, Vol. 10",Kazuki Takahashi,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/39C50DAFC1F18426D50E1BBB2627F78D62AD6DC7.jpeg
"Initial D, Volume 20",Shuichi Shigeno,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/259FBDD805EE6D8F5F90343F04CA7CB6EFB0EC2C.jpeg
"Shaman King, Volume 29",Hiroyuki Takei,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/852927FE11E8E9AA99BCA95CEEBAA10C1E81834E.jpeg
"Zatch Bell!, Vol. 1",Makoto Raiku,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/C35DC5B0776108C813FCF035821E611F3A77B5C0.jpeg
"Fake, Volume 6",Sanami Matoh,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1591823315"", ""ISBN13:"": ""9781591823315"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""TokyoPop"", ""Length:"": ""188 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 7.4\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9F2CEF23C312387705C12FD126B983BDCF38EC46.jpeg
"Boys Over Flowers, Volume 28: Hana Yori Dango",Yōko Kamio,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/0158A8D8A3B0480D059561446522957C0C1D572D.jpeg
"Is, Vol. 7, 7",Masakazu Katsura,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1421506483"", ""ISBN13:"": ""9781421506487"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Viz Media"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 7.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/97689B8AF7FBF13483ABEC3A2D1F03F9D328A5BD.jpeg
Wonderstruck (Schneider Family Book Award - Middle School Winner),Brian Selznick,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0545027896"", ""ISBN13:"": ""9780454027891"", ""Release Date:"": ""September 2011"", ""Publisher:"": ""Scholastic Press"", ""Length:"": ""640 Pages"", ""Weight:"": ""2.83 lbs."", ""Dimensions:"": ""8.5\"" x 2.0\"" x 5.8\""""}",https://m.media-amazon.com/images/I/51oyP40W-8L._SL350_.jpg
"Naruto, Vol. 2",Masashi Kishimoto,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1591161789"", ""ISBN13:"": ""9781591161783"", ""Release Date:"": ""December 2003"", ""Publisher:"": ""Viz Media"", ""Length:"": ""204 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""0.8\"" x 5.0\"" x 7.3\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/5C934AA933181613687F01FD6FD1582530FA4A77.jpeg
"The Legend of Zelda, Vol. 1: The Ocarina of Time - Part 1",Akira Himekawa,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1421523272"", ""ISBN13:"": ""9781421523279"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""Viz Media"", ""Length:"": ""200 Pages"", ""Weight:"": ""0.38 lbs."", ""Dimensions:"": ""0.6\"" x 5.1\"" x 7.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/EC499818DF2C4294ED6D885D4137D803C4E4305C.jpeg
