Book Name,Authors,Info,Image URL
Cats and Dogs: Mutts II,Patrick McDonnell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0836237323"", ""ISBN13:"": ""9780836237320"", ""Release Date:"": ""October 1997"", ""Publisher:"": ""Andrews McMeel Publishing, LLC"", ""Length:"": ""130 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.3\"" x 8.5\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/7A018B3598F1C9481CA838FFE340518846392CA6.jpeg
Truly Tasteless Cartoons,National Lampoon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0809239132"", ""ISBN13:"": ""9780809239139"", ""Release Date:"": ""September 1992"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""1 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.5\"" x 8.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8017843635199DA3E3EC81DDEEB8DE133DC6ABED.jpeg
The Smithsonian Collection of Newspaper Comics,Bill Blackbeard,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874741726"", ""ISBN13:"": ""9780874741728"", ""Release Date:"": ""June 1977"", ""Publisher:"": ""Smithsonian Books (DC)"", ""Length:"": ""336 Pages"", ""Weight:"": ""5.60 lbs.""}",https://m.media-amazon.com/images/I/51QftYe7olL._SL350_.jpg
Getting Started Drawing and Selling Cartoons,Glasbergen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891344713"", ""ISBN13:"": ""9780891344711"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Northlight"", ""Length:"": ""117 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""0.7\"" x 7.8\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/94EB0B37EBFE7F0D35C4703150E500DE9D891F27.jpeg
The New Yorker Book of Teacher Cartoons,Lee Lorenz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1576601307"", ""ISBN13:"": ""9781576601303"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Bloomberg Press"", ""Length:"": ""118 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.6\"" x 8.2\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/A198C7CA4231DC6B560140890FFD74AFE063BF49.jpeg
Mad: The Half-Wit and Wisdom of Alfred E. Neuman,MAD Magazine,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""044691200X"", ""ISBN13:"": ""9780446912006"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Warner Books (NY)"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.6\"" x 5.8\"" x 5.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/D22A1870D6B6EEB4E2B7C2A1008CDF89B03F3438.jpeg
Garfield Beefs Up,Jim Davis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345441095"", ""ISBN13:"": ""9780345441096"", ""Release Date:"": ""October 2000"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.63 lbs."", ""Dimensions:"": ""0.3\"" x 8.5\"" x 9.1\"""", ""Age Range:"": ""9 to 13 years"", ""Grade Range:"": ""Grades 4 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/9776A82816EF938FFA3C34064D9CF3DF66A9BED1.jpeg
Happiness Is a Warm Puppy,Charles M. Schulz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1933662077"", ""ISBN13:"": ""9781933662077"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Cider Mill Press"", ""Length:"": ""72 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 5.5\"""", ""Age Range:"": ""8 to 13 years"", ""Grade Range:"": ""Grades 3 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/3BAB7A877C644FCCE7FFDC9EEC95A520BE4653D9.jpeg
"Wildlife Preserves, 13",Gary Larson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0836218426"", ""ISBN13:"": ""9780836218428"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""Andrews McMeel Publishing"", ""Length:"": ""104 Pages"", ""Weight:"": ""0.34 lbs."", ""Dimensions:"": ""0.3\"" x 8.3\"" x 5.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/52FE2456EE11397B83C63A3F78A8D28172190C6A.jpeg
Camp Foxtrot,Bill Amend,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/42654929CD30084E19266265D4AFC30EFCE4649D.jpeg
