Book Name,Authors,Info,Image URL
Bridge to Terabithia,Katherine Paterson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064401847"", ""Release Date:"": ""May 2017"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""7.6\"" x 0.4\"" x 5.1\""""}",https://m.media-amazon.com/images/I/51ABTKFhTzL._SL350_.jpg
The Mysterious Benedict Society,Trenton Lee Stewart,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316003956"", ""ISBN13:"": ""9780316003957"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""1.4\"" x 5.2\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/195B1F9BFCE46844553DF53989396B1F77721132.jpeg
"Gathering Blue, 2",Lois Lowry,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547904142"", ""ISBN13:"": ""9780547904146"", ""Release Date:"": ""March 2013"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.51 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/DBB6F221986CE60353EF220003F0C8D3AABA6869.jpeg
Where the Mountain Meets the Moon (Newbery Honor Book),Grace Lin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316038636"", ""ISBN13:"": ""9780316038638"", ""Release Date:"": ""July 2019"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.81 lbs."", ""Dimensions:"": ""1.0\"" x 5.2\"" x 7.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/22126DB7EF3518E7895D99D32DD8DE2A2D06C458.jpeg
When You Reach Me,Rebecca Stead,"{""Format:"": ""Mass Market Paperback"", ""ISBN:"": ""0375850864"", ""ISBN13:"": ""9781921656064"", ""Release Date:"": ""February 2010"", ""Publisher:"": ""Text Publishing"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""7.8\"" x 0.6\"" x 5.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2639B91EE30635BE2B58AFFA60C7CF959B6E899B.jpeg
"Among the Hidden (Shadow Children, One)",Margaret Peterson Haddix,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0545139104"", ""ISBN13:"": ""9780545139106"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Scholastic"", ""Length:"": ""153 Pages"", ""Weight:"": ""0.26 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/190EFC3B0CC23F8D82BEBC8649966B4FA4F83D33.jpeg
Dealing with Dragons,Patricia C. Wrede,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""015204566X"", ""ISBN13:"": ""9780152045661"", ""Release Date:"": ""November 2002"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""212 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.8\"" x 4.4\"" x 6.9\"""", ""Age Range:"": ""10 to 12 years"", ""Grade Range:"": ""Grades 5 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/004C8DC21536F43DD8C9EAF30D3CB31E7263F345.jpeg
Magyk,Angie Sage,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060577312"", ""ISBN13:"": ""9780060577315"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""Katherine Tegen Books"", ""Length:"": ""576 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.6\"" x 5.8\"" x 7.4\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/319A9B3514FB51214A424E8FE636B9702437CB10.jpeg
Lioness Rampant (4) (Song of the Lioness),Tamora Pierce,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0689878575"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Simon Pulse"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""7.0\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41vZJoZ+S8L._SL350_.jpg
The Woman Who Rides Like a Man,Tamora Pierce,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067980112X"", ""ISBN13:"": ""9780679801122"", ""Release Date:"": ""April 1990"", ""Publisher:"": ""Random House Children's Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.9\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/8D2C2AB5559B8A477EC4DFA8B894F87612128EFB.jpeg
Gregor and the Code of Claw (the Underland Chronicles #5): Volume 5,Suzanne Collins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0439791448"", ""ISBN13:"": ""9780439791441"", ""Release Date:"": ""June 2013"", ""Publisher:"": ""Scholastic Paperbacks"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""1.0\"" x 5.4\"" x 7.6\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/A97B2011EF470F86F96FD06356C98D8970D8685B.jpeg
Rakkety Tam,Brian Jacques,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399237259"", ""ISBN13:"": ""9780399237256"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Philomel Books"", ""Length:"": ""372 Pages"", ""Weight:"": ""1.54 lbs."", ""Dimensions:"": ""1.3\"" x 6.2\"" x 9.4\"""", ""Age Range:"": ""10 years and up"", ""Grade Range:"": ""Grade 5 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/8D87AE4FEC140A24C56647EA4BC7DD3C2C92AA42.jpeg
"The Rivers of Zadaa, 6",D.J. MacHale,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416907106"", ""ISBN13:"": ""9781416907107"", ""Release Date:"": ""July 2005"", ""Publisher:"": ""Aladdin Paperbacks"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.4\"" x 5.8\"" x 8.3\"""", ""Age Range:"": ""10 to 14 years"", ""Grade Range:"": ""Grades 5 to 9""}",https://i.thriftbooks.com/api/imagehandler/m/ED4A11FFF246562672CB2C1526601B820A676D7F.jpeg
The Thief Lord (BOOK SENSE BOOK OF THE YEAR CHILDREN'S LITERATURE (AWARDS)),Cornelia Funke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439404371"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Scholastic"", ""Length:"": ""349 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""8.8\"" x 1.3\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41vPHMVuapL._SL350_.jpg
Freddy and the French Fries #1:: Fries Alive!,David Baldacci,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316159980"", ""ISBN13:"": ""9780316159982"", ""Release Date:"": ""June 2005"", ""Publisher:"": ""Little, Brown Young Readers"", ""Length:"": ""164 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.1\"""", ""Age Range:"": ""7 to 12 years"", ""Grade Range:"": ""Grades 2 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/124BC431C1DC1D0B1E685E7A8E461DD2E3CCC987.jpeg
