Book Name,Authors,Info,Image URL
Essentials of Comparative Politics,Patrick H. O'Neil,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393624587"", ""ISBN13:"": ""9780393624588"", ""Release Date:"": ""November 2017"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""367 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""0.5\"" x 6.8\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B35B2C7E52EA59BC675AC670FA7992608AC4628D.jpeg
Are We Rome?: The Fall of an Empire and the Fate of America,Cullen Murphy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0618742220"", ""ISBN13:"": ""9780618742226"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""262 Pages"", ""Weight:"": ""1.54 lbs."", ""Dimensions:"": ""0.9\"" x 5.7\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/329E3482CEE5B8C367B0BC1D4392804D63B54326.jpeg
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307719227"", ""ISBN13:"": ""9780307719225"", ""Release Date:"": ""September 2013"", ""Publisher:"": ""Crown Currency"", ""Length:"": ""544 Pages"", ""Weight:"": ""0.98 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/705918CA7007F02AA6DBA3FF40F9B5E35AD29F5A.jpeg
The Future of Freedom: Illiberal Democracy at Home and Abroad,Fareed Zakaria,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0393047644"", ""Release Date:"": ""April 2003"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""9.6\"" x 1.0\"" x 6.5\""""}",https://m.media-amazon.com/images/I/41SLH-z7TXL._SL350_.jpg
Cases in Comparative Politics,Patrick H. O'Neil,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393624595"", ""ISBN13:"": ""9780393624595"", ""Release Date:"": ""November 2017"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""784 Pages"", ""Weight:"": ""2.45 lbs."", ""Dimensions:"": ""1.1\"" x 6.8\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/84AD0F6C74115EBBC04210107AFA306DEC6BD894.jpeg
"Comparative Politics: Integrating Theories, Methods, and Cases",Jonathan Eastwood,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0190270993"", ""ISBN13:"": ""9780190270995"", ""Release Date:"": ""July 2015"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""672 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""1.2\"" x 9.2\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B9D2B81C679542E7FC2E2634C306BC2590943DDD.jpeg
The Cheating Culture: Why More Americans Are Doing Wrong to Get Ahead,David Callahan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0151010188"", ""ISBN13:"": ""9780151010189"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""368 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/AF34B7BF915934561EE385D0A532C63F8944E97F.jpeg
The Cost of Living,Arundhati Roy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375756140"", ""ISBN13:"": ""9780375756146"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Modern Library"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""8.0\"" x 0.3\"" x 5.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/04DDB6494E2F44E6BCAED9ACB42D79259837500F.jpeg
Eye to Eye: Facing the Consequences of Dividing Israel,William R. Koenig,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0971734704"", ""ISBN13:"": ""9780971734708"", ""Release Date:"": ""August 2017"", ""Publisher:"": ""Christian Publications"", ""Length:"": ""576 Pages"", ""Weight:"": ""1.14 lbs.""}",https://m.media-amazon.com/images/I/516jIF5KqQL._SL350_.jpg
"Then They Came for Me: A Family's Story of Love, Captivity, and Survival",Aimee Molloy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1400069467"", ""ISBN13:"": ""9781400069460"", ""Release Date:"": ""June 2011"", ""Publisher:"": ""Random House"", ""Length:"": ""356 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/5535F97E25E1AD8A417E6103A7001F50B811DAEB.jpeg
Comparative Politics: Domestic Responses to Global Challenges,Charles Hauss,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1285465504"", ""ISBN13:"": ""9781285465500"", ""Release Date:"": ""January 2014"", ""Publisher:"": ""Cengage Learning"", ""Length:"": ""528 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""0.8\"" x 8.0\"" x 9.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/E763D2653278BD7B4BEB8626912AB549E0507E64.jpeg
Principles of Comparative Politics,William Roberts Clark,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0872892891"", ""ISBN13:"": ""9780872892897"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""CQ Press"", ""Length:"": ""764 Pages"", ""Weight:"": ""3.00 lbs."", ""Dimensions:"": ""1.3\"" x 7.4\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/CBA6642D9BC941D1E48E5B791BECDF026B266433.jpeg
Comparative Politics,Daniele Caramani,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0199665990"", ""ISBN13:"": ""9780199665990"", ""Release Date:"": ""February 2014"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""576 Pages"", ""Weight:"": ""2.90 lbs."", ""Dimensions:"": ""1.0\"" x 7.7\"" x 10.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/A8C8D1BF47D048C2781B14CBC9D49FD932D1B80D.jpeg
Comparative Government and Politics: An Introduction,John McCormick,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1352005050"", ""ISBN13:"": ""9781352005059"", ""Release Date:"": ""February 2019"", ""Publisher:"": ""Red Globe Press"", ""Length:"": ""404 Pages"", ""Weight:"": ""2.10 lbs."", ""Dimensions:"": ""0.6\"" x 7.6\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/D8AFF72B10A265A71B96234CC73E034EE19A33EC.jpeg
The Good Society: An Introduction to Comparative Politics,Ansil Ramsay,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0205082785"", ""ISBN13:"": ""9780205082780"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Pearson"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.0\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/51626CACDFD0AA2BCD4639DD500EFDC500659A48.jpeg
Comparative Politics: A Theoretical Framework,Gabriel A. Almond,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0321089855"", ""ISBN13:"": ""9780321089854"", ""Release Date:"": ""August 2003"", ""Publisher:"": ""Longman Publishing Group"", ""Length:"": ""209 Pages"", ""Weight:"": ""0.05 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/C765A50A47CB2C2A9B594B6F5FB4602801973104.jpeg
The Presidentialization of Politics: A Comparative Study of Modern Democracies,Thomas Poguntke,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/83F204E7E454314844B7B2A7ADC842BAD0001A84.jpeg
Roman Law: An Historical Introduction,Hans Julius Wolff,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0806112964"", ""ISBN13:"": ""9780806112961"", ""Release Date:"": ""March 1976"", ""Publisher:"": ""University of Oklahoma Press"", ""Length:"": ""274 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 5.0\"" x 7.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/2543A47EC18B2D125197628461D29D845806FF6E.jpeg
"Presidentialism, Parliamentarism, and Democracy",José Antonio Cheibub,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0521542448"", ""ISBN13:"": ""9780521542449"", ""Release Date:"": ""November 2006"", ""Publisher:"": ""Cambridge University Press"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.6\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/44EDC06AE5F123DC7B6D2DD8CB1F017EA88DE4AE.jpeg
Deliberate Discretion?: The Institutional Foundations of Bureaucratic Autonomy,Charles R. Shipan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0521520703"", ""ISBN13:"": ""9780521520706"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Cambridge University Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.98 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/DBEB70D607B69797D671A9D70CDAAA96B5DA8F0F.jpeg
The Gulag Archipelago: The Authorized Abridgement,Aleksandr Solzhenitsyn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061253804"", ""ISBN13:"": ""9780061253805"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""1.5\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/F220A6AAC8D733C80668C0CE53EA97D70B3D99CF.jpeg
The Accidental Superpower: The Next Generation of American Preeminence and the Coming Global Disorder,Peter Zeihan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1455583685"", ""ISBN13:"": ""9781455583683"", ""Release Date:"": ""February 2016"", ""Publisher:"": ""Twelve"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""1.0\"" x 5.9\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/70D96D88688E68F5436F233E0AA44DED636B9C2A.jpeg
The Dictator's Handbook: Why Bad Behavior Is Almost Always Good Politics,Alastair Smith,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1610391845"", ""ISBN13:"": ""9781610391849"", ""Release Date:"": ""July 2012"", ""Publisher:"": ""PublicAffairs"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""1.0\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/EAEC02CAC4F1B2C12FE3AD403AD3F7F5FAE41E3B.jpeg
The Origins of Political Order: From Prehuman Times to the French Revolution,Francis Fukuyama,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0374227349"", ""ISBN13:"": ""9780374227340"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Farrar Straus Giroux"", ""Length:"": ""585 Pages"", ""Weight:"": ""1.99 lbs."", ""Dimensions:"": ""1.9\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/99F7DFFBE58664796039F17C929D8E31F1E37BBE.jpeg
The Common Law (Barnes & Noble Library of Essential Reading),Oliver Wendell Holmes Jr.,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0760754985"", ""ISBN13:"": ""9780760754986"", ""Release Date:"": ""February 2004"", ""Publisher:"": ""Barnes & Noble"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""0.8\"" x 6.8\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/44305ED3FBA893C5CF8E30FC749D78E37D2AE2AE.jpeg
"Taliban: Militant Islam, Oil and Fundamentalism in Central Asia",Ahmed Rashid,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0300163681"", ""ISBN13:"": ""9780300163681"", ""Release Date:"": ""April 2010"", ""Publisher:"": ""Yale University Press"", ""Length:"": ""344 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/C04D9088F6BFA17D1FAB3023E2EF95D16D7791A9.jpeg
A Dying Colonialism,Frantz Fanon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0802150276"", ""ISBN13:"": ""9780802150271"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Grove Press"", ""Length:"": ""181 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/80301B639AE00C7A307655FEAF8D0A8EBE943874.jpeg
State of War: The Secret History of the C.I.A. and the Bush Administration,James Risen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0743270665"", ""ISBN13:"": ""9780743270663"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Free Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/584B81D0F434562D9B7BC0C9B27335165BB70EE4.jpeg
Voices from S-21: Terror and History in Pol Pot's Secret Prison,David P. Chandler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0520222474"", ""ISBN13:"": ""9780520222472"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""University of California Press"", ""Length:"": ""251 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/EA4E09739C3A99197B3DA97BBFDD7733AB3D4644.jpeg
In the Footsteps of Mr. Kurtz: Living on the Brink of Disaster in Mobutu's Congo,Michela Wrong,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060188804"", ""ISBN13:"": ""9780060188801"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Harper"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/5E7ED4EA6452517668C41C79567DF0655B0F3FEE.jpeg
Japan As Number One: Lessons for America (Japanese Edition),Ezra F. Vogel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060907916"", ""ISBN13:"": ""9784805304709"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""Harpercollins College Div"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.65 lbs.""}",https://m.media-amazon.com/images/I/41Ai7-pQQUL._SL350_.jpg
It's Always Possible: One Woman's Transformation of Tihar Prison,Kiran Bedi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0893892580"", ""ISBN13:"": ""9780893892586"", ""Release Date:"": ""February 2007"", ""Publisher:"": ""Himalayan Institute Press"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.9\"" x 5.8\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/CD17D41DFD56210A46CB56CCEAC77F4F03E38B6F.jpeg
China's Transition,Andrew J. Nathan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0231110235"", ""ISBN13:"": ""9780231110235"", ""Release Date:"": ""April 1999"", ""Publisher:"": ""Columbia University Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/1944A0D6A13B82486A4A0894C94161E8E7F06980.jpeg
"States and Women's Rights: The Making of Postcolonial Tunisia, Algeria, and Morocco",Mounira Charrad,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0520225767"", ""ISBN13:"": ""9780520225763"", ""Release Date:"": ""June 2001"", ""Publisher:"": ""University of California Press"", ""Length:"": ""359 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A7AF6038FE80BED8A56E09942EC66D6631120B04.jpeg
"Violence Through Environmental Discrimination: Causes, Rwanda Arena, and Conflict Model",Gunther Baechler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""9048151449"", ""ISBN13:"": ""9789048151448"", ""Release Date:"": ""December 2010"", ""Publisher:"": ""Springer"", ""Length:"": ""321 Pages"", ""Weight:"": ""1.06 lbs."", ""Dimensions:"": ""0.7\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1CADC2B73170568594E88CC6F79C1EF1134E960D.jpeg
"The Cuban Revolution: Origins, Course, and Legacy",Marifeli Pérez-Stable,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0195367081"", ""ISBN13:"": ""9780195367089"", ""Release Date:"": ""December 2011"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/2D7BA7CB899EFDBDE86750A00C3A5EEFB36D702B.jpeg
