Book Name,Authors,Info,Image URL
Discrete Mathematics and Its Applications,Kenneth H. Rosen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0073229725"", ""ISBN13:"": ""9780073229720"", ""Release Date:"": ""July 2006"", ""Publisher:"": ""McGraw-Hill Education"", ""Length:"": ""1008 Pages"", ""Weight:"": ""4.95 lbs."", ""Dimensions:"": ""1.5\"" x 8.7\"" x 10.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/5165C026713C67F5AF138741F2FFC91FA9307988.jpeg
"The Mythical Man-Month: Essays on Software Engineering, Anniversary Edition",Frederick P. Brooks Jr.,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0201835959"", ""ISBN13:"": ""9780201835953"", ""Release Date:"": ""August 1995"", ""Publisher:"": ""Addison-Wesley Professional"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.8\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/42555AC693BC1ACC1918D7717F0874F4ED63DDAE.jpeg
Head First Java,Bert Bates,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0596009208"", ""ISBN13:"": ""9780596009205"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""688 Pages"", ""Weight:"": ""2.10 lbs."", ""Dimensions:"": ""1.5\"" x 7.9\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/D3B08F8C872CFA1418D21E9728F34230084014A1.jpeg
JavaScript: The Definitive Guide,David Flanagan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1565923928"", ""ISBN13:"": ""9781565923928"", ""Release Date:"": ""June 1998"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""790 Pages"", ""Weight:"": ""2.58 lbs."", ""Dimensions:"": ""1.4\"" x 7.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/5E0B768EA7C7AAC9CB9FCFFDF4F2889C1E923ACE.jpeg
Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0984782850"", ""ISBN13:"": ""9780984782857"", ""Release Date:"": ""July 2015"", ""Publisher:"": ""Careercup"", ""Length:"": ""708 Pages"", ""Weight:"": ""3.05 lbs."", ""Dimensions:"": ""1.6\"" x 6.9\"" x 10.0\""""}",https://m.media-amazon.com/images/I/410hiaPGyCL._SL350_.jpg
Introduction to Algorithms,Thomas H. Cormen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""8120340078"", ""ISBN13:"": ""9788120340077"", ""Release Date:"": ""February 2010"", ""Publisher:"": ""Phi Learning"", ""Length:"": ""1312 Pages"", ""Weight:"": ""3.30 lbs."", ""Dimensions:"": ""1.2\"" x 8.7\"" x 11.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/CF16785686872C2905CC886FA67EFCA408C2E8B5.jpeg
The C++ Programming Language,Bjarne Stroustrup,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0201539926"", ""ISBN13:"": ""9780201539929"", ""Release Date:"": ""July 1991"", ""Publisher:"": ""Addison Wesley Publishing Company"", ""Length:"": ""669 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""1.2\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/AF8C30F66AD64E91D52B172CA4A12BCDA04E198D.jpeg
Learning Python,Mark Lutz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0596513984"", ""ISBN13:"": ""9780596513986"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""700 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""1.5\"" x 7.0\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/40C2DEC39F8B2FAE801D872FB3884E78A31C8989.jpeg
The Digital Photography Book: Part 1,Scott Kelby,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0321934946"", ""ISBN13:"": ""9780321934949"", ""Release Date:"": ""May 2013"", ""Publisher:"": ""Peachpit Press"", ""Length:"": ""239 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""0.5\"" x 6.1\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/32DAE6145906F8F411C531106FA1002781230D9D.jpeg
"Godel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0465026567"", ""ISBN13:"": ""9780465026562"", ""Release Date:"": ""February 1999"", ""Publisher:"": ""Basic Books"", ""Length:"": ""824 Pages"", ""Weight:"": ""1.48 lbs."", ""Dimensions:"": ""1.8\"" x 6.5\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/EB8B2290835C75AEA30B79920454CA792549C269.jpeg
