Book Name,Authors,Info,Image URL
The Solomon Key: A Novel of Ancient Conspiracy,Shawn Hopkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0578972514"", ""ISBN13:"": ""9780578972510"", ""Release Date:"": ""September 2021"", ""Publisher:"": ""Banzai Press"", ""Length:"": ""422 Pages"", ""Weight:"": ""1.17 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/3E45A9FCCADCFE2CF0C00003F29601B33926809F.jpeg
Copper Canyon Conspiracy,Carolyn Keene,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671885146"", ""ISBN13:"": ""9780671885144"", ""Release Date:"": ""December 1994"", ""Publisher:"": ""Simon Pulse"", ""Length:"": ""218 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.6\"" x 4.2\"" x 6.7\"""", ""Age Range:"": ""12 to 17 years"", ""Grade Range:"": ""Grades 7 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/07337D3C929D0FD2B91E3DAB3FE5B5D36129E1E2.jpeg
The Key,Simon Toyne,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062038338"", ""ISBN13:"": ""9780062038333"", ""Release Date:"": ""June 2012"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.67 lbs."", ""Dimensions:"": ""1.4\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/C45059BF1DA1C4C357B22060228B490D2E4A721B.jpeg
"Fatal Conceit, 26",Robert K. Tanenbaum,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1451635583"", ""ISBN13:"": ""9781451635584"", ""Release Date:"": ""March 2015"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""544 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.3\"" x 4.1\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/9F30A9376C3AA8AC759F8DBABB15E02C8943B903.jpeg
The Rose Conspiracy,Craig Parshall,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0736915141"", ""ISBN13:"": ""9780736915144"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Harvest House Publishers"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/4A92B9FA265437F108D777891FC0E4005235A3FA.jpeg
The Lincoln Conspiracy: The Secret Plot to Kill America's 16th President--And Why It Failed,Josh Mensch,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250317479"", ""ISBN13:"": ""9781250317476"", ""Release Date:"": ""May 2020"", ""Publisher:"": ""Flatiron Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/18C07714C2EB20E4AD7C4C31D60A3ACB002AA2F9.jpeg
The Mysterious Benedict Society,Trenton Lee Stewart,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316003956"", ""ISBN13:"": ""9780316003957"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""1.4\"" x 5.2\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/195B1F9BFCE46844553DF53989396B1F77721132.jpeg
Personal: A Jack Reacher Novel,Lee Child,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0804178755"", ""ISBN13:"": ""9780804178754"", ""Release Date:"": ""April 2015"", ""Publisher:"": ""Dell"", ""Length:"": ""544 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""1.4\"" x 4.2\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/4AB568EEE59B70A32FDFE50B50A8C649CA5146B9.jpeg
The Cove (An FBI Thriller) [Large Print],Catherine Coulter,"{""Format:"": ""Mass Market Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0515118656"", ""Release Date:"": ""April 1996"", ""Publisher:"": ""Berkley"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""6.7\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51Vr2hxVz1L._SL350_.jpg
Breaking Point,C.J. Box,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425264602"", ""ISBN13:"": ""9780425264607"", ""Release Date:"": ""March 2014"", ""Publisher:"": ""G.P. Putnam's Sons"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""1.0\"" x 4.3\"" x 7.6\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/DFA9F89B513D936FAFBC2193EB8439A542B46FE0.jpeg
