Book Name,Authors,Info,Image URL
Outlander,Diana Gabaldon,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440212561"", ""ISBN13:"": ""9780440212560"", ""Release Date:"": ""June 1992"", ""Publisher:"": ""Dell"", ""Length:"": ""896 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""1.5\"" x 4.1\"" x 6.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/302EFCC26739B03F9716A20415600A4065D9A2EB.jpeg
Redeeming Love,Francine Rivers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1590525132"", ""ISBN13:"": ""9781590525135"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""Multnomah Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.17 lbs."", ""Dimensions:"": ""1.3\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/FAA9CA41DDFBDC34BC0A8F269FCF55A6E9DE4B4A.jpeg
The Night Circus,Erin Morgenstern,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307744434"", ""ISBN13:"": ""9780307744432"", ""Release Date:"": ""July 2012"", ""Publisher:"": ""Vintage"", ""Length:"": ""528 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""1.3\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C28F17230B214BA7589FCC3928AD1904C8032196.jpeg
The Viscount Who Loved Me: Bridgerton,Julia Quinn,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062353640"", ""ISBN13:"": ""9780062353641"", ""Release Date:"": ""April 2015"", ""Publisher:"": ""Avon Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.2\"" x 4.1\"" x 6.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9650C00A493A588AE8C66E88BE9859918E28A893.jpeg
Dragonfly in Amber,Diana Gabaldon,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0770428770"", ""ISBN13:"": ""9780770428778"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Seal Books"", ""Length:"": ""976 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""1.5\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/E3B27EAFFD9A2D543108CACF7BF1203BE6B191E4.jpeg
Voyager: A Novel (Outlander) (Mass Market Paperback),Diana Gabaldon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440217563"", ""Release Date:"": ""October 1994"", ""Publisher:"": ""Dell"", ""Length:"": ""1059 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""6.9\"" x 1.7\"" x 4.2\""""}",https://m.media-amazon.com/images/I/31cNQunxw9L._SL350_.jpg
The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0156035219"", ""ISBN13:"": ""9780156035217"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.77 lbs."", ""Dimensions:"": ""1.5\"" x 4.1\"" x 6.8\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C027EDFC684E26935733FDE09482CF83D63A11FE.jpeg
Gone With the Wind,Margaret Mitchell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0380001098"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Avon Books"", ""Length:"": ""1024 Pages"", ""Weight:"": ""0.97 lbs.""}",https://m.media-amazon.com/images/I/51iWgwWtY-L._SL350_.jpg
An Offer from a Gentleman: Bridgerton,Julia Quinn,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062353659"", ""ISBN13:"": ""9780062353658"", ""Release Date:"": ""August 2015"", ""Publisher:"": ""Avon Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""1.3\"" x 4.2\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/19E6C16593EAB1AC0F66A648BBCDA1130E1F419D.jpeg
Drums of Autumn,Diana Gabaldon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385335989"", ""ISBN13:"": ""9780385335980"", ""Release Date:"": ""August 2001"", ""Publisher:"": ""Dell"", ""Length:"": ""928 Pages"", ""Weight:"": ""1.43 lbs."", ""Dimensions:"": ""1.6\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1FD29C7C35EF6EBB01E2B8DEA9D8D845368DA716.jpeg
Weddings from Hell,Jeaniene Frost,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061472689"", ""ISBN13:"": ""9780061472688"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Harper"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""1.1\"" x 4.9\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/80144598BED02FE9F4519352BD2856D8D7D8BD35.jpeg
