Book Name,Authors,Info,Image URL
Learning in Adulthood: A Comprehensive Guide,Rosemary S Caffarella,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0787975885"", ""ISBN13:"": ""9780787975883"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Jossey-Bass"", ""Length:"": ""533 Pages"", ""Weight:"": ""1.80 lbs."", ""Dimensions:"": ""1.8\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/FF191376B150F3BBCF0716EACB7444EC32844385.jpeg
McGraw-Hill's GED: The Most Complete and Reliable Study Program for the GED Tests,Patricia Mulcrone,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/61A29A4F09A497297EF5BDAC9EF9FBA915F56147.jpeg
"Study Smarter, Not Harder",Kevin Paul,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1770402187"", ""ISBN13:"": ""9781770402188"", ""Release Date:"": ""August 2014"", ""Publisher:"": ""Self-Counsel Press"", ""Length:"": ""224 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.5\"" x 8.1\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/7C9EA9A79A6E4CF6CB3C615F841A4064492C5EE6.jpeg
"Contemporary Criminal Law: Concepts, Cases, and Controversies",Matthew R. Lippman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1483379361"", ""ISBN13:"": ""9781483379364"", ""Release Date:"": ""August 2015"", ""Publisher:"": ""Sage Publications, Inc"", ""Length:"": ""584 Pages"", ""Weight:"": ""2.65 lbs."", ""Dimensions:"": ""0.8\"" x 8.0\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/7484E81721B3DBC54E6A8718FED4B7B75B1CCE98.jpeg
"Learning to Listen, Learning to Teach: The Power of Dialogue in Educating Adults",Jane Vella,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0787959677"", ""ISBN13:"": ""9780787959678"", ""Release Date:"": ""June 2002"", ""Publisher:"": ""Jossey-Bass"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/93CB759A843F2F48C08559039E32E51DB9AB9609.jpeg
EMT Flashcard Book,Jeffrey T. Lindsey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0738611301"", ""ISBN13:"": ""9780738611303"", ""Release Date:"": ""April 2013"", ""Publisher:"": ""Research & Education Association"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""1.3\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/FB1599AF08BFC1D3D8751B00EDF5A492A5734220.jpeg
101 Great Answers to Toughest Interview Questions,Ron Fry,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""156414464X"", ""ISBN13:"": ""9781564144645"", ""Release Date:"": ""February 2000"", ""Publisher:"": ""Career Press"", ""Length:"": ""223 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""0.5\"" x 5.6\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/995369C61988E25E5B883C84F57892C5C83F5AEB.jpeg
We Make the Road by Walking: Conversations on Education and Social Change,Myles Horton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0877227756"", ""ISBN13:"": ""9780877227755"", ""Release Date:"": ""December 1990"", ""Publisher:"": ""Temple University Press"", ""Length:"": ""296 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/265747B06936C53238A21FE49938A44C9FAEE71F.jpeg
The Long Haul: An Autobiography,Myles Horton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0807737003"", ""ISBN13:"": ""9780807737002"", ""Release Date:"": ""November 1997"", ""Publisher:"": ""Teachers College Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A7FD44A21672C0D4DF375E201B496F983281E384.jpeg
Developing Critical Thinkers: Challenging Adults to Explore Alternative Ways of Thinking and Acting,Stephen D. Brookfield,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1555423566"", ""ISBN13:"": ""9781555423568"", ""Release Date:"": ""July 1991"", ""Publisher:"": ""Jossey-Bass"", ""Length:"": ""312 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/7E21F2B54BEA79A74265F3B7A26CFAC1CFC62E4C.jpeg
