Book Name,Authors,Info,Image URL
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""159285849X"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Hazelden"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""9.0\"" x 0.5\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51kp9GZFUYL._SL350_.jpg
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874776945"", ""ISBN13:"": ""9780874776942"", ""Release Date:"": ""July 1992"", ""Publisher:"": ""Tarcher"", ""Length:"": ""222 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""0.8\"" x 7.4\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/EC35F0CC4838E99F2CCA09558C8C2E0F4841F86A.jpeg
Drawing on the Right Side of the Brain: A Course in Enhancing Creativity and Artistic Confidence,Betty Edwards,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874775132"", ""ISBN13:"": ""9780874775136"", ""Release Date:"": ""May 1989"", ""Publisher:"": ""Tarcher"", ""Length:"": ""254 Pages"", ""Weight:"": ""1.33 lbs."", ""Dimensions:"": ""0.8\"" x 7.5\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/43DAA1E15E41E706C016A1DA2D968A20015D976C.jpeg
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446691437"", ""ISBN13:"": ""9780446691437"", ""Release Date:"": ""April 2003"", ""Publisher:"": ""Warner Books (NY)"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1EABB26E8C52792DCC19B58C74E927C51CD9B824.jpeg
Writing Down the Bones: Freeing the Writer Within,Natalie Goldberg,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1590302613"", ""ISBN13:"": ""9781590302613"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""Shambhala Publications"", ""Length:"": ""200 Pages"", ""Weight:"": ""0.63 lbs."", ""Dimensions:"": ""0.6\"" x 5.6\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/A4D0CDE5CA04A8BC20B72FFB73213D5198DC7C02.jpeg
The Creative Habit: Learn It and Use It for Life,Twyla Tharp,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743235274"", ""ISBN13:"": ""9780743235273"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.6\"" x 7.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CB84AF824A11142B655325E913CC907773C771A9.jpeg
Drawing on the Artist Within,Betty Edwards,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067163514X"", ""ISBN13:"": ""9780671635145"", ""Release Date:"": ""April 1987"", ""Publisher:"": ""Touchstone Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.37 lbs."", ""Dimensions:"": ""0.6\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/48642CBCBBB7D825FDF1F857F4AF71E69F42921D.jpeg
"Write It Down, Make It Happen: Knowing What You Want -- and Getting It",Henriette Anne Klauser,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0743290941"", ""ISBN13:"": ""9780743290944"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""250 Pages"", ""Weight:"": ""0.96 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/C44C3732D12692335D16C6998751469F88C32F85.jpeg
The Right to Write: An Invitation and Initiation Into the Writing Life,Julia Cameron,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0874779375"", ""ISBN13:"": ""9780874779370"", ""Release Date:"": ""December 1998"", ""Publisher:"": ""Putnam Publishing Group"", ""Length:"": ""236 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.9\"" x 5.8\"" x 8.5\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9C9254B84E935B917754262B1D058A324A0B33B9.jpeg
Creativity: Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060928204"", ""ISBN13:"": ""9780060928209"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.1\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/8AC388BD2CDF7891D4A57E18FDE0DC7B6724295D.jpeg
