Book Name,Authors,Info,Image URL
The Girl on the Train,Paula Hawkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1594634025"", ""ISBN13:"": ""9781594634024"", ""Release Date:"": ""July 2016"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""1.0\"" x 5.1\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/533C142D4D07BBBC108012C40267037C4FBFFB60.jpeg
Dark Places,Gillian Flynn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307341577"", ""ISBN13:"": ""9780307341570"", ""Release Date:"": ""May 2010"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/4A658D08746527CA40E73FB2A63EDA7FF6639006.jpeg
Along Came A Spider,James Patterson,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446364193"", ""Release Date:"": ""December 1993"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""6.9\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51dGivzCAOL._SL350_.jpg
The Last Coyote,Michael Connelly,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312938640"", ""ISBN13:"": ""9780312938642"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""408 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.1\"" x 4.3\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/071FE4E573E9D3AE7A37C13E8840553FD95EF9C5.jpeg
The Concrete Blonde (Harry Bosch),Michael Connelly,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312955006"", ""Release Date:"": ""July 1995"", ""Publisher:"": ""St. Martin's Paperbacks"", ""Length:"": ""390 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""6.7\"" x 1.1\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51hm9hwnHKL._SL350_.jpg
The Cuckoo's Calling,Robert Galbraith,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316206849"", ""ISBN13:"": ""9780316206846"", ""Release Date:"": ""April 2013"", ""Publisher:"": ""Mulholland Books"", ""Length:"": ""464 Pages"", ""Weight:"": ""1.63 lbs."", ""Dimensions:"": ""1.7\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/325C81DB34DE19C195AD3EA3DF6419A47E56ABAB.jpeg
Buried Prey,John Sandford,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425247899"", ""ISBN13:"": ""9780425247891"", ""Release Date:"": ""May 2012"", ""Publisher:"": ""G.P. Putnam's Sons"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""1.0\"" x 4.2\"" x 7.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/CB081BF8B8BA60E75891905DF84CB78B613FE395.jpeg
12th of Never,Maxine Paetro,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""031621082X"", ""ISBN13:"": ""9780316210829"", ""Release Date:"": ""April 2013"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""432 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.4\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/7366D837BE6B2E8616CF13F0A59C670C99DE9AF6.jpeg
Hour Game,David Baldacci,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1538709589"", ""ISBN13:"": ""9781538709580"", ""Release Date:"": ""January 2023"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.6\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/06EA412D2720E602A2701BDCB1ABA0904CCCA22A.jpeg
You,Caroline Kepnes,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1501195433"", ""ISBN13:"": ""9781501195433"", ""Release Date:"": ""August 2018"", ""Publisher:"": ""Atria Books"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.69 lbs."", ""Dimensions:"": ""1.3\"" x 5.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/3A79510EF3BDB3F0B1C48E47A177B25FB2FB13A8.jpeg
