Book Name,Authors,Info,Image URL
Mindhunter: Inside the FBI's Elite Serial Crime Unit,John E. Douglas,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684803763"", ""ISBN13:"": ""9780684803760"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.48 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/59C65E69BA17D13CCDC151603F54828877EF24CF.jpeg
The Anatomy of Motive: The FBI's Legendary Mindhunter Explores the Key to Understanding and Catching Violent Criminals,Mark Olshaker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684845989"", ""ISBN13:"": ""9780684845982"", ""Release Date:"": ""June 1999"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.36 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/897F6DB64C793357C0C39C29AFFE2B16F7E06DB1.jpeg
Journey Into Darkness,Mark Olshaker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684833042"", ""ISBN13:"": ""9780684833040"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""383 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9EABF7A0D7AACBF18EDA9C0751C59DC0732AC06A.jpeg
Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales,Jon Jefferson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425198324"", ""ISBN13:"": ""9780425198322"", ""Release Date:"": ""October 2004"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.84 lbs."", ""Dimensions:"": ""0.9\"" x 5.9\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/2CB5EE235C40D673016ACE4D3834C386D6829615.jpeg
Homicide: A Year on the Killing Streets,David Simon,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""039548829X"", ""ISBN13:"": ""9780395488294"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""599 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.7\"" x 6.5\"" x 9.4\""""}",https://m.media-amazon.com/images/I/41ObWvyKOCL._SL350_.jpg
Portrait of a Killer: Jack the Ripper Case Closed,Patricia Cornwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399149325"", ""ISBN13:"": ""9780399149320"", ""Release Date:"": ""November 2002"", ""Publisher:"": ""G. P. Putnam's Sons"", ""Length:"": ""387 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.6\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/3539AC12EA3EA3987C57A3F6B76F82024CD192E9.jpeg
"Public Enemies: America's Greatest Crime Wave and the Birth of the FBI, 1933-34",Bryan Burrough,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143115863"", ""ISBN13:"": ""9780143115861"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""624 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.1\"" x 5.6\"" x 8.5\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C85AC4326C932B968D19098DFB2237799EBB7467.jpeg
Whoever Fights Monsters: My Twenty Years Tracking Serial Killers for the FBI,Robert K. Ressler,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312950446"", ""ISBN13:"": ""9780312950446"", ""Release Date:"": ""March 1993"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.9\"" x 4.1\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/5598CA9D9D60BA0343B0D7579AFD629159854369.jpeg
"Black Mass: The Irish Mob, the FBI, and a Devil's Deal",Dick Lehr,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1891620401"", ""ISBN13:"": ""9781891620409"", ""Release Date:"": ""May 2000"", ""Publisher:"": ""PublicAffairs"", ""Length:"": ""381 Pages"", ""Weight:"": ""1.62 lbs."", ""Dimensions:"": ""1.3\"" x 6.6\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/E91D35AA736F250FE75C99175C37A5669F27DBD4.jpeg
Devil's Knot: The True Story of the West Memphis Three,Mara Leveritt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743417607"", ""ISBN13:"": ""9780743417600"", ""Release Date:"": ""October 2003"", ""Publisher:"": ""Atria Books"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.2\"" x 5.6\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/33778E838B9ADFB001CD06F7B1DAA1E660605258.jpeg
