Book Name,Authors,Info,Image URL
Better Homes and Gardens New Cook Book,Better Homes and Gardens,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0696224038"", ""ISBN13:"": ""9780696224034"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""656 Pages"", ""Weight:"": ""4.01 lbs."", ""Dimensions:"": ""2.4\"" x 9.1\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/902F90D48B301449E041ED4FFDD7A31B2B19A501.jpeg
"How to Cook Everything: 2,000 Simple Recipes for Great Food,10th Anniversary Edition",Mark Bittman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0764578650"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""Houghton Mifflin Harcourt"", ""Length:"": ""1056 Pages"", ""Weight:"": ""3.92 lbs."", ""Dimensions:"": ""9.0\"" x 2.5\"" x 8.5\""""}",https://m.media-amazon.com/images/I/41TK0Dr91YL._SL350_.jpg
The Way to Cook,Julia Child,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394532643"", ""ISBN13:"": ""9780394532646"", ""Release Date:"": ""September 1989"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""528 Pages"", ""Weight:"": ""5.53 lbs."", ""Dimensions:"": ""1.5\"" x 9.6\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/6D658DB542858B520A2554A7BACD99B6C536B1E8.jpeg
Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,Dawn J. Ranck,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1561483389"", ""ISBN13:"": ""9781561483389"", ""Release Date:"": ""May 2013"", ""Publisher:"": ""Good Books"", ""Length:"": ""284 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.0\"" x 7.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/A46CBA34E7EFE4FC62C12711395493CF51764C42.jpeg
How to Cook Everything: The Basics: Simple Recipes Anyone Can Cook,Mark Bittman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""076456756X"", ""ISBN13:"": ""9780764567568"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""224 Pages"", ""Weight:"": ""1.63 lbs."", ""Dimensions:"": ""0.8\"" x 8.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/C95AA0C3877EEAD0AB0171BF852F533950718528.jpeg
Betty Crocker's Cookbook for Boys and Girls,Betty Crocker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0764526340"", ""ISBN13:"": ""9780764526343"", ""Release Date:"": ""August 2003"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""191 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.9\"" x 6.3\"" x 8.2\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/B8114D2BDB134CA9F20E647DE2DA0EE4453E1E4F.jpeg
How to Cook Without a Book: Recipes and Techniques Every Cook Should Know by Heart,Pam Anderson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0767902793"", ""ISBN13:"": ""9780767902793"", ""Release Date:"": ""April 2000"", ""Publisher:"": ""Clarkson Potter Publishers"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.17 lbs."", ""Dimensions:"": ""1.1\"" x 7.7\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/AC0CD5174EE7911E9403B095A4EE3505F80DF204.jpeg
Martha Stewart's Cooking School: Lessons and Recipes for the Home Cook: A Cookbook,Martha Stewart,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307396444"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""Clarkson Potter"", ""Length:"": ""512 Pages"", ""Weight:"": ""3.88 lbs."", ""Dimensions:"": ""10.2\"" x 1.6\"" x 8.3\""""}",https://m.media-amazon.com/images/I/41as8WlvwEL._SL350_.jpg
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0786867973"", ""ISBN13:"": ""9780786867974"", ""Release Date:"": ""November 2001"", ""Publisher:"": ""Hachette Books"", ""Length:"": ""374 Pages"", ""Weight:"": ""3.15 lbs."", ""Dimensions:"": ""1.0\"" x 1.0\"" x 1.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/EAA8845EC0031267BE29C997D801502AF4796F82.jpeg
"Jan Karon's Mitford Cookbook and Kitchen Reader: Recipes from Mitford Cooks, Favorite Tales from Mitford Books",Jan Karon,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670032395"", ""ISBN13:"": ""9780670032396"", ""Release Date:"": ""November 2004"", ""Publisher:"": ""G.P. Putnam's Sons"", ""Length:"": ""384 Pages"", ""Weight:"": ""2.71 lbs."", ""Dimensions:"": ""1.0\"" x 9.1\"" x 9.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/3318BB9AFC17EEA4913D18949CBFADB5F7D54594.jpeg
