Book Name,Authors,Info,Image URL
Outliers: The Story of Success,Malcolm Gladwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316017922"", ""ISBN13:"": ""9780316017923"", ""Release Date:"": ""November 2008"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 5.6\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/32E1B7F4F6F65B5EE5BCFF6D53B168E4A75F1E9C.jpeg
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393317552"", ""Release Date:"": ""April 1999"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""9.3\"" x 1.5\"" x 6.1\""""}",https://m.media-amazon.com/images/I/41+hFhnsqRL._SL350_.jpg
All about Love: New Visions,bell hooks,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060959479"", ""ISBN13:"": ""9780060959470"", ""Release Date:"": ""January 2018"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.7\"" x 5.2\"" x 7.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/0CB99E0C2E8BD1BD97E974EF4F183CF3BC2ED92E.jpeg
The Power of Myth,Joseph Campbell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385247745"", ""ISBN13:"": ""9780385247740"", ""Release Date:"": ""May 1988"", ""Publisher:"": ""Harmony"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.82 lbs."", ""Dimensions:"": ""0.6\"" x 8.3\"" x 10.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/5B4E7EDD6482A0BDB38E992EBD3C43C32CA207E4.jpeg
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670033375"", ""ISBN13:"": ""9780670033379"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Penguin Group USA Inc."", ""Length:"": ""592 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.8\"" x 6.4\"" x 9.6\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/6720B669B74BE4D37C5BF699A1038867449BF2DA.jpeg
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307279189"", ""ISBN13:"": ""9780307279187"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Vintage"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/AF531A1D39106434FA3E6F6E4A31AB4A502EF18C.jpeg
Why Are All the Black Kids Sitting Together in the Cafeteria?: And Other Conversations about Race,Beverly Daniel Tatum,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0465060684"", ""ISBN13:"": ""9780465060689"", ""Release Date:"": ""September 2017"", ""Publisher:"": ""Basic Books"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""1.4\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/A24639C3ABC90D2794D14E0FC482D44BE91C28F6.jpeg
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0374267812"", ""ISBN13:"": ""9780374267810"", ""Release Date:"": ""September 1997"", ""Publisher:"": ""Farrar Straus Giroux"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.86 lbs."", ""Dimensions:"": ""1.2\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/C9DFD3BC5CFB94B8EEE4DCE4AA811EAE8C27845F.jpeg
The Teachings of Don Juan,Carlos Castaneda,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0520022580"", ""ISBN13:"": ""9780520022584"", ""Release Date:"": ""November 1972"", ""Publisher:"": ""University of California Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.6\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/0C9AAC1C3D48FFE0F6D1D054F754088DAFFCFB3A.jpeg
"The Will to Change: Men, Masculinity, and Love",bell hooks,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743456084"", ""ISBN13:"": ""9780743456081"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Washington Square Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/2938BB7E13C8498B98E581BFC361DD3D2329ABA0.jpeg
