Book Name,Authors,Info,Image URL
Black Adam: The Dark Age (New Edition),"Tomasi, Peter J.","{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1779515383"", ""ISBN13:"": ""9781779515384"", ""Release Date:"": ""September 2022"", ""Publisher:"": ""DC Comics"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.10 lbs."", ""Dimensions:"": ""0.4\"" x 6.4\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5BA6EBF6C016A356CD756955D949231DDB73633C.jpeg
Deadpool Classic Companion,Jimmy Palmiotti,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/8A54D3692B888FCA58D6D8BABEA9361BBF0DF289.jpeg
"Black Bullet, Vol. 1 (Manga)",Shiden Kanzaki,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316345032"", ""ISBN13:"": ""9780316345033"", ""Release Date:"": ""September 2015"", ""Publisher:"": ""Yen Press"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 7.5\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/491F347B968A99B0A17D13981BC6C34523B30BA3.jpeg
Black Adam/Jsa: Black Reign (New Edition),Geoff Johns,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1779514468"", ""ISBN13:"": ""9781779514462"", ""Release Date:"": ""September 2022"", ""Publisher:"": ""DC Comics"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.4\"" x 6.6\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AF2FC5DE2B3A58AFE09851DA7BEE35D31926879C.jpeg
Black Adam Box Set,Geoff Johns,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/EE2BE36CD1780638F4D0549232F52760F9FC2A96.jpeg
Black Adam: Rise and Fall of an Empire,Geoff Johns,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1779514514"", ""ISBN13:"": ""9781779514516"", ""Release Date:"": ""September 2022"", ""Publisher:"": ""DC Comics"", ""Length:"": ""360 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""0.7\"" x 6.7\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/2A050725EB0E2B94B29236CE1B2DE69702B3D99E.jpeg
Black Adam Vol. 1: Theogony,"Priest, Christopher","{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2DC29F911425C8D60F841479D5F8B470E9C4D996.jpeg
Black Adam: The Justice Society Files,Bryan Q. Miller,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/F03B9F4CF4C9474D16D1982A5533EFD40D910FD4.jpeg
Watchmen,Alan Moore,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0930289234"", ""ISBN13:"": ""9780930289232"", ""Release Date:"": ""November 1987"", ""Publisher:"": ""DC Comics"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""0.8\"" x 6.7\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/3B98715D71F8135D96690C6334184835A698ABD2.jpeg
Batman: The Dark Knight Returns,Frank Miller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1563893428"", ""ISBN13:"": ""9781563893421"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""DC Comics"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.4\"" x 6.6\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/66BB97DB6BC74220E2F5907E89C343D4514F6D49.jpeg
Batman: Year One,Frank Miller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401207529"", ""ISBN13:"": ""9781401207526"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""DC Comics"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.5\"" x 6.5\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/BF7E94E15B0B8E558B94A70C0C34FE12A7F9EE29.jpeg
Batman: The Killing Joke Deluxe (New Edition),Alan Moore,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1401294057"", ""ISBN13:"": ""9781401294052"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""DC Comics"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.6\"" x 7.3\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/25C6E4BF015C14C2C8FC0784A0C58DBC2E8F5A5F.jpeg
Preacher Vol 01: Gone to Texas,Garth Ennis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1563892618"", ""ISBN13:"": ""9781563892615"", ""Release Date:"": ""March 1996"", ""Publisher:"": ""Vertigo"", ""Length:"": ""200 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.4\"" x 6.6\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/4534DA45F1B078CE8579FF49D2744A45F89B39ED.jpeg
Kingdom Come,Mark Waid,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1563893304"", ""ISBN13:"": ""9781563893308"", ""Release Date:"": ""October 1997"", ""Publisher:"": ""DC Comics"", ""Length:"": ""228 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.4\"" x 6.7\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/4A6FEB264CBDF207C895D977F7CEF5D0F616859C.jpeg
The Sandman Vol. 1: Preludes & Nocturnes (New Edition),Neil Gaiman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401225756"", ""ISBN13:"": ""9781401225759"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Vertigo"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.3\"" x 6.6\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/48AD9889EC61D9FF5A1209ABA76D71AD07C0B235.jpeg
"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1563898586"", ""ISBN13:"": ""9781563898587"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""Wildstorm"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.2\"" x 6.6\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/57937300443A327CA91091A2CD6441CF303D648C.jpeg
Batman: The Long Halloween,Jeph Loeb,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401232590"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""DC Comics"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""10.2\"" x 0.6\"" x 6.7\""""}",https://m.media-amazon.com/images/I/41A21od0SGL._SL350_.jpg
The Sandman Vol. 3: Dream Country (New Edition),Neil Gaiman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401229352"", ""ISBN13:"": ""9781401229351"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Vertigo"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.2\"" x 6.6\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/00A5F802C23511381017799794EDD9C03A0895C1.jpeg
"Sandman, The: Fables & Reflections - Book VI",Neil Gaiman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1563891050"", ""ISBN13:"": ""9781563891052"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Vertigo"", ""Length:"": ""264 Pages"", ""Weight:"": ""0.96 lbs."", ""Dimensions:"": ""0.5\"" x 6.7\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/BBD63F855F15E4C8D5E4526EE9CA6F5C068DC8BA.jpeg
The Road to Perdition,Max Allan Collins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743442245"", ""ISBN13:"": ""9780743442244"", ""Release Date:"": ""June 2002"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""302 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/EFC61C7E11768EB9B83C8F28AB7FFA423FDB9943.jpeg
Batman: Arkham Asylum 25th Anniversary,Grant Morrison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401251242"", ""ISBN13:"": ""9781401251246"", ""Release Date:"": ""November 2014"", ""Publisher:"": ""DC Comics"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.3\"" x 5.8\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/3A463D1E2B45B690AE0695D9AD7D4686EDB247FB.jpeg
Storybook Love,Bill Willingham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""140120256X"", ""ISBN13:"": ""9781401202569"", ""Release Date:"": ""May 2004"", ""Publisher:"": ""Vertigo"", ""Length:"": ""190 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.5\"" x 6.6\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4E1CF8477BB7CF71E0B43183177F36CE6C4422D0.jpeg
