Book Name,Authors,Info,Image URL
"Mistral's Kiss (Meredith Gentry, Book 5)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345443616"", ""Release Date:"": ""December 2006"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""6.8\"" x 0.9\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41L2SBRVRrL._SL350_.jpg
"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515139750"", ""ISBN13:"": ""9780515139754"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""752 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""1.3\"" x 4.7\"" x 7.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/AD5CC3E43F33171365B6423FF1A1C3B69D5BBADC.jpeg
"Burnt Offerings (Anita Blake, Vampire Hunter, Book 7)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515134473"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Berkley"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""6.8\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41L5a1+HnaL._SL350_.jpg
"Danse Macabre: An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515142816"", ""ISBN13:"": ""9780515142815"", ""Release Date:"": ""March 2007"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""576 Pages"", ""Weight:"": ""0.62 lbs."", ""Dimensions:"": ""1.4\"" x 4.2\"" x 6.7\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/59E4EC36D9F1F7D4A8D392E1C435B92A6511596F.jpeg
"Narcissus in Chains: An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515133876"", ""ISBN13:"": ""9780515133875"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""656 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.4\"" x 4.0\"" x 6.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/024B8EDC7B388918A32793369197D4CAA06520C9.jpeg
"Bloody Bones (Anita Blake, Vampire Hunter, Book 5)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515134465"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Berkley"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.43 lbs."", ""Dimensions:"": ""6.7\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41cxqop8qfL._SL350_.jpg
The Talisman,Stephen King,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345444884"", ""ISBN13:"": ""9780345444882"", ""Release Date:"": ""July 2001"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""768 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""7.0\"" x 1.0\"" x 4.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/CD2AC994DC8C21EEA4ACDAF8A22D75E4F0D3E7E3.jpeg
"A Kiss of Shadows (Meredith Gentry, Book 1)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345423402"", ""Release Date:"": ""February 2002"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""6.7\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/4185AjMPJEL._SL350_.jpg
"Seduced by Moonlight (Meredith Gentry, Book 3)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345443594"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Fawcett"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""6.8\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41iVfJTRaFL._SL350_.jpg
"Blue Moon (Anita Blake, Vampire Hunter, Book 8)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515134457"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Berkley"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""6.7\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51Nc8ZtAY5L._SL350_.jpg
