Book Name,Authors,Info,Image URL
Frank Miller's Sin City Volume 1: The Hard Goodbye 3rd Edition,Frank Miller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593072937"", ""ISBN13:"": ""9781593072933"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Dark Horse Books"", ""Length:"": ""280 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/0FC2C452C79943E1784602FDCD400863B8438830.jpeg
"The Umbrella Academy, Vol. 1",Gerard Way,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593079788"", ""Release Date:"": ""June 2008"", ""Publisher:"": ""Dark Horse"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""10.0\"" x 6.5\"" x 0.5\""""}",https://m.media-amazon.com/images/I/41jgtc7bAML._SL350_.jpg
Akira 1,Katsuhiro Otomo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1935429000"", ""ISBN13:"": ""9781935429005"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Kodansha Comics"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.2\"" x 7.0\"" x 9.9\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/4B42B1BCCF2186F0937647FBA243B61E86A6C684.jpeg
Serenity: Those Left Behind,Joss Whedon,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1593078463"", ""ISBN13:"": ""9781593078461"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Dark Horse Comics"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""0.6\"" x 6.9\"" x 10.5\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/F736433CA1BA822631B1CB507B98CCA688D2D11F.jpeg
Berserk Volume 1,Kentaro Miura,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593070209"", ""ISBN13:"": ""9781593070205"", ""Release Date:"": ""November 2003"", ""Publisher:"": ""Dark Horse Manga"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/09A359E86266C5DA983B3F55437DF289837A04A6.jpeg
Sin City Volume 2: A Dame to Kill for (2nd Ed.),Frank Miller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1569710686"", ""ISBN13:"": ""9781569710685"", ""Release Date:"": ""March 1995"", ""Publisher:"": ""Dark Horse Books"", ""Length:"": ""117 Pages"", ""Weight:"": ""0.97 lbs."", ""Dimensions:"": ""0.5\"" x 6.6\"" x 10.2\"""", ""Age Range:"": ""16 years and up"", ""Grade Range:"": ""Grade 11 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C6056730AD6FFD7C17157DF8E2CE9FAC4CB4DA68.jpeg
"No Future For You (Buffy the Vampire Slayer Season Eight, Volume 2)",Brian K. Vaughan,"{"""": """"}",https://m.media-amazon.com/images/I/410YZtmNUcL._SL350_.jpg
The Umbrella Academy Volume 2: Dallas,Gerard Way,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""159582345X"", ""ISBN13:"": ""9781595823458"", ""Release Date:"": ""September 2009"", ""Publisher:"": ""Dark Horse Books"", ""Length:"": ""184 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.4\"" x 6.5\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/97AD5659526DE2141963488515040A875C59944D.jpeg
"Hellboy, Vol. 1: Seed of Destruction",Mike Mignola,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593070942"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""Dark Horse Books"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""10.2\"" x 0.3\"" x 6.7\""""}",https://m.media-amazon.com/images/I/41nnRjB9BgL._SL350_.jpg
Troublemaker Book 1: A Barnaby and Hooker Graphic Novel,Alex Evanovich,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""159582488X"", ""ISBN13:"": ""9781595824882"", ""Release Date:"": ""July 2010"", ""Publisher:"": ""Dark Horse Books"", ""Length:"": ""105 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""0.5\"" x 6.4\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/3E41A8FD37944923912B98738D665AF2EE016C21.jpeg
The Enemy Within,Jeremy Barlow,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1595828451"", ""ISBN13:"": ""9781595828453"", ""Release Date:"": ""March 2012"", ""Publisher:"": ""Dark Horse Comics"", ""Length:"": ""80 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.2\"" x 5.3\"" x 7.5\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/24CBA15423894A4B83774E77614714EFE3DF84C6.jpeg
The Wind Raiders of Taloraan,Henry Gilroy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1595822313"", ""ISBN13:"": ""9781595822314"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Dark Horse Comics"", ""Length:"": ""91 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.3\"" x 5.2\"" x 7.3\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/D34F26CFDABA90A6A1E343D212AE7359E9F36FEF.jpeg
B.P.R.D. Volume 8: Killing Ground,Guy Davis,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/D8851D2515333A9035D471435F7B0E12D83E3530.jpeg
