Book Name,Authors,Info,Image URL
Agile Database Techniques: Effective Strategies for the Agile Software Developer,Scott W. Ambler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471202835"", ""ISBN13:"": ""9780471202837"", ""Release Date:"": ""October 2003"", ""Publisher:"": ""Wiley Publishing"", ""Length:"": ""447 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.1\"" x 7.2\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/51BBEB7E495E66184FD5026F7DEFAAD91044D4BA.jpeg
Database Hacker's Handbook w/WS,John Heasman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0764578014"", ""ISBN13:"": ""9780764578014"", ""Release Date:"": ""July 2005"", ""Publisher:"": ""Wiley"", ""Length:"": ""528 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.2\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/ECC8A39E1489DC8B27A1C6604FCA144D9E173F37.jpeg
"Database Systems: Design, Implementation, and Management [With Access Code]",Carlos M. Coronel,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1111969604"", ""ISBN13:"": ""9781111969608"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""Course Technology"", ""Length:"": ""726 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.2\"" x 8.7\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/67336FF8F231EB1ED32CA548E49F16AD2E554641.jpeg
A First Course in Database Systems,Jeffrey D. Ullman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0130353000"", ""ISBN13:"": ""9780130353009"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""528 Pages"", ""Weight:"": ""2.10 lbs."", ""Dimensions:"": ""1.0\"" x 7.2\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C0A63B1AC9950B83C502D1255E4E26CE2FB9AA0.jpeg
Database Management Systems,Johannes Gehrke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0072322063"", ""ISBN13:"": ""9780072322064"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""McGraw-Hill College"", ""Length:"": ""740 Pages"", ""Weight:"": ""3.15 lbs."", ""Dimensions:"": ""9.8\"" x 1.5\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/DA7B4EAE3A5FBF6355F615F8BF247395C03B7858.jpeg
Databases,Andy Oppel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""007160846X"", ""ISBN13:"": ""9780071608466"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.1\"" x 7.3\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/A3280C4335B52174B26351C0DD53C9AB95AC2801.jpeg
Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design [With CDROM],Michael J. Hernandez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0201752840"", ""ISBN13:"": ""9780201752847"", ""Release Date:"": ""May 2003"", ""Publisher:"": ""Addison-Wesley Professional"", ""Length:"": ""672 Pages"", ""Weight:"": ""2.30 lbs."", ""Dimensions:"": ""1.4\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/9F8A1B67044CC8A054865E1817F677FB12BC3139.jpeg
Modern Database Management,Jeffrey A. Hoffer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0132662256"", ""ISBN13:"": ""9780132662253"", ""Release Date:"": ""July 2012"", ""Publisher:"": ""Pearson"", ""Length:"": ""624 Pages"", ""Weight:"": ""3.05 lbs."", ""Dimensions:"": ""1.1\"" x 8.7\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/8200DB02D9D174486E4639E3C4B9498DF1BFA7F2.jpeg
Distributed and Multi-Database Systems,Angelo R. Bobak,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/695AA3C83DFE6CA25BDC5CA5AC74586289C84CBC.jpeg
XML Databases and the Semantic Web,Bhavani Thuraisingham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0367396246"", ""ISBN13:"": ""9780367396244"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""CRC Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/19758B8ED67D5E35FC44A6B78D469A912A31F931.jpeg
