Book Name,Authors,Info,Image URL
Dental Assisting: A Comprehensive Approach (with Studyware) [With CDROM],Donna J. Phinney,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1111542988"", ""ISBN13:"": ""9781111542986"", ""Release Date:"": ""May 2012"", ""Publisher:"": ""Cengage Learning"", ""Length:"": ""1020 Pages"", ""Weight:"": ""5.50 lbs."", ""Dimensions:"": ""1.7\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/5B961EDC59A8AF0C7BD14AF0DE7CEF5FA979110B.jpeg
Clinically Oriented Anatomy,Keith L. Moore,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0781775256"", ""ISBN13:"": ""9780781775250"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Lippincott Williams & Wilkins"", ""Length:"": ""1134 Pages"", ""Weight:"": ""5.10 lbs."", ""Dimensions:"": ""1.6\"" x 8.6\"" x 10.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/470BB1B38A54354653483C158391E594DEB63C14.jpeg
Dental Radiography: Principles and Techniques,Laura Jansen Howerton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1437711626"", ""ISBN13:"": ""9781437711622"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Saunders"", ""Length:"": ""488 Pages"", ""Weight:"": ""3.00 lbs."", ""Dimensions:"": ""0.8\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/2B012922C16E21C66990F32E8ABB6597ECCBCC55.jpeg
Torres and Ehrlich Modern Dental Assisting [With CDROM],Debbie S. Robinson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0721693741"", ""ISBN13:"": ""9780721693743"", ""Release Date:"": ""July 2002"", ""Publisher:"": ""Saunders"", ""Length:"": ""1136 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.7\"" x 8.5\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B73AB73CD1A1C5D34A15F97B9AF9EAE93FFB9C34.jpeg
Kaplan DAT,Kaplan Test Prep,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1609780876"", ""ISBN13:"": ""9781609780876"", ""Release Date:"": ""May 2012"", ""Publisher:"": ""Kaplan Publishing"", ""Length:"": ""838 Pages"", ""Weight:"": ""4.30 lbs."", ""Dimensions:"": ""1.7\"" x 8.5\"" x 10.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/B79F7C85D2CC2A2357E9E077FBB667552FF9B203.jpeg
Illustrated Anatomy of the Head and Neck,Susan W. Herring,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""141603403X"", ""ISBN13:"": ""9781416034032"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Saunders"", ""Length:"": ""352 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""0.6\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/4FEAEB421F2DC73916C0CC2CEBFD2AA3F284FB36.jpeg
Student Workbook for Modern Dental Assisting,Doni L. Bird,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0323430317"", ""ISBN13:"": ""9780323430319"", ""Release Date:"": ""April 2017"", ""Publisher:"": ""Saunders"", ""Length:"": ""632 Pages"", ""Weight:"": ""2.95 lbs."", ""Dimensions:"": ""1.3\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/0D78EDAE6B15B1A91B82AC5C81DA333B2AA76A07.jpeg
Crystal Enlightenment: The Transforming Properties of Crystals and Healing Stones,Sam Ziff,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0943358272"", ""ISBN13:"": ""9780943358277"", ""Release Date:"": ""April 1991"", ""Publisher:"": ""Aurora Press"", ""Length:"": ""171 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/1708E2ABF40363FB383E652F56E60D624A71D20B.jpeg
Japanese Women Don't Get Old or Fat: Secrets of My Mother's Tokyo Kitchen,Naomi Moriyama,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385339984"", ""ISBN13:"": ""9780385339988"", ""Release Date:"": ""December 2006"", ""Publisher:"": ""Random House Publishing Group"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""0.7\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF4B49002E0E9C71E572991FDC1EE15CF782858F.jpeg
"Health Behavior and Health Education: Theory, Research, and Practice",Frances Marcus Lewis,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0787996149"", ""ISBN13:"": ""9780787996147"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""Jossey-Bass"", ""Length:"": ""552 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""1.4\"" x 7.0\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF86643E4A2665B375D9E79D72D05305ED2DC1C2.jpeg
