Book Name,Authors,Info,Image URL
Oh Fudge!: A Celebration of America's Favorite Candy,Lee Edwards Benning,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0805025464"", ""ISBN13:"": ""9780805025460"", ""Release Date:"": ""July 1993"", ""Publisher:"": ""Holt McDougal"", ""Length:"": ""303 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.8\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0BB5FECA6D2CE38E78909AC1E91D22B4BADE51EB.jpeg
"What's New, Cupcake?: Ingeniously Simple Designs for Every Occasion",Alan Richardson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""054724181X"", ""ISBN13:"": ""9780547241814"", ""Release Date:"": ""April 2010"", ""Publisher:"": ""Harvest Publications"", ""Length:"": ""240 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""0.8\"" x 9.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E2F4ADC42DB6DB1E3730320517EDFB93F17EC32C.jpeg
Perfect Cakes,Nick Malgieri,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060198796"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""William Morrow Cookbooks"", ""Length:"": ""352 Pages"", ""Weight:"": ""2.85 lbs."", ""Dimensions:"": ""9.3\"" x 1.3\"" x 8.0\""""}",https://m.media-amazon.com/images/I/51cWgKlCLGL._SL350_.jpg
Simply Sensational Desserts: 140 Classics for the Home Baker from New York's Famous Patisserie and Bistro,François Payard,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0767903587"", ""ISBN13:"": ""9780767903585"", ""Release Date:"": ""September 1999"", ""Publisher:"": ""Broadway Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""10.8\"" x 1.0\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/427F36E6EE3002260FC44ADFCD210153536203CC.jpeg
"The Modern Baker: Time-Saving Techniques for Breads, Tarts, Pies, Cakes, & Cookies",Nick Malgieri,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0756639719"", ""ISBN13:"": ""9780756639716"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""320 Pages"", ""Weight:"": ""3.63 lbs."", ""Dimensions:"": ""1.0\"" x 9.4\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/88E7D32DC1D49B8F46EBC32FC69EBA582FFA241B.jpeg
Gale Gand's Just a Bite: 125 Luscious Little Desserts,Julia Moskin,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/A750003E117A78C51756B6AE686BE1B8D0CAF398.jpeg
Best of the Bake-Off Desserts,Pillsbury,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471787205"", ""ISBN13:"": ""9780471787204"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""160 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.4\"" x 8.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9F23256C0B4B4F3EA30283912BDD145F4AC025D0.jpeg
So Fat Low Fat No Fat Desserts,Betty Rohde,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684835266"", ""ISBN13:"": ""9780684835266"", ""Release Date:"": ""October 1998"", ""Publisher:"": ""Fireside Books"", ""Length:"": ""255 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/993380B101287DEE82475F5673B8042C50DB7233.jpeg
"Low Salt, Low Sugar, Low Fat Desserts",Penny Ballantyne,"{"""": """"}",https://m.media-amazon.com/images/I/51PjB7tbfmL._SL350_.jpg
The Complete Magnolia Bakery Cookbook: Recipes from the World-Famous Bakery and Allysa Torey's Home Kitchen,Jennifer Appel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1439175640"", ""ISBN13:"": ""9781439175644"", ""Release Date:"": ""November 2009"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""0.9\"" x 7.5\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/F06A529821AC268339147EEA1770BE288B6DA042.jpeg
Betty Crocker's New Cookbook: Everything You Need to Know to Cook,Betty Crocker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0028630092"", ""ISBN13:"": ""9780028630090"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""MacMillan Publishing Company"", ""Length:"": ""200 Pages"", ""Weight:"": ""2.75 lbs."", ""Dimensions:"": ""2.2\"" x 9.9\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/9C5CF6BF1E210607716446E2E3144518418E4E8C.jpeg
The Barefoot Contessa Cookbook,Ina Garten,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0609602195"", ""ISBN13:"": ""9780609602195"", ""Release Date:"": ""April 1999"", ""Publisher:"": ""Clarkson Potter Publishers"", ""Length:"": ""256 Pages"", ""Weight:"": ""2.10 lbs."", ""Dimensions:"": ""0.9\"" x 7.8\"" x 10.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/E4E363D5B8CB7812F74A7458DA825D0AB2B3AEB5.jpeg
