Book Name,Authors,Info,Image URL
Holes,Louis Sachar,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440414806"", ""ISBN13:"": ""9780440414803"", ""Release Date:"": ""May 2000"", ""Publisher:"": ""Yearling Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""0.8\"" x 5.2\"" x 7.5\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/54EECB02931ED50CF43B6F007A04FB9B06DC4E14.jpeg
"The Titan's Curse (Percy Jackson and the Olympians, Book 3)",Rick Riordan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1423101480"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Disney Hyperion"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""7.5\"" x 0.8\"" x 5.2\""""}",https://m.media-amazon.com/images/I/51aWjGY4ViL._SL350_.jpg
Boxcar Children,Gertrude Chandler Warner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590426907"", ""ISBN13:"": ""9780590426909"", ""Release Date:"": ""September 1989"", ""Publisher:"": ""Scholastic"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.27 lbs."", ""Age Range:"": ""7 to 10 years"", ""Grade Range:"": ""Grades 2 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/A0B9C81FE372B494569A5FDF6CA239953F0B4CFA.jpeg
The Westing Game (Puffin Modern Classics),Ellen Raskin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""014240120X"", ""ISBN13:"": ""9780142401200"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Puffin Books"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.41 lbs."", ""Dimensions:"": ""0.6\"" x 5.0\"" x 6.9\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/D67126E53D315F0E79B60AC3C608ECA5123705D3.jpeg
"The Angel Experiment (Maximum Ride, Book 1)",James Patterson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""031615556X"", ""Release Date:"": ""April 2005"", ""Publisher:"": ""jimmy patterson"", ""Length:"": ""432 Pages"", ""Weight:"": ""1.11 lbs."", ""Dimensions:"": ""8.0\"" x 1.5\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51zQ7Mm1bSL._SL350_.jpg
Theodore Boone: The Abduction,John Grisham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142421375"", ""ISBN13:"": ""9780142421376"", ""Release Date:"": ""April 2012"", ""Publisher:"": ""Puffin Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/DC0D79A49BBB61F5F1013A839B6DD1157A741EFF.jpeg
School's Out--Forever: A Maximum Ride Novel,James Patterson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316155594"", ""ISBN13:"": ""9780316155595"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Jimmy Patterson"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.26 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.1\"""", ""Age Range:"": ""12 to 15 years"", ""Grade Range:"": ""Grades 7 to 10""}",https://i.thriftbooks.com/api/imagehandler/m/7C87A76F82B81826A422E8E74B0959B3940C1202.jpeg
Theodore Boone: Kid Lawyer,John Grisham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1984816535"", ""ISBN13:"": ""9781984816535"", ""Release Date:"": ""May 2019"", ""Publisher:"": ""Puffin Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.9\"" x 5.0\"" x 7.7\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/C18A9EE8D339EA540261F3F7C24DDB4118E71270.jpeg
When You Reach Me,Rebecca Stead,"{""Format:"": ""Mass Market Paperback"", ""ISBN:"": ""0375850864"", ""ISBN13:"": ""9781921656064"", ""Release Date:"": ""February 2010"", ""Publisher:"": ""Text Publishing"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""7.8\"" x 0.6\"" x 5.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2639B91EE30635BE2B58AFFA60C7CF959B6E899B.jpeg
The Secret of the Old Clock/The Hidden Staircase,Carolyn Keene,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""044809570X"", ""ISBN13:"": ""9780448095707"", ""Release Date:"": ""September 1987"", ""Publisher:"": ""Grosset & Dunlap"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""1.2\"" x 5.1\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/CFA938A203F1316FDB0E6E791C33EF8E48E5B225.jpeg
The Secrets of Vesuvius (The Roman Mysteries),Caroline Lawrence,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1842550217"", ""Release Date:"": ""July 2002"", ""Publisher:"": ""Orion Children's"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""7.8\"" x 0.5\"" x 5.0\""""}",https://m.media-amazon.com/images/I/51d5Ju8HLSL._SL350_.jpg
The True Meaning of Smekday,Adam Rex,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0786849002"", ""ISBN13:"": ""9780786849000"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""432 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.3\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/5C581AEB1D8AC7F8123ECA66FB5A087A0D4BCAC0.jpeg
"Among the Hidden (Shadow Children, One)",Margaret Peterson Haddix,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0545139104"", ""ISBN13:"": ""9780545139106"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Scholastic"", ""Length:"": ""153 Pages"", ""Weight:"": ""0.26 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/190EFC3B0CC23F8D82BEBC8649966B4FA4F83D33.jpeg
The Book of Time,Guillaume Prévost,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""043988375X"", ""ISBN13:"": ""9780439883757"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Arthur A. Levine Books"", ""Length:"": ""213 Pages"", ""Weight:"": ""1.13 lbs."", ""Dimensions:"": ""0.9\"" x 6.4\"" x 9.2\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/8D6549EF710CCE0C984E1FFEFD476EA211116547.jpeg
Feathers,Jacqueline Woodson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399239898"", ""ISBN13:"": ""9780399239892"", ""Release Date:"": ""March 2007"", ""Publisher:"": ""Nancy Paulsen Books"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 8.6\"""", ""Age Range:"": ""10 years and up"", ""Grade Range:"": ""Grade 5 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/979A06186872EF892157DB64F6B294EA563FF20D.jpeg
Son of the Mob,Gordon Korman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0786815930"", ""ISBN13:"": ""9780786815937"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Hyperion Books for Children"", ""Length:"": ""262 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 7.5\"""", ""Age Range:"": ""12 to 17 years"", ""Grade Range:"": ""Grades 7 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/775E87F6076FEB4A19BA1838BAC0F2521F930C12.jpeg
When Bad Snakes Attack Good Children,Dan Greenburg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0152060561"", ""ISBN13:"": ""9780152060565"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.6\"" x 5.0\"" x 7.3\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/A96145849E890E19EB3E02EE391DA549E96DDE3F.jpeg
The Thief Lord (BOOK SENSE BOOK OF THE YEAR CHILDREN'S LITERATURE (AWARDS)),Cornelia Funke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439404371"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Scholastic"", ""Length:"": ""349 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""8.8\"" x 1.3\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41vPHMVuapL._SL350_.jpg
Nighty-Nightmare,James Howe,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0689312075"", ""ISBN13:"": ""9780689312076"", ""Release Date:"": ""April 1987"", ""Publisher:"": ""Atheneum Books for Young Readers"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 5.6\"" x 8.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/E25661C443EB6F4DBE9E44C85A93BD91EC83E001.jpeg
Lost in the Tunnel of Time,Sharon M. Draper,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1442427043"", ""ISBN13:"": ""9781442427044"", ""Release Date:"": ""July 2011"", ""Publisher:"": ""Aladdin Paperbacks"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.3\"" x 5.3\"" x 9.0\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/965688604F4956899543F111AA972313D18A6E0F.jpeg
The Chronicles of Harris Burdick: 14 Amazing Authors Tell the Tales,Chris Van Allsburg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0547548109"", ""ISBN13:"": ""9780547548104"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""208 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""0.9\"" x 7.9\"" x 10.1\"""", ""Age Range:"": ""10 to 12 years"", ""Grade Range:"": ""Grades 5 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/BBF3943FC78308BCCD6C621626CCF3CAB6120732.jpeg
Graven Images,Paul Fleischman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0763627755"", ""ISBN13:"": ""9780763627751"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Candlewick Press (MA)"", ""Length:"": ""116 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.6\"" x 5.8\"" x 8.0\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/377B2271E90A0463AF030B6C30E9D4A8326CB9B5.jpeg
The Search for Belle Prater,Ruth White,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440421640"", ""ISBN13:"": ""9780440421641"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Yearling Books"", ""Length:"": ""169 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/0B26F818701583B4F35C1DA5E04CB70B826D9F1A.jpeg
"Theodosia and the Eyes of Horus (The Theodosia Series, 3)",R.L. LaFevers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547550111"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""7.8\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/515IyjsU7iL._SL350_.jpg
Theodosia and the Last Pharaoh,R.L. LaFevers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547850867"", ""ISBN13:"": ""9780547850863"", ""Release Date:"": ""October 2012"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/7D3936F076AB7EB38FFAFA48BBF4C480F9A96513.jpeg
The Secret Box,Barbara Lehman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0547238681"", ""ISBN13:"": ""9780547238685"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.4\"" x 8.0\"" x 8.0\"""", ""Age Range:"": ""4 to 7 years"", ""Grade Range:"": ""Preschool to Grade 2""}",https://i.thriftbooks.com/api/imagehandler/m/678851AFEFD86CC57C09643ED5D5EC15CCB2EDEC.jpeg
"Secrets of Dripping Fang, Book Seven: Please Don't Eat the Children",Dan Greenburg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0152060472"", ""ISBN13:"": ""9780152060473"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""143 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 7.3\"""", ""Age Range:"": ""7 to 10 years"", ""Grade Range:"": ""Grades 2 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/B282C1545A919DA79AA4B65ED6B90D70DAD44263.jpeg
