Book Name,Authors,Info,Image URL
The Trigger Point Therapy Workbook: Your Self-Treatment Guide for Pain Relief,Amber Davies,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1572243759"", ""ISBN13:"": ""9781572243750"", ""Release Date:"": ""August 2004"", ""Publisher:"": ""New Harbinger Publications"", ""Length:"": ""323 Pages"", ""Weight:"": ""1.44 lbs."", ""Dimensions:"": ""0.7\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/7A97CAA523197A98531D86179F9FD0117A8154E8.jpeg
The Hot Zone,Richard Preston,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0679430946"", ""ISBN13:"": ""9780679430940"", ""Release Date:"": ""September 1994"", ""Publisher:"": ""Random House (NY)"", ""Length:"": ""300 Pages"", ""Weight:"": ""1.26 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/558BCBE7956E675256F493D4027A7545DBBDC6A5.jpeg
"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",T. Colin Campbell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1932100660"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""BenBella Books"", ""Length:"": ""419 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""8.8\"" x 1.0\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51Kf8a42IbL._SL350_.jpg
Anti Cancer,David Servan-Schreiber,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1554682215"", ""ISBN13:"": ""9781554682218"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Collins"", ""Length:"": ""258 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""9.0\"" x 0.9\"" x 6.0\""""}",https://m.media-amazon.com/images/I/419lbq6C29L._SL350_.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400052181"", ""ISBN13:"": ""8601400205570"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Broadway Books"", ""Weight:"": ""1.00 lbs.""}",https://img.thriftbooks.com/api/images/m/a1140665f666229ae15fa5faada44abaf8bdb7f9.jpg
"The Doctors Book of Home Remedies: Simple, Doctor-Approved Self-Care Solutions for 146 Common Health Conditions",Prevention Magazine,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1579546110"", ""ISBN13:"": ""9781579546113"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""672 Pages"", ""Weight:"": ""2.31 lbs."", ""Dimensions:"": ""1.7\"" x 6.7\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/1096E09928E2CC25319C774A789F004B23E2E382.jpeg
The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143036491"", ""ISBN13:"": ""9780143036494"", ""Release Date:"": ""October 2005"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""576 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.5\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/BAE9D77217DDAA2C4CCACCC53405EE8C245BF4B0.jpeg
Diabetes Cookbook for Dummies,Alan L. Rubin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0764584502"", ""ISBN13:"": ""9780764584503"", ""Release Date:"": ""August 2005"", ""Publisher:"": ""Wiley Publishing"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""0.9\"" x 7.3\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/6D939F11FBA01B6EA2B420699792941B050E48BF.jpeg
Diabetic Meals in 30 Minutes?or Less!,Robyn Webb,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580402658"", ""ISBN13:"": ""9781580402651"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""American Diabetes Association"", ""Length:"": ""173 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""0.5\"" x 6.0\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/177BA5F3E750642ACDEDDAFA05C159023E10DECF.jpeg
"The Mindbody Prescription: Healing the Body, Healing the Pain",John E. Sarno,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446675156"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Warner Books, Inc."", ""Length:"": ""210 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""8.1\"" x 0.8\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41qATGExvOL._SL350_.jpg
