Book Name,Authors,Info,Image URL
Drawing on the Right Side of the Brain: A Course in Enhancing Creativity and Artistic Confidence,Betty Edwards,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874775132"", ""ISBN13:"": ""9780874775136"", ""Release Date:"": ""May 1989"", ""Publisher:"": ""Tarcher"", ""Length:"": ""254 Pages"", ""Weight:"": ""1.33 lbs."", ""Dimensions:"": ""0.8\"" x 7.5\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/43DAA1E15E41E706C016A1DA2D968A20015D976C.jpeg
Atlas of Human Anatomy for the Artist,Stephen Rogers Peck,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0195030958"", ""ISBN13:"": ""9780195030952"", ""Release Date:"": ""February 1982"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""0.6\"" x 7.4\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/FB762252AB95FBA6E8976C53A6ED13A10A3436FC.jpeg
How to Draw What You See,Rudy De Reyna,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0823023753"", ""ISBN13:"": ""9780823023752"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""Watson-Guptill"", ""Length:"": ""178 Pages"", ""Weight:"": ""1.22 lbs."", ""Dimensions:"": ""0.7\"" x 6.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/DBA3F4156A12C974E5116E8BA3E51034BA9003B4.jpeg
"Drawing with Children: A Creative Method for Adult Beginners, Too",Mona Brookes,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874778271"", ""ISBN13:"": ""9780874778274"", ""Release Date:"": ""June 1996"", ""Publisher:"": ""Tarcherperigee"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""0.9\"" x 7.4\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/426E62BA256522BF40802FC66AAF5719670F843E.jpeg
How to Draw Anything,Mark Linley,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/441898D31FB837ADF21E5030DBF77BAC8662EC1B.jpeg
Pencil Drawing,Gene Franks,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0929261038"", ""ISBN13:"": ""9780929261034"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""Walter Foster Publishing"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""0.2\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/E826D92695A478C519EF9AA8E5DA5E04DB9FC4EB.jpeg
Drawing the Head and Figure: A How-To Handbook That Makes Drawing Easy,Jack Hamm,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0399507914"", ""ISBN13:"": ""9780399507915"", ""Release Date:"": ""January 1982"", ""Publisher:"": ""Tarcherperigee"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.96 lbs."", ""Dimensions:"": ""0.5\"" x 8.1\"" x 10.8\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/6ED954AA4BCD1CEA1FBC7584AF61C0CB4AEAB5E7.jpeg
Constructive Anatomy: With Almost 500 Illustrations,George B. Bridgman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486211045"", ""ISBN13:"": ""9780486211046"", ""Release Date:"": ""June 1973"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.5\"" x 6.5\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/7702B9522BE59B458B2290905E0006F5F9E7CFC8.jpeg
Drawing for Dummies,Brenda Hoddinott,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""076455476X"", ""ISBN13:"": ""9780764554766"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""For Dummies"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.68 lbs."", ""Dimensions:"": ""0.8\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/930DD3D0EA990805D67C5E68AB27F5201F3B9504.jpeg
Artist's Manual: A Complete Guide to Paintings and Drawing Materials and Techniques,Angela Gair,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0811813770"", ""ISBN13:"": ""9780811813778"", ""Release Date:"": ""August 1996"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.09 lbs."", ""Dimensions:"": ""1.0\"" x 1.0\"" x 1.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8A1CC6168308B937296882F10A59B7760B35CA02.jpeg
"Draw 50 Birds: The Step-By-Step Way to Draw Chickadees, Peacocks, Toucans, Mallards, and Many More of Our Feathered Friends",Lee J. Ames,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0823085988"", ""ISBN13:"": ""9780823085989"", ""Release Date:"": ""February 2013"", ""Publisher:"": ""Watson-Guptill"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.2\"" x 8.5\"" x 10.8\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/E3434DA9BC2F62DBA727881497D85EEA44A7CC8F.jpeg
Dragonart Fantasy Characters: How to Draw Fantastic Beings and Incredible Creatures,Jessica Peffer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1581808526"", ""ISBN13:"": ""9781581808520"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Impact"", ""Length:"": ""128 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.4\"" x 8.5\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/211AA55DC41936DBE7808ED0C2C1600003129E35.jpeg
The Wonders of Nature Sketchbook: Learn about Nature and How to Draw It,Colleen Monroe,"{""Format:"": ""Library Binding"", ""Language:"": ""English"", ""ISBN:"": ""097549421X"", ""ISBN13:"": ""9780975494219"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Storytime Press"", ""Length:"": ""40 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.4\"" x 11.2\"" x 9.4\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/9DF7BEA3DA2052CA976582C5C13AC2CDD3611ED5.jpeg
"So, You Wanna Be a Comic Book Artist?: How to Break Into Comics! the Ultimate Guide for Kids",Philip Amara,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1582700583"", ""ISBN13:"": ""9781582700588"", ""Release Date:"": ""September 2001"", ""Publisher:"": ""Simon Pulse/Beyond Words"", ""Length:"": ""139 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.5\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/77B8B3F43D72E166C7CBE3750AAB8DB55EB89F6F.jpeg
