Book Name,Authors,Info,Image URL
Economics in Plain English,Leonard Solomon Silk,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671606131"", ""ISBN13:"": ""9780671606138"", ""Release Date:"": ""January 1986"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""237 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.4\""""}",https://m.media-amazon.com/images/I/41RhnJg8eZL._SL350_.jpg
Economics in One Lesson: The Shortest and Surest Way to Understand Basic Economics,Henry Hazlitt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0517548232"", ""Release Date:"": ""December 1988"", ""Publisher:"": ""Crown Currency"", ""Length:"": ""218 Pages"", ""Weight:"": ""0.69 lbs."", ""Dimensions:"": ""8.0\"" x 0.6\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41z74n2VU3L._SL350_.jpg
What's Wrong with Economics?,Benjamin Ward,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1349018082"", ""ISBN13:"": ""9781349018086"", ""Release Date:"": ""January 1972"", ""Publisher:"": ""Palgrave MacMillan"", ""Length:"": ""273 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/97E67C342D968F16B2127742B928E119984AEECB.jpeg
Economics of Household Production,Margaret G. Reid,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1015012876"", ""ISBN13:"": ""9781015012875"", ""Release Date:"": ""September 2021"", ""Publisher:"": ""Hassell Street Press"", ""Length:"": ""424 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/AEE6032A7C79E4C26078170972B136442531EAED.jpeg
"Hard Heads, Soft Hearts: Tough-Minded Economics for a Just Society",Alan S. Blinder,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0201145197"", ""ISBN13:"": ""9780201145199"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""Basic Books (AZ)"", ""Length:"": ""236 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.7\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/DB121F8E33DA08E9522082F24B1F0320C11BF057.jpeg
The Economics of Innovation in the Telecommunications Industry,John R. McNamara,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/3FEEDB4B09FD841B0CB440C73DDE94246881B425.jpeg
The Economics of R&d Policy,Gregory Tassey,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/6242ACB9D8483D14AA6873F4A504459E1EFE5DEE.jpeg
"Triumph of the Market: Essays on Economics, Politics, and the Media",Edward S. Herman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""089608521X"", ""ISBN13:"": ""9780896085213"", ""Release Date:"": ""July 1999"", ""Publisher:"": ""South End Press"", ""Length:"": ""290 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.6\"" x 5.4\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/D69E63F0640BB0DE8374F45D25DD7424D6951EA5.jpeg
Essays in the History of Economics,George J. Stigler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0226774279"", ""ISBN13:"": ""9780226774275"", ""Release Date:"": ""January 1966"", ""Publisher:"": ""University of Chicago Press"", ""Length:"": ""392 Pages"", ""Weight:"": ""0.85 lbs.""}",https://m.media-amazon.com/images/I/41seTuHNqYL._SL350_.jpg
Fundamentals of Economics for Environmental Managers,William F. Barron,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/831DFBFA6E119846C121D91EA429860597D994EE.jpeg
