Book Name,Authors,Info,Image URL
Clapton,Eric Clapton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""038551851X"", ""ISBN13:"": ""9780385518512"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Broadway Books"", ""Length:"": ""343 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/6827D542B7166DCF3E9E6FEB1AD747B58B3BA609.jpeg
Scar Tissue,Anthony Kiedis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401307450"", ""ISBN13:"": ""9781401307455"", ""Release Date:"": ""October 2005"", ""Publisher:"": ""Hachette Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.4\"" x 5.3\"" x 8.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/808DA8198273ACD608D485E8F05ED1BBB15B2410.jpeg
Life,Keith Richards,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""031603438X"", ""ISBN13:"": ""9780316034388"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""576 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.9\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/ABECB260759AD7C4B2B0B847F2B246379B1C8D68.jpeg
Is Everyone Hanging Out Without Me? (and Other Concerns),Mindy Kaling,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307886271"", ""ISBN13:"": ""9780307886279"", ""Release Date:"": ""September 2012"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D81A62968CF4D49427E7BB568341B15138CCC703.jpeg
Losing It: And Gaining My Life Back One Pound at a Time,Valerie Bertinelli,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416586806"", ""ISBN13:"": ""9781416586807"", ""Release Date:"": ""February 2008"", ""Publisher:"": ""Free Press"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.55 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/2B2FDF23E0476E620B7902CBA34439026D1B4460.jpeg
Born Standing Up: A Comic's Life,Steve Martin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416553649"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Scribner"", ""Length:"": ""209 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""8.8\"" x 1.3\"" x 6.3\""""}",https://m.media-amazon.com/images/I/41cBwzKnUwL._SL350_.jpg
If You Ask Me: (And of Course You Won't),Betty White,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399157530"", ""ISBN13:"": ""9780399157530"", ""Release Date:"": ""May 2011"", ""Publisher:"": ""G.P. Putnam's Sons"", ""Length:"": ""272 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/7443724F45F0B0E6F06D2618606A660DD8F9B6EF.jpeg
Wishful Drinking,Carrie Fisher,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1439102252"", ""ISBN13:"": ""9781439102251"", ""Release Date:"": ""December 2008"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""163 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.8\"" x 5.7\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/57197C608892C4B6F134FDD50465603722B1220E.jpeg
Cash: An Autobiography,Patrick Carr,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062515004"", ""ISBN13:"": ""9780062515001"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""HarperOne"", ""Length:"": ""310 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/97B89AC71BB50456B1C827EBD91476665E2E9611.jpeg
The Measure of a Man: A Spiritual Autobiography,Sidney Poitier,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""006135791X"", ""ISBN13:"": ""9780061357916"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""HarperOne"", ""Length:"": ""255 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/2EC3CCDD29956C5CF46EEF2BCBC3799B1A38A572.jpeg
