Book Name,Authors,Info,Image URL
The Claiming of Sleeping Beauty :The First of the Acclaimed Series of Erotic Adventures of Sleeping Beauty,Anne Rice,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452266564"", ""Release Date:"": ""March 1983"", ""Publisher:"": ""Plume"", ""Length:"": ""253 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""8.0\"" x 0.7\"" x 4.6\""""}",https://img.thriftbooks.com/api/images/m/479b3772e9b68c2a3c466346def976beb10a2233.jpg
Addicted,Zane,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0739421042"", ""ISBN13:"": ""9780739421048"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""326 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.9\"" x 8.2\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41vs4r79HaL._SL350_.jpg
"Lover Enshrined (Black Dagger Brotherhood, Book 6)",J.R. Ward,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451222725"", ""Release Date:"": ""June 2008"", ""Publisher:"": ""Berkley"", ""Length:"": ""560 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""6.8\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41-EF0M9nIL._SL350_.jpg
Beauty's Release: The Conclusion of the Erotic Adventures of Sleeping Beauty,A.N. Roquelaure,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452266637"", ""ISBN13:"": ""9780452266636"", ""Release Date:"": ""June 1985"", ""Publisher:"": ""Plume Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.8\"" x 4.8\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/94E9652EB5E65BCB6C3F50649D4ADC31441C7535.jpeg
"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515139750"", ""ISBN13:"": ""9780515139754"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""752 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""1.3\"" x 4.7\"" x 7.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/AD5CC3E43F33171365B6423FF1A1C3B69D5BBADC.jpeg
A Lick of Frost,Laurell K. Hamilton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""034549590X"", ""ISBN13:"": ""9780345495907"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""274 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""1.0\"" x 6.5\"" x 9.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/D25CA61975DF3B28315F3DE3268A50B50C05935E.jpeg
Exit to Eden,Anne Rice,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345401964"", ""ISBN13:"": ""9780345401960"", ""Release Date:"": ""February 1996"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.2\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/43F84BAFFF16A7B9D7E2D1E244B957B485778EAE.jpeg
Sweet Seduction,Maya Banks,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425230694"", ""ISBN13:"": ""9780425230695"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Berkley Publishing Group"", ""Length:"": ""297 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/EB7D5B28E7C4B6F726A7DA10BFED7700F647E24D.jpeg
Forbidden Pleasure (Bound Hearts),Lora Leigh,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312535376"", ""Release Date:"": ""December 2010"", ""Publisher:"": ""St. Martin's Paperbacks"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""6.8\"" x 1.0\"" x 4.3\""""}",https://m.media-amazon.com/images/I/41RzhirIOVL._SL350_.jpg
The Sex Chronicles,Zane,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""074346270X"", ""ISBN13:"": ""9780743462709"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""Atria Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9B775B7D43FD0FD0A49164D21BC98532A9992620.jpeg
Ace of Hearts,Lisette Allen,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/9BC6B8037778FBF0D1D6E7ECA05049BFD08CD75C.jpeg
Enchanted Again: More Erotic Bedtime Stories for Women,Nancy Madore,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/8FA8FA135B2B521D52EE6758157A11866A8F9D07.jpeg
Party of Three,Lacey Alexander,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451235746"", ""ISBN13:"": ""9780451235749"", ""Release Date:"": ""April 2012"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/CB8E0D4FBF9CD6A58C5D5B82FD91709284F83233.jpeg
Enchanted Dreams: Erotic Tales of the Supernatural,Nancy Madore,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/3E2F3FD9F1D265790441599EB77D4D56F0A0D82E.jpeg
Bitten: Dark Erotic Stories,Susie Bright,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0811864251"", ""ISBN13:"": ""9780811864251"", ""Release Date:"": ""July 2009"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.5\"" x 5.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E8BD39F1F87B255126FB27663B4F23DA5AE21431.jpeg
Big Deal,Helen Sandler,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/1CAE928FF6352B929829625CF8979556A1C49D20.jpeg
