Book Name,Authors,Info,Image URL
"The Color of Water, A Black Man's Tribute to His W",James McBride,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573225789"", ""ISBN13:"": ""9781573225786"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C3328968BACA0ECC071FAE096ED314B421DC227E.jpeg
"Black Elk Speaks, New Edition",John G. Neihardt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0803283857"", ""ISBN13:"": ""9780803283855"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Bison Books"", ""Length:"": ""270 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF632039B921CA07C891586BD286209FA1052585.jpeg
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1631063278"", ""ISBN13:"": ""9781631063275"", ""Release Date:"": ""March 2017"", ""Publisher:"": ""Race Point Publishing"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/B4DDD07C4DEE2C2F706ACEE11CE6549BAF28C418.jpeg
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307237699"", ""ISBN13:"": ""9780307237699"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.21 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/EA0BD70BA1E8BA9DD6B6152F6E3F9F7960CC21AD.jpeg
The Fire Next Time,James Baldwin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067974472X"", ""ISBN13:"": ""9780679744726"", ""Release Date:"": ""December 1992"", ""Publisher:"": ""Vintage"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.33 lbs."", ""Dimensions:"": ""0.4\"" x 5.2\"" x 7.9\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9""}",https://i.thriftbooks.com/api/imagehandler/m/553ECAAE4DA135378545EF45A9985326EE4756EA.jpeg
I Know Why the Caged Bird Sings,Maya Angelou,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553108425"", ""ISBN13:"": ""9780553108422"", ""Release Date:"": ""January 1971"", ""Publisher:"": ""Bantam Doubleday Dell"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.36 lbs.""}",https://m.media-amazon.com/images/I/41q-wX15IOL._SL350_.jpg
The Measure of a Man: A Spiritual Autobiography,Sidney Poitier,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""006135791X"", ""ISBN13:"": ""9780061357916"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""HarperOne"", ""Length:"": ""255 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/2EC3CCDD29956C5CF46EEF2BCBC3799B1A38A572.jpeg
Same Kind Of Different As Me,Denver Moore,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0849900417"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""237 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""9.5\"" x 0.8\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51yfXzyZkvL._SL350_.jpg
Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486419312"", ""ISBN13:"": ""9780486419312"", ""Release Date:"": ""November 2001"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 7.9\"""", ""Age Range:"": ""11 years and up"", ""Grade Range:"": ""Grade 6 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/510F2E4DEFBF17D26C37434855D47E90346692E9.jpeg
Farewell to Manzanar,James D. Houston,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1328742113"", ""ISBN13:"": ""9781328742117"", ""Release Date:"": ""December 2023"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.6\"" x 5.6\"" x 8.2\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/0CEF8AB9D74516AC6BD606B144D4C1A443B5D0BA.jpeg
