Book Name,Authors,Info,Image URL
A Year in Provence,Peter Mayle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307291626"", ""ISBN13:"": ""9780307291622"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Knopf"", ""Length:"": ""209 Pages"", ""Weight:"": ""0.85 lbs.""}",https://m.media-amazon.com/images/I/51z6Xa8jx0L._SL350_.jpg
Under the Tuscan Sun: At Home in Italy,Frances Mayes,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0811808424"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""8.4\"" x 1.0\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41WhL51jv4L._SL350_.jpg
The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0375404031"", ""ISBN13:"": ""9780375404030"", ""Release Date:"": ""November 1998"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""224 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""0.8\"" x 8.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/9364B5EBEB4681AA0678BB64E89FD104FCFA0A87.jpeg
Notes from a Small Island,Bill Bryson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0380727501"", ""ISBN13:"": ""9780380727506"", ""Release Date:"": ""May 2001"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/391E6E522EE848EE9706BD82549F258D8A8F55BB.jpeg
Neither Here Nor There: Travels in Europe,Bill Bryson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688103111"", ""ISBN13:"": ""9780688103118"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""254 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""1.0\"" x 6.4\"" x 9.5\""""}",https://m.media-amazon.com/images/I/41R8eeCaGTL._SL350_.jpg
DK Eyewitness Travel Guide Italy: 2019,D.K. Publishing,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1465471588"", ""ISBN13:"": ""9781465471581"", ""Release Date:"": ""October 2018"", ""Publisher:"": ""DK Eyewitness Travel"", ""Length:"": ""560 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""1.3\"" x 4.9\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/05085F9C2DB72DA708F61128DFAFD73274F996E1.jpeg
Rick Steves Europe Through the Back Door: The Travel Skills Handbook,Rick Steves,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1631216252"", ""ISBN13:"": ""9781631216251"", ""Release Date:"": ""September 2017"", ""Publisher:"": ""Rick Steves"", ""Length:"": ""777 Pages"", ""Weight:"": ""1.24 lbs."", ""Dimensions:"": ""1.0\"" x 5.6\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/DB4BB3E4D69A68E0D0B53F5656FD8375CBE345CF.jpeg
"The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945",Władysław Szpilman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312311354"", ""ISBN13:"": ""9780312311353"", ""Release Date:"": ""December 2002"", ""Publisher:"": ""Picador USA"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/844E27DBEB18442AA20AE1CD73FDF82D0AA60D15.jpeg
James Herriot's Yorkshire,James Herriot,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312439709"", ""ISBN13:"": ""9780312439705"", ""Release Date:"": ""January 1979"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""223 Pages"", ""Weight:"": ""1.87 lbs."", ""Dimensions:"": ""0.8\"" x 8.5\"" x 9.5\""""}",https://m.media-amazon.com/images/I/51qI45ObGeL._SL350_.jpg
Rick Steves Italy 2019,Rick Steves,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1631218328"", ""ISBN13:"": ""9781631218323"", ""Release Date:"": ""September 2018"", ""Publisher:"": ""Rick Steves"", ""Length:"": ""1242 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.5\"" x 4.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/80288BE55849C91B827259046A77A584595C87D9.jpeg
