Book Name,Authors,Info,Image URL
Blind Descent: The Quest to Discover the Deepest Place on Earth,James M. Tabor,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1400067677"", ""ISBN13:"": ""9781400067671"", ""Release Date:"": ""June 2010"", ""Publisher:"": ""Random House"", ""Length:"": ""286 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""1.0\"" x 6.6\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/E0A833891F35EB2C8C31C2DC88D4D9231C0185A9.jpeg
Ultramarathon Man,Dean Karnazes,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1585422789"", ""ISBN13:"": ""9781585422784"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""Tarcherperigee"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E53388BC2034AD62416D1EC71785A838DAAFF037.jpeg
"Explorers of the Infinite: The Secret Spiritual Lives of Extreme Athletes -- And What They Reveal about Near-Death Experiences, Psychic Communica",Maria Coffey,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1585426512"", ""ISBN13:"": ""9781585426515"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Tarcher"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.1\"" x 6.3\"" x 9.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/4DDD9BCE63C97B8B2CEC395A9FA5C0CE2890384F.jpeg
Alone: The Man Who Braved the Vast Pacific and Won,Gerard D'Aboville,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""155970246X"", ""ISBN13:"": ""9781559702461"", ""Release Date:"": ""June 1994"", ""Publisher:"": ""Arcade Pub"", ""Length:"": ""16 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.7\"" x 6.2\"" x 9.3\""""}",https://m.media-amazon.com/images/I/41FX8MYbXXL._SL350_.jpg
Fight: Everything You Ever Wanted to Know About Ass-Kicking but Were Afraid You'd Get Your Ass Kicked for Asking,Eugene S. Robinson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0061189227"", ""ISBN13:"": ""9780061189227"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Harper"", ""Length:"": ""224 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""11.0\"" x 1.0\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/0872F8F1E1BC6EF0D7D27B86D7E1352B554274D5.jpeg
Life of Evel: Evel Knievel,Stuart Barker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312547358"", ""ISBN13:"": ""9780312547356"", ""Release Date:"": ""November 2008"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""323 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.2\"" x 6.4\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8A7710F02CCDBDDA0450D61528568EA702056235.jpeg
Extreme Fear: The Science of Your Mind in Danger,Jeff Wise,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0230614396"", ""ISBN13:"": ""9780230614390"", ""Release Date:"": ""December 2009"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.0\"" x 6.6\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/2C07118BDB258EB8CF2883F00A8A4961E3703FF4.jpeg
The Parkour & Freerunning Handbook,Parkour Generations,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061783676"", ""ISBN13:"": ""9780061783678"", ""Release Date:"": ""August 2009"", ""Publisher:"": ""Dey Street Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.4\"" x 7.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8CE97C86908510619A34097D2E0BABBB5FB6C466.jpeg
The Complete Idiot's Guide to Geocaching,Geocaching.com,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1592572359"", ""ISBN13:"": ""9781592572359"", ""Release Date:"": ""June 2004"", ""Publisher:"": ""Alpha Books"", ""Length:"": ""316 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""0.7\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5990F306BFA40CBCD3099E4FEC5CDB2891D26B91.jpeg
Fit to Fight: An Insanely Effective Strength and Conditioning Program for the Ultimate Mma Warrior,Jason Ferruggia,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1583333045"", ""ISBN13:"": ""9781583333044"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Avery Publishing Group"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.6\"" x 7.4\"" x 9.2\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/48A51327764E36D7C3670491E078341A2AB1F697.jpeg
The Ultimate Encyclopedia of Extreme Sports: The Illustrated Guide to Maximum Adrenalin Thrills,Joe Tomlinson,"{"""": """"}",https://m.media-amazon.com/images/I/51PYyJF9CcL._SL350_.jpg
Women Who Risk: Profiles of Women in Extreme Sports,Marilyn Olsen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1578261244"", ""ISBN13:"": ""9781578261246"", ""Release Date:"": ""April 2003"", ""Publisher:"": ""Hatherleigh Press"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.6\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8FE93781A0074AE1C82C45C4169F392528BF4DF2.jpeg
Endurance: Down and Dirty Off-Road Racing,Theresa Ortolani,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/ABA269FCA2B4B12F763ECDF4E1851996C654F954.jpeg
The Ultimate Book of Power Kiting and Kiteboarding,Jeremy Boyce,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/EF8187A49210E042B1F90F511207C620259FA7D9.jpeg
Go Ahead Take the Wheel: Road Racing on Your Budget,Dave Gran,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0977786005"", ""ISBN13:"": ""9780977786008"", ""Release Date:"": ""March 2009"", ""Publisher:"": ""Dragon Pub."", ""Length:"": ""188 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.5\"" x 6.3\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E56852A7DF0D3C9473929C94B6F97908C096347.jpeg
Bishop Bouldering,Wills Young,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/E4BA4E30A5B80AA62D167FF7827D28219E17DE33.jpeg
Skate and Destroy: The First 25 Years of Thrasher Magazine,High Speed Productions,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/9C5249B1C5D767C1A973CC2036AB4A5EB3F6AFB6.jpeg
"The Renegade Sportsman: Drunken Runners, Bike Polo Superstars, Roller Derby Rebels, Killer Birds and Othe R Uncommon Thrills on the Wild Front",Zach Dundas,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/6E9107B039277607E6AFFC18EFDF28164C3948E0.jpeg
Lords of Dogtown: Behind the Scenes,Catherine Hardwicke,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/A0447635437909BE0BAE582E52544E3A9F845680.jpeg
Running for My Life: On the Extreme Road with Adventure Runner Ray Zahab,Ray Zahab,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/D493771E6CC778D2381C5C091F38E787804D4B03.jpeg
