Book Name,Authors,Info,Image URL
The 7 Habits of Highly Effective People,Stephen R. Covey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671708635"", ""ISBN13:"": ""9780671708634"", ""Release Date:"": ""September 1990"", ""Publisher:"": ""Free Press"", ""Length:"": ""358 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""1.0\"" x 5.0\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9ECE5DBEB7D777D4FDEA40EB55A241E865E32C78.jpeg
Prescip for Nut Heali,James F. Balch,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""089529429X"", ""ISBN13:"": ""9780895294296"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Avery Publishing Group"", ""Length:"": ""368 Pages"", ""Weight:"": ""2.39 lbs."", ""Dimensions:"": ""1.1\"" x 8.8\"" x 10.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F336C8D37D431F0C5205079B080D59C606AE7BE2.jpeg
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060839872"", ""ISBN13:"": ""9780060839871"", ""Release Date:"": ""August 2005"", ""Publisher:"": ""Mariner Books Classics"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.91 lbs."", ""Dimensions:"": ""1.5\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/6FB8828B575D03B57A4C55F7E9799E96FECCA43F.jpeg
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316346624"", ""ISBN13:"": ""9780316346627"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.74 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AA3D5A22DFD8E248E875867248C7E241E0102448.jpeg
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307352153"", ""ISBN13:"": ""9780307352156"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/D211F830DF684FA207F86CF01FC0ADA3FE1FBAE6.jpeg
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estés,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0345377443"", ""Release Date:"": ""May 1992"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""520 Pages"", ""Weight:"": ""1.84 lbs."", ""Dimensions:"": ""9.6\"" x 1.8\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51ZechSIXNL._SL350_.jpg
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316172324"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Little, Brown and Company"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""8.3\"" x 1.3\"" x 5.8\""""}",https://m.media-amazon.com/images/I/31xkSCM3ikL._SL350_.jpg
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874776945"", ""ISBN13:"": ""9780874776942"", ""Release Date:"": ""July 1992"", ""Publisher:"": ""Tarcher"", ""Length:"": ""222 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""0.8\"" x 7.4\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/EC35F0CC4838E99F2CCA09558C8C2E0F4841F86A.jpeg
"Man's Search for Meaning: An Introduction to Logotherapy (Third Edition, Newly Revised and Enlarged)",Viktor E. Frankl,"{""Format:"": ""Paperback"", ""ISBN:"": ""B001TSB1JG"", ""Release Date:"": ""January 1984"", ""Publisher:"": ""Touchstone Book/Simon & Schuster"", ""Weight:"": ""1.01 lbs.""}",https://m.media-amazon.com/images/I/31MTfttopUL._SL350_.jpg
Mindset: The New Psychology of Success,Carol S. Dweck,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345472322"", ""Release Date:"": ""December 2007"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.59 lbs."", ""Dimensions:"": ""8.0\"" x 0.7\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41wyCevk+6L._SL350_.jpg
