Book Name,Authors,Info,Image URL
I Kissed Shara Wheeler,Casey McQuiston,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250244455"", ""ISBN13:"": ""9781250244451"", ""Release Date:"": ""May 2022"", ""Publisher:"": ""Wednesday Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""2.70 lbs."", ""Dimensions:"": ""1.4\"" x 5.6\"" x 8.5\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/92C9C7C0D3EAA68472F819F81B005579F2C6593C.jpeg
Last Night at the Telegraph Club,Malinda Lo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0525555277"", ""ISBN13:"": ""9780525555278"", ""Release Date:"": ""December 2021"", ""Publisher:"": ""Dutton Books for Young Readers"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/D909705BD95D74B9B8576BE66F51A45E0995CB26.jpeg
What If It's Us,Adam Silvera,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062795236"", ""ISBN13:"": ""9780062795236"", ""Release Date:"": ""May 2020"", ""Publisher:"": ""Harperteen"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""1.2\"" x 5.1\"" x 7.7\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F474CE336B28072FDFEDFFF95677DD11CF2640A4.jpeg
We Are Okay,Nina LaCour,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142422932"", ""ISBN13:"": ""9780142422939"", ""Release Date:"": ""February 2019"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.9\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/66C410213D59C87CB406B932C9CDF5E328D427AA.jpeg
One Last Stop,Casey McQuiston,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1250244498"", ""ISBN13:"": ""9781250244499"", ""Release Date:"": ""June 2021"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""1.2\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/562713982B25FCB494E7B2C7EFF6D09996C86BDE.jpeg
Running with Scissors: A Memior,Augusten Burroughs,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312938853"", ""ISBN13:"": ""9780312707125"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""St. Martin's Press"", ""Weight:"": ""0.40 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/7925C20FBE6AE4E50EA7122F4E3B3EA3F59AB532.jpeg
Fun Home: A Family Tragicomic,Alison Bechdel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0618871713"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Mariner Books Classics"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""9.0\"" x 0.7\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51NUuPD8T+L._SL350_.jpg
Beyond the Gender Binary,Alok Vaid-Menon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0593094654"", ""ISBN13:"": ""9780593094655"", ""Release Date:"": ""June 2020"", ""Publisher:"": ""Penguin Workshop"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""0.4\"" x 4.4\"" x 6.2\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/67A3D20E53BE673A6B216D51324B7FC6C514951B.jpeg
Rubyfruit Jungle,Rita Mae Brown,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""055327886X"", ""Release Date:"": ""May 1983"", ""Publisher:"": ""Bantam"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.31 lbs."", ""Dimensions:"": ""6.9\"" x 0.7\"" x 4.2\""""}",https://m.media-amazon.com/images/I/510No4ZFSxL._SL350_.jpg
The Charm Offensive,Alison Cochrun,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1982170719"", ""ISBN13:"": ""9781982170714"", ""Release Date:"": ""September 2021"", ""Publisher:"": ""Atria Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/690ADA6EFAA2817F153848B508E888BD6C528CE0.jpeg
Brokeback Mountain: Now a Major Motion Picture,Annie Proulx,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743271327"", ""ISBN13:"": ""9780743271325"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.4\"" x 4.8\"" x 7.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/C3A0EC758B4496CA0A2E799475C51A5E6714D4D4.jpeg
"And the Band Played on: Politics, People, and the AIDS Epidemic",Randy Shilts,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312009941"", ""ISBN13:"": ""9780312009946"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""630 Pages"", ""Weight:"": ""2.43 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 9.1\""""}",https://m.media-amazon.com/images/I/417NCiSA8iL._SL350_.jpg
The Miseducation of Cameron Post,Emily M. Danforth,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062020579"", ""ISBN13:"": ""9780062020574"", ""Release Date:"": ""May 2013"", ""Publisher:"": ""Balzer & Bray/Harperteen"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.0\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/BF10E29AC25CC5BB998DB5DDAA4D0C2F07D0CB5B.jpeg
Simon vs. the Homo Sapiens Agenda Special Edition,Becky Albertalli,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062839705"", ""ISBN13:"": ""9780062839701"", ""Release Date:"": ""January 2018"", ""Publisher:"": ""Balzer & Bray/Harperteen"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.4\"" x 5.8\"" x 8.4\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/BF3A24F6C6ECCBB3A2A2B7E6F8AFF1187D0CBAB3.jpeg
"Red, White & Royal Blue",Casey McQuiston,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1250316774"", ""ISBN13:"": ""9781250316776"", ""Release Date:"": ""May 2019"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""1.2\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/06C5658A67A7AF91DB54120CFC60E17558991351.jpeg
Cemetery Boys,Aiden Thomas,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250250463"", ""ISBN13:"": ""9781250250469"", ""Release Date:"": ""September 2020"", ""Publisher:"": ""Swoon Reads"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.2\"" x 5.7\"" x 8.3\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/57D35486C92593ACABE65FEABFA6FB6E8378A413.jpeg
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson,Camille Paglia,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679735798"", ""Release Date:"": ""August 1991"", ""Publisher:"": ""Vintage"", ""Length:"": ""718 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""8.0\"" x 1.5\"" x 5.1\""""}",https://m.media-amazon.com/images/I/511k4T+KZ0L._SL350_.jpg
"The History of Sexuality, Vol. 1: An Introduction",Michel Foucault,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679724699"", ""Release Date:"": ""April 1990"", ""Publisher:"": ""Vintage"", ""Length:"": ""168 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""8.0\"" x 0.5\"" x 5.2\""""}",https://m.media-amazon.com/images/I/31+1zulHC4L._SL350_.jpg
My Own Country: A Doctor's Story,Abraham Verghese,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679752927"", ""ISBN13:"": ""9780679752929"", ""Release Date:"": ""April 1995"", ""Publisher:"": ""Vintage"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.86 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/81E7D6998FC4106B8A0D052BC5077950640656A6.jpeg
Founding Mothers: The Women Who Raised Our Nation,Cokie Roberts,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060090251"", ""ISBN13:"": ""9780060090258"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Harper"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.11 lbs."", ""Dimensions:"": ""1.2\"" x 6.6\"" x 9.0\"""", ""Age Range:"": ""6 to 10 years"", ""Grade Range:"": ""Grades 1 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/6C659513F87F78286BDE143E4EFE3EB32C512F5A.jpeg
Before Night Falls: 2a Memoir,Reinaldo Arenas,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670840785"", ""ISBN13:"": ""9780670840786"", ""Release Date:"": ""October 1993"", ""Publisher:"": ""Viking Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.3\"" x 5.8\"" x 8.7\""""}",https://m.media-amazon.com/images/I/31W+R+lNPuS._SL350_.jpg
You Know Me Well,David Levithan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250098645"", ""ISBN13:"": ""9781250098641"", ""Release Date:"": ""June 2016"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.1\"" x 5.8\"" x 8.1\"""", ""Age Range:"": ""13 to 19 years"", ""Grade Range:"": ""Grade 8 to Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/ABC93EC586C0B58334879A0C3AA397E3C7409EB7.jpeg
"Anatomy of Love: The Natural History of Monogamy, Adultery, and Divorce",Helen Fisher,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0393034232"", ""ISBN13:"": ""9780393034233"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""431 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.5\""""}",https://m.media-amazon.com/images/I/51WLIHNG-GL._SL350_.jpg
Keeping You a Secret,Julie Anne Peters,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316009857"", ""ISBN13:"": ""9780316009850"", ""Release Date:"": ""May 2005"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 8.3\"""", ""Age Range:"": ""12 to 17 years"", ""Grade Range:"": ""Grades 7 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/1E7CB36D8A02C1A5AE307D895C8439D872B1E569.jpeg
Why Be Happy When You Could Be Normal?,Jeanette Winterson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307401251"", ""ISBN13:"": ""9780307401250"", ""Release Date:"": ""July 2012"", ""Publisher:"": ""Vintage Books Canada"", ""Length:"": ""240 Pages"", ""Weight:"": ""4.00 lbs."", ""Dimensions:"": ""0.7\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/93533D6193BA2F043B1E040DEFE96A7CDF33DE1C.jpeg
The Blackwater Lightship,Colm Tóibín,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0771085613"", ""ISBN13:"": ""9780771085611"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""McClelland & Stewart"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.80 lbs.""}",https://m.media-amazon.com/images/I/41JIKJ8P7wL._SL350_.jpg
Borrowed Time: AIDS Memo,Paul Monette,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0380707799"", ""ISBN13:"": ""9780380707799"", ""Release Date:"": ""March 1990"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""342 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.0\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8BE36BAF58F8B984ABBAA9C91232130B429772D1.jpeg
The Laramie Project,Moisés Kaufman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375727191"", ""ISBN13:"": ""9780375727191"", ""Release Date:"": ""September 2001"", ""Publisher:"": ""Vintage Books"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.3\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/364F26A1E9BFF3DCF56D9407787E1E688BE69111.jpeg
When Everything Changed: The Amazing Journey of American Women from 1960 to the Present,Gail Collins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316014044"", ""ISBN13:"": ""9780316014045"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""1.3\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/63ADD6176C1DCDDF5DE226C4592AEF2FAEBCB8F5.jpeg
The Line of Beauty,Alan Hollinghurst,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1582346100"", ""ISBN13:"": ""9781582346106"", ""Release Date:"": ""October 2005"", ""Publisher:"": ""Bloomsbury USA"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/80BA285D38DA526EDD14C37A8E0C0400AEAA09C7.jpeg
Rainbow Boys,Alex Sanchez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0689857705"", ""ISBN13:"": ""9780689857706"", ""Release Date:"": ""May 2003"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/3185EE0432D9F3B0C7494174AFCB82805070AE32.jpeg
Palimpsest: A Memoir,Gore Vidal,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0679440380"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Random House"", ""Length:"": ""435 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""9.8\"" x 1.8\"" x 7.0\""""}",https://m.media-amazon.com/images/I/412nx1L5NAL._SL350_.jpg
Intimate Matters: A History of Sexuality in America,John D'Emilio,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060158557"", ""ISBN13:"": ""9780060158552"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""450 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.2\"" x 5.3\"" x 8.0\""""}",https://m.media-amazon.com/images/I/51maj6bj5vL._SL350_.jpg
Six of One,Rita Mae Brown,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553380370"", ""ISBN13:"": ""9780553380378"", ""Release Date:"": ""July 1999"", ""Publisher:"": ""Random House Publishing Group"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.8\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/246B1205D18977BEC81AB0C518E22DE976138A27.jpeg
