Book Name,Authors,Info,Image URL
Wiseguy: Life in a Mafia Family,Nicholas Pileggi,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671633929"", ""ISBN13:"": ""9780671633929"", ""Release Date:"": ""February 1987"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""289 Pages"", ""Weight:"": ""0.38 lbs.""}",https://m.media-amazon.com/images/I/51ue7gcqN+L._SL350_.jpg
Catch Me If You Can,Frank W. Abagnale,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0965496309"", ""ISBN13:"": ""9780965496308"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""NEWMARKET PRESS."", ""Length:"": ""293 Pages"", ""Weight:"": ""0.95 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/EE2FD630B8594496F88CF0C2B9C1E9D8C1A91671.jpeg
Always Running: La Vida Loca: Gang Days in L.A.,Luis J. Rodríguez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743276914"", ""Release Date:"": ""October 2005"", ""Publisher:"": ""Atria Books"", ""Length:"": ""262 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""8.4\"" x 0.7\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51G48+jUkrL._SL350_.jpg
Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0802141447"", ""ISBN13:"": ""9780802141446"", ""Release Date:"": ""June 2004"", ""Publisher:"": ""Grove Press"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""1.1\"" x 5.0\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/CEC74416690974D3E521F079E38DDD7BAEFF6036.jpeg
Papillon,Henri Charrière,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061120669"", ""ISBN13:"": ""9780061120664"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""576 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""1.0\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/223F83819F168381828E55F5C2C9997705CF6EDE.jpeg
The Wolf of Wall Street,Jordan Belfort,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345549333"", ""ISBN13:"": ""9780345549334"", ""Release Date:"": ""November 2013"", ""Publisher:"": ""Bantam"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""1.5\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D9F02A4FB8A3551776DC8DC5C4E5ACCCA6AA8957.jpeg
The Ice Man: Confessions of a Mafia Contract Killer,Philip Carlo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312374658"", ""ISBN13:"": ""9780312374655"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""440 Pages"", ""Weight:"": ""0.91 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8177F61CE803D61C601D8767826AA35B66922CAA.jpeg
Journey Into Darkness,Mark Olshaker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684833042"", ""ISBN13:"": ""9780684833040"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""383 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9EABF7A0D7AACBF18EDA9C0751C59DC0732AC06A.jpeg
"Bitter Blood: A True Story of Southern Family Pride, Madness, and Multiple Murder",Jerry Bledsoe,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451402103"", ""ISBN13:"": ""9780451402103"", ""Release Date:"": ""April 1989"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""573 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""1.6\"" x 4.2\"" x 6.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/D19AD7CD41012EBEBF43F77E920D2E754FF1ABFC.jpeg
Portrait of a Killer: Jack the Ripper Case Closed,Patricia Cornwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399149325"", ""ISBN13:"": ""9780399149320"", ""Release Date:"": ""November 2002"", ""Publisher:"": ""G. P. Putnam's Sons"", ""Length:"": ""387 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.6\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/3539AC12EA3EA3987C57A3F6B76F82024CD192E9.jpeg
"If a Pirate I Must Be...: The True Story of ""black Bart,"" King of the Caribbean Pirates",Richard Sanders,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1602396248"", ""ISBN13:"": ""9781602396241"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Skyhorse Publishing"", ""Length:"": ""278 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.0\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/8D9E734FAC0130847E7C150A91373D972A9A1709.jpeg
My Bloody Life: The Making of a Latin King,Reymundo Sánchez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1556524277"", ""ISBN13:"": ""9781556524271"", ""Release Date:"": ""July 2000"", ""Publisher:"": ""Chicago Review Press"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.96 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/FB5615126704C062AF9D5130F0100C8BF997E2DA.jpeg
Untouchables: Untouchables,Oscar Fraley,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671644491"", ""ISBN13:"": ""9780671644499"", ""Release Date:"": ""June 1987"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.23 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.7\""""}",https://m.media-amazon.com/images/I/41JAskR4EPL._SL350_.jpg
"Ballad of the Whiskey Robber: A True Story of Bank Heists, Ice Hockey, Transylvanian Pelt Smuggling, Moonlighting Detectives, and Broken Hearts",Julian Rubinstein,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316010731"", ""ISBN13:"": ""9780316010733"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/A05F12E6DBF9BCAB5A67C6360E0EFDADAD429DFC.jpeg
Three-Month Fever: The Andrew Cunanan Story,Gary Indiana,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060191457"", ""ISBN13:"": ""9780060191450"", ""Release Date:"": ""March 1999"", ""Publisher:"": ""Harper"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/9D1350C76FD185A2436B3841D9F6C56D7DBDCD38.jpeg
