Book Name,Authors,Info,Image URL
The Iron Flower,Laurie Forest,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""133591739X"", ""ISBN13:"": ""9781335917393"", ""Release Date:"": ""September 2018"", ""Publisher:"": ""Harlequin Teen"", ""Length:"": ""608 Pages"", ""Weight:"": ""2.30 lbs."", ""Dimensions:"": ""1.6\"" x 6.5\"" x 9.3\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E86D8B205B5E898A21C24DC0AE24E9EF3AF9B12A.jpeg
The Black Witch,Laurie Forest,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1335468862"", ""ISBN13:"": ""9781335468864"", ""Release Date:"": ""August 2018"", ""Publisher:"": ""Harlequin Teen"", ""Length:"": ""672 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.6\"" x 5.3\"" x 7.9\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/4C010D10FE9F6549F7A48817285BE0443BEC3F9C.jpeg
The Betrothed,Kiera Cass,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062291637"", ""ISBN13:"": ""9780062291639"", ""Release Date:"": ""May 2020"", ""Publisher:"": ""Harperteen"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.3\"" x 5.8\"" x 8.3\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C0883FD6944ACB9207573DA80CA9776392EA6ACA.jpeg
Once Upon a Time: Henry and Violet,Michelle Zink,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1368023703"", ""ISBN13:"": ""9781368023702"", ""Release Date:"": ""May 2018"", ""Publisher:"": ""Kingswell Teen"", ""Length:"": ""368 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.5\"" x 5.9\"" x 7.1\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/FCECEA1D34867EEA88C0EC6B6DFCD79BB1587612.jpeg
Court of Shadows,Madeleine Roux,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062498703"", ""ISBN13:"": ""9780062498700"", ""Release Date:"": ""June 2018"", ""Publisher:"": ""Harperteen"", ""Length:"": ""432 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.4\"" x 5.8\"" x 8.4\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/3E9F9453649CE66D07A178B0E9CD8043D660B6CA.jpeg
Stormcaster,Cinda Williams Chima,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062381008"", ""ISBN13:"": ""9780062381002"", ""Release Date:"": ""April 2018"", ""Publisher:"": ""Harperteen"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""2.0\"" x 5.6\"" x 8.3\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/A2FF704DABC0EB10280F4A24BC14F84FC1E50FA2.jpeg
Toil & Trouble: 15 Tales of Women & Witchcraft,Elizabeth May,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1335016279"", ""ISBN13:"": ""9781335016270"", ""Release Date:"": ""August 2018"", ""Publisher:"": ""Harlequin Teen"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.4\"" x 5.8\"" x 8.3\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E3A64E31033177E2F98DF830E4C048C4E8DCB6D8.jpeg
The Rose and The Beast: Fairy Tales Retold,Francesca Lia Block,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060281294"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""HarperTeen"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""7.0\"" x 0.9\"" x 5.0\""""}",https://m.media-amazon.com/images/I/51fUhGzdf4L._SL350_.jpg
Legion,Julie Kagawa,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""037321197X"", ""ISBN13:"": ""9780373211975"", ""Release Date:"": ""April 2017"", ""Publisher:"": ""Harlequin Teen"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""1.5\"" x 5.7\"" x 8.3\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E8BB2CC9B90E0477E082A2FE0B6B810D97456839.jpeg
Stone Cold Touch,Jennifer L. Armentrout,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0373211341"", ""ISBN13:"": ""9780373211340"", ""Release Date:"": ""October 2014"", ""Publisher:"": ""Harlequin Teen"", ""Length:"": ""457 Pages"", ""Weight:"": ""0.87 lbs."", ""Dimensions:"": ""1.2\"" x 5.4\"" x 8.6\"""", ""Age Range:"": ""14 to 11 years"", ""Grade Range:"": ""Grades 9 to 6""}",https://i.thriftbooks.com/api/imagehandler/m/D2313E980CB97EF1924BBAF3EE106A02BD1CE4AD.jpeg
