Book Name,Authors,Info,Image URL
Style,Kate Spade,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0743250672"", ""ISBN13:"": ""9780743250672"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""111 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.6\"" x 6.2\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/6894C8CEEA90C6550EAB861506FF0BE015153708.jpeg
The Fashion Book,Phaidon Press,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""071484859X"", ""ISBN13:"": ""9780714848594"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Phaidon Press"", ""Length:"": ""512 Pages"", ""Weight:"": ""4.20 lbs."", ""Dimensions:"": ""1.6\"" x 8.3\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/B7BE9AC43F48A708E896F0740014FEEF7D572E20.jpeg
Godey's Fashions Coloring Book,Ming-Ju Sun,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/BAA0DC3609F37772D61CC38BFD85B332011B5C1C.jpeg
Shoes: A Lexicon of Style,Valerie Steele,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0847821668"", ""ISBN13:"": ""9780847821662"", ""Release Date:"": ""February 1999"", ""Publisher:"": ""Rizzoli"", ""Length:"": ""192 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""11.0\"" x 1.0\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/612ACF91F954CA0DE43BE4D80F189FE873B13AC2.jpeg
Jackie Style,Pamela Clarke Keogh,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060199520"", ""ISBN13:"": ""9780060199524"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""It Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""0.8\"" x 7.7\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/B1214382C980C69BB7599185DD0AA079E020023C.jpeg
Vintage Fashion: Collecting and Wearing Designer Classics,Sarah Kennedy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1844422682"", ""ISBN13:"": ""9781844422685"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Carlton Publishing Group"", ""Length:"": ""223 Pages"", ""Weight:"": ""2.80 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/FB0A115D4BB550BBD41C8A1797CE763EA0B5F890.jpeg
Dior,Marie-France Pochna,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""2843236762"", ""ISBN13:"": ""9782843236761"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""Assouline"", ""Length:"": ""79 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.5\"" x 6.5\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/BABA2DBA35901F33BB9C7A80EE989F8C782353ED.jpeg
Contemporary Fashion,Richard Martin,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/43E363E7B5F1FA2213C6897178E4171FB17D27F0.jpeg
Cartier,Philippe Trétiack,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0789300877"", ""ISBN13:"": ""9780789300874"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""Universe Publishing(NY)"", ""Length:"": ""79 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.5\"" x 6.5\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/B002E57AC03327FAC14B4B5A81CEF082025A232F.jpeg
Textile Art of Japan,Sunny Yang,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0870407732"", ""ISBN13:"": ""9780870407734"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""Kodansha"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""0.6\"" x 8.7\"" x 10.5\""""}",https://m.media-amazon.com/images/I/51YrRQnjogL._SL350_.jpg
