Book Name,Authors,Info,Image URL
Special Effects: In Film and Television,Jake Hamilton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""078942813X"", ""ISBN13:"": ""9780789428134"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""63 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""0.6\"" x 10.5\"" x 12.4\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/8F2D5D042C895BF9C8E2046112B2C807FD015954.jpeg
"Disney Princess the Essential Guide, New Edition",D.K. Publishing,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1465486127"", ""ISBN13:"": ""9781465486127"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""0.5\"" x 8.7\"" x 10.9\"""", ""Age Range:"": ""5 to 9 years"", ""Grade Range:"": ""Preschool to Grade 4""}",https://i.thriftbooks.com/api/imagehandler/m/97C0A32FB9BB126F93144FAB06CD9C9A272914F1.jpeg
Indiana Jones: The Ultimate Guide,James Luceno,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0756635004"", ""ISBN13:"": ""9780756635008"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""143 Pages"", ""Weight:"": ""2.20 lbs."", ""Dimensions:"": ""0.6\"" x 10.3\"" x 12.1\"""", ""Age Range:"": ""10 years and up"", ""Grade Range:"": ""Grade 5 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/1BCE9552B54667EE9B97CE6462CA0A66A6C11700.jpeg
The Haunted Mansion: From the Magic Kingdom to the Movies,Jason Surrell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0786854197"", ""ISBN13:"": ""9780786854196"", ""Release Date:"": ""October 2003"", ""Publisher:"": ""Disney Editions"", ""Length:"": ""131 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""0.5\"" x 8.5\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/80C53E3CD9E44864FB634CCD9B339FA65F522278.jpeg
The Lord of the Rings: The Making of the Movie Trilogy,Brian Sibley,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0618258000"", ""ISBN13:"": ""9780618258000"", ""Release Date:"": ""November 2002"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""191 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""0.7\"" x 8.8\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C65303969F9263561C04B964E9A68833BAE6F13.jpeg
Ultimate X-Men Comics,Stan Lee,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""078949258X"", ""ISBN13:"": ""9780789492586"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""184 Pages"", ""Weight:"": ""2.95 lbs."", ""Dimensions:"": ""0.7\"" x 10.4\"" x 12.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/784D08AB6BE2CA6D503A219EBD631CD15E3FA2EA.jpeg
The Wimpy Kid Movie Diary: How Greg Heffley Went Hollywood,Jeff Kinney,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""141970642X"", ""ISBN13:"": ""9781419706424"", ""Release Date:"": ""June 2012"", ""Publisher:"": ""Amulet Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 8.0\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/B26F8DE35046D5B1AB78DA2EFA71D2506B679E70.jpeg
The Pirates' Guidelines,Joshamee Gibbs,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/222A4E2A371AE66DD060848FCB4F464E1109636A.jpeg
Star Wars: The Complete Visual Dictionary: The Ultimate Guide to Characters and Creatures from the Entire Star Wars Saga,Ryder Windham,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0756622387"", ""ISBN13:"": ""9780756622381"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""270 Pages"", ""Weight:"": ""3.85 lbs."", ""Dimensions:"": ""1.0\"" x 10.2\"" x 11.9\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/6F033C7E6E5392D35A5BE2B353CCBAACC9209893.jpeg
The First Movie: Mewtwo Stirkes Back,Takeshi Shudo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1569314276"", ""ISBN13:"": ""9781569314272"", ""Release Date:"": ""December 1999"", ""Publisher:"": ""Viz Communications"", ""Length:"": ""63 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.3\"" x 8.2\"" x 10.3\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/DE9E1A9C4DCD587F6DD0EAADED68A73E441697D6.jpeg
