Book Name,Authors,Info,Image URL
The Wealthy Barber: The Common Sense Guide to Successful Financial Planning,David Chilton,"{""Format:"": ""Paperback"", ""ISBN:"": ""0968394736"", ""ISBN13:"": ""9780968394731"", ""Release Date:"": ""February 2002"", ""Publisher:"": ""Stoddart Pub"", ""Length:"": ""197 Pages"", ""Weight:"": ""0.59 lbs.""}",https://images-na.ssl-images-amazon.com/images/I/51EB05PAA3L._SL160_.jpg
Wall Street Journal Guide to Understanding Money and Investing,Alan M. Siegel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067189451X"", ""ISBN13:"": ""9780671894511"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Fireside Books"", ""Length:"": ""160 Pages"", ""Weight:"": ""3.65 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/2EA8BE954C4D107C7F7D268DCEC4AF3987E18454.jpeg
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316346624"", ""ISBN13:"": ""9780316346627"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.74 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AA3D5A22DFD8E248E875867248C7E241E0102448.jpeg
Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0471121045"", ""ISBN13:"": ""9780471121046"", ""Release Date:"": ""August 1996"", ""Publisher:"": ""Wiley"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""1.3\"" x 6.3\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/380CDA56D6C3C66BD2D5B64F06A837C2227E4C7F.jpeg
The Essays of Warren Buffett: Lessons for Corporate America,Warren Buffett,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0966446119"", ""ISBN13:"": ""9780966446111"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Cardozo Law Review"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.6\"" x 6.7\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6758BDD6EE278655C940A08C1756ACC64D6D8877.jpeg
Multiple Streams of Income: How to Generate a Lifetime of Unlimited Wealth,Robert G. Allen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0471381802"", ""ISBN13:"": ""9780471381808"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.46 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/E687AF02FD688ABE78A5835D9C602101258F1371.jpeg
Smart Women Finish Rich: 9 Steps to Achieving Financial Security and Funding Your Dreams,David Bach,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""076791029X"", ""ISBN13:"": ""9780767910293"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Crown Business"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.59 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2EEC3FE7BE51BED6DF8505B5B0474C4C9F5B140C.jpeg
Rich Dad's Guide to Investing: What the Rich Invest in That the Poor and Middle Class Do Not!,Lechter Sharon L.,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446677469"", ""ISBN13:"": ""9780446677462"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""Warner Books (NY)"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""1.1\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/DD50A62360D0CBB3B7F3FFD450E04499AD207BAB.jpeg
Accounting for Dummies,John A. Tracy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0764578367"", ""ISBN13:"": ""9780764578366"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Wiley Publishing"", ""Length:"": ""386 Pages"", ""Weight:"": ""1.23 lbs."", ""Dimensions:"": ""0.9\"" x 7.3\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/DAF7EBBC52B564F84F9ED5D3F96C4286F4063F81.jpeg
The 9 Steps to Financial Freedom: Practical and Spiritual Steps So You Can Stop Worrying,Suze Orman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""030734584X"", ""ISBN13:"": ""9780307345844"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Crown Currency"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0ABE1C7AEB679BC0DC977DEAE5923C16EB63322E.jpeg
The Financial Peace Planner: A Step-By-Step Guide to Restoring Your Family's Financial Health,Dave Ramsey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""014026468X"", ""ISBN13:"": ""9780140264685"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""0.7\"" x 7.4\"" x 9.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/5387BF0D53A2FF7F344775A4DBA61C17EE9F7865.jpeg
The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk!,Al Ries,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0887306667"", ""Release Date:"": ""April 1994"", ""Publisher:"": ""HarperBusiness"", ""Length:"": ""143 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""8.0\"" x 0.4\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41MclR3KoiL._SL350_.jpg
The Only Investment Guide You'll Ever Need,Andrew Tobias,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0544781937"", ""ISBN13:"": ""9780544781931"", ""Release Date:"": ""April 2016"", ""Publisher:"": ""Harper Business"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.17 lbs."", ""Dimensions:"": ""1.0\"" x 5.3\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D0AC7AA349A3231ACCD8FA2F404A3559BF54FDE0.jpeg
"Rich Dad's Retire Young, Retire Rich: How to Get Rich Quickly and Stay Rich Forever!",Robert T. Kiyosaki,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446678430"", ""ISBN13:"": ""9780446678438"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Business Plus"", ""Length:"": ""335 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/6EA6C08154FD1141B1B9E97300DFABBD41056297.jpeg
"House of Gucci: A Sensational Story of Murder, Madness, Glamour, and Greed",Sara Gay Forden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060937750"", ""ISBN13:"": ""9780060937751"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Custom House"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6E6CC9F25A2DA7317CFC27E4A0B04FE3CE044C7F.jpeg
Crossing the Chasm,Geoffrey A. Moore,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060517123"", ""ISBN13:"": ""9780060517120"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""HarperBusiness"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/25D1D4112657EF96EF8B0E4E922E1B3A574DEFFE.jpeg
Positioning: The Battle for Your Mind,Al Ries,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071373586"", ""ISBN13:"": ""9780071373586"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/C8F4B8B2F36701299F83F45A5F96A031502EBAC0.jpeg
Yes!: 50 Scientifically Proven Ways to Be Persuasive,Steve J. Martin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416570969"", ""ISBN13:"": ""9781416570967"", ""Release Date:"": ""June 2008"", ""Publisher:"": ""Free Press"", ""Length:"": ""258 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""1.0\"" x 5.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/0BB316E78FA2F59814B01AA14C1E1F7E28CBA875.jpeg
How to Read a Financial Report,John A. Tracy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471327069"", ""ISBN13:"": ""9780471327066"", ""Release Date:"": ""February 1999"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""184 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.6\"" x 9.9\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/4D9C9DE9AC266BC99DCBF6BFB94CE3F3A3BC2387.jpeg
The Copywriter's Handbook: A Step-By-Step Guide to Writing Copy That Sells,Robert W. Bly,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0805078045"", ""ISBN13:"": ""9780805078046"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Holt McDougal"", ""Length:"": ""410 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/07FF095CA9D92F2B3AC9E363A31DE71F9B924FE9.jpeg
The 21 Success Secrets of Self-made Millionaires- How to Achieve Financial Independence Faster and Easier Than You Ever Thought Possible,Brian Tracy,"{""Format:"": ""Paperback"", ""ISBN:"": ""1576753964"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Executive Books"", ""Weight:"": ""0.30 lbs.""}",https://image-plz.thriftbooks.com/m/0D48964821CD4789B616E7932706AD3E.png
"It's Not How Good You Are, It's How Good You Want to Be",Paul Arden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0714843377"", ""ISBN13:"": ""9780714843377"", ""Release Date:"": ""June 2003"", ""Publisher:"": ""Phaidon Press"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.6\"" x 4.8\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4EB8C06088AF329E7A45F26A9F5389D6856A7BA5.jpeg
