Book Name,Authors,Info,Image URL
Newcomb's Wildflower Guide,Lawrence Newcomb,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316604429"", ""ISBN13:"": ""9780316604420"", ""Release Date:"": ""April 1989"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""490 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.8\"" x 4.9\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/EEFF0BD7B506506D1306D618C3B2325FF6627A8A.jpeg
North American Wildlife,Reader's Digest Association,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0895771020"", ""ISBN13:"": ""9780895771025"", ""Release Date:"": ""May 1982"", ""Publisher:"": ""Reader's Digest Association"", ""Length:"": ""559 Pages"", ""Weight:"": ""2.43 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CD0AAA6DA739CFFE63062C230BBEEF49371D3276.jpeg
"The Meaning of Flowers: Myth, Language & Lore",Ann Field,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0811819310"", ""ISBN13:"": ""9780811819312"", ""Release Date:"": ""April 1998"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""108 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/9DFCC7A80EA378AB2A815A34952A1395472E0DF6.jpeg
Wildflowers of Texas,Geyata Ajilvsgi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0940672464"", ""ISBN13:"": ""9780940672468"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Shearer Publishing"", ""Length:"": ""414 Pages"", ""Weight:"": ""3.08 lbs."", ""Dimensions:"": ""0.8\"" x 4.4\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/79686924932784196F6F31C593CB84DE6F9F92CD.jpeg
Botany in a Day: The Patterns Method of Plant Identification,Thomas J. Elpel,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/21232D16F76101710E648AD7F00E64594EEFD009.jpeg
"Flower Confidential: The Good, the Bad, and the Beautiful in the Business of Flowers",Amy Stewart,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1565124383"", ""ISBN13:"": ""9781565124387"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Algonquin Books of Chapel Hill"", ""Length:"": ""306 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.1\"" x 5.9\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/DF050B0500B45295D49CE2D21C8BCBE696DF62AD.jpeg
Roses Love Garlic,Louise Riotte,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0882663313"", ""ISBN13:"": ""9780882663319"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Garden Way Pub. Co."", ""Length:"": ""236 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/3F401788BF91A0402F42C99E889729C430FF349F.jpeg
Pfg to Wildflowers of Northeastern and North-Central North America,Roger Tory Peterson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0395906679"", ""ISBN13:"": ""9780395906675"", ""Release Date:"": ""February 1998"", ""Publisher:"": ""Mariner Books"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.3\"" x 3.8\"" x 7.2\"""", ""Grade Range:"": ""Preschool and higher""}",https://i.thriftbooks.com/api/imagehandler/m/93DC20A4B08F765D614F4DC9FFE6C7CA4AD3EBBD.jpeg
A Guide to Field Identification Wildflowers of North America,Frank D. Venning,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307136647"", ""ISBN13:"": ""9780307136640"", ""Release Date:"": ""January 1984"", ""Publisher:"": ""Golden Books"", ""Length:"": ""340 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.7\"" x 4.5\"" x 7.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/65706F32D091F5F2C86E8D3C94A0C6D40F48526C.jpeg
National Audubon Society Field Guide to North American Wildflowers (Eastern Region),Nancy Olmstead,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394504321"", ""Release Date:"": ""June 1979"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""888 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""7.5\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51uAv9dkylL._SL350_.jpg
Rodale's Illustrated Encyclopedia of Perennials,C. Colston Burrell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0875965709"", ""ISBN13:"": ""9780875965703"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""533 Pages"", ""Weight:"": ""2.83 lbs."", ""Dimensions:"": ""1.2\"" x 7.7\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/A9D3E55419571242DA54349B1E3FEAC3D81C5705.jpeg
Wild Flowers of America,Mary Vaux Walcott,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0517642697"", ""ISBN13:"": ""9780517642696"", ""Release Date:"": ""October 1987"", ""Publisher:"": ""Random House Value Publishing"", ""Length:"": ""71 Pages"", ""Weight:"": ""3.85 lbs.""}",https://m.media-amazon.com/images/I/511MSn7Y0HL._SL350_.jpg
Plant Propagation: Principles and Practices,Dale E. Kester,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0136810160"", ""ISBN13:"": ""9780136810162"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""647 Pages"", ""Weight:"": ""3.39 lbs."", ""Dimensions:"": ""1.2\"" x 8.3\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/946927EE57C1DD11E7284A1763B0862A196658A8.jpeg
National Audubon Society Field Guide to Wildflowers: Western,National Audubon Society,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394504313"", ""ISBN13:"": ""9780394504315"", ""Release Date:"": ""June 1979"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""872 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""1.3\"" x 4.2\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/2F14471FC8EBA926EEC74888F64F765C24F48E39.jpeg
100 Flowers Gift Edition,Georgia O'Keeffe,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067973323X"", ""ISBN13:"": ""9780679733232"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Alfred A. Knopf"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.4\"" x 4.0\"" x 4.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/7B7A8997CAE290F7F3DA507EB69B121967B3623D.jpeg
Language of Flowers,Kate Greenaway,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486273725"", ""ISBN13:"": ""9780486273723"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""80 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.2\"" x 4.7\"" x 5.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/5E9E3DBCFC9579CAAEFA0ED38983AA0C5C9504C8.jpeg
Botany: An Introduction to Plant Biology,James D. Mauseth,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0763707465"", ""ISBN13:"": ""9780763707460"", ""Release Date:"": ""February 1998"", ""Publisher:"": ""Jones & Bartlett Publishers"", ""Length:"": ""794 Pages"", ""Weight:"": ""4.85 lbs."", ""Dimensions:"": ""1.4\"" x 9.4\"" x 11.2\""""}",https://m.media-amazon.com/images/I/510JV91Z5SL._SL350_.jpg
Florida Wild Flowers: And Roadside Plants,Bryan J. Taylor,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0960868801"", ""ISBN13:"": ""9780960868803"", ""Release Date:"": ""December 2006"", ""Publisher:"": ""University of North Carolina Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""2.20 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/2394E324C12174021C9569B4BED1DE7FAF3E7DEF.jpeg
Flowers: A Guide to Familiar American Wildflowers,Alexander C. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307240541"", ""ISBN13:"": ""9780307240545"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Golden Press"", ""Length:"": ""159 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.3\"" x 4.0\"" x 5.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/B1F0B650380CE289D0CC487A7CE618E4462F48B8.jpeg
The Tulip: The Story of a Flower That Has Made Men Mad,Anna Pavord,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1582340137"", ""ISBN13:"": ""9781582340135"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Bloomsbury Publishing PLC"", ""Length:"": ""448 Pages"", ""Weight:"": ""3.60 lbs."", ""Dimensions:"": ""1.9\"" x 7.8\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8153DE8423EFC950D70175C8C0A5C3BE88192F92.jpeg
Mountains,G.K. Guennel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1565791193"", ""ISBN13:"": ""9781565791190"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Westcliffe Publishers"", ""Length:"": ""2 Pages"", ""Weight:"": ""3.60 lbs."", ""Dimensions:"": ""0.9\"" x 5.6\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/89C9331C22B0156056735A44177B586831C5B9D2.jpeg
Peterson Field Guide (R) to Rocky Mountain Wildflowers,Joan C. Craighead,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0395183243"", ""ISBN13:"": ""9780395183243"", ""Release Date:"": ""January 1974"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.8\"" x 4.5\"" x 7.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4B922D46EFE3A1817B483CB773DEAFB773813A02.jpeg
Flowers and Plants of Hawaii: Pocket Guide Series,Paul Wood,"{"""": """"}",https://m.media-amazon.com/images/I/510JTNCXXHL._SL350_.jpg
