Book Name,Authors,Info,Image URL
"Fahrenheit 451: The Temperature at Which Book Paper Catches Fire, and Burns",Ray Bradbury,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345342968"", ""ISBN13:"": ""9780345342966"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Del Rey Books"", ""Length:"": ""190 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""0.6\"" x 5.1\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/BE32C86A5B3A37B138DC8AB21C8375B5996746CB.jpeg
The Book Thief,Markus Zusak,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375842209"", ""ISBN13:"": ""9780375842207"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Alfred A. Knopf Books for Young Readers"", ""Length:"": ""608 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""1.4\"" x 5.2\"" x 7.9\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9E600B1C66FEEF413210EFE854A7E2C1018EF609.jpeg
"The Old Man and The Sea, Book Cover May Vary",Ernest Hemingway,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684801221"", ""Release Date:"": ""May 1995"", ""Publisher:"": ""Scribner"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.32 lbs."", ""Dimensions:"": ""8.0\"" x 0.3\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41x6069+8wL._SL350_.jpg
One Hundred Years of Solitude,Gabriel García Márquez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060919655"", ""ISBN13:"": ""9780060919658"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""422 Pages"", ""Weight:"": ""0.71 lbs."", ""Dimensions:"": ""1.1\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9546594BCCB87A743A69DF1E978FF5A704B36350.jpeg
The Stranger,Albert Camus,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679720200"", ""Release Date:"": ""March 1989"", ""Publisher:"": ""Vintage"", ""Length:"": ""123 Pages"", ""Weight:"": ""0.39 lbs."", ""Dimensions:"": ""7.9\"" x 0.5\"" x 5.1\""""}",https://m.media-amazon.com/images/I/517eqjeVDzL._SL350_.jpg
The Silmarillion,J.R.R. Tolkien,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0395257301"", ""ISBN13:"": ""9780395257302"", ""Release Date:"": ""January 1977"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""365 Pages"", ""Weight:"": ""1.51 lbs.""}",https://m.media-amazon.com/images/I/51Qsd46W5xL._SL350_.jpg
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0964729237"", ""Release Date:"": ""July 2007"", ""Publisher:"": ""Windblown Media"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""5.3\"" x 0.6\"" x 8.0\""""}",https://m.media-amazon.com/images/I/518nBzyV7hL._SL350_.jpg
Winnie-The-Pooh,A.A. Milne,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0525444432"", ""ISBN13:"": ""9780525444435"", ""Release Date:"": ""October 1988"", ""Publisher:"": ""Dutton Books for Young Readers"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 7.4\"""", ""Age Range:"": ""7 to 9 years"", ""Grade Range:"": ""Grades 2 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/124825C9D43EDA7CCC739A38114335979B4F8A39.jpeg
Misery,Stephen King,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451153553"", ""ISBN13:"": ""9780451153555"", ""Release Date:"": ""June 1988"", ""Publisher:"": ""Signet Book"", ""Length:"": ""338 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.0\"" x 7.0\"" x 5.0\""""}",https://m.media-amazon.com/images/I/51lwgffGT6L._SL350_.jpg
Interview with the Vampire,Anne Rice,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345337662"", ""Release Date:"": ""September 1991"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.57 lbs."", ""Dimensions:"": ""6.9\"" x 0.9\"" x 4.1\""""}",https://m.media-amazon.com/images/I/41nx412z55L._SL350_.jpg
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,"{""Format:"": ""Imitation Leather"", ""Language:"": ""English"", ""ISBN:"": ""0060554738"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""Harper Collins"", ""Length:"": ""452 Pages"", ""Weight:"": ""1.43 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.1\""""}",https://m.media-amazon.com/images/I/51K53MsT7FL._SL350_.jpg
Evermore: The Immortals,Alyson Noel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""031253275X"", ""ISBN13:"": ""9780312532758"", ""Release Date:"": ""February 2009"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""12 to 18 years"", ""Grade Range:"": ""Grade 7 to Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/62FF651B2E15087400DAA68ED55B4F611F0B0D9D.jpeg
The Double Flame: Love and Eroticism,Octavio Paz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0156003651"", ""ISBN13:"": ""9780156003650"", ""Release Date:"": ""June 1996"", ""Publisher:"": ""Ecco Press"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/B69C25E8016019CEEBA9C3B64EA82B34BF8F721C.jpeg
In the Name of Salome,Julia Alvarez,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1565122763"", ""ISBN13:"": ""9781565122765"", ""Release Date:"": ""June 2000"", ""Publisher:"": ""Algonquin Books of Chapel Hill"", ""Length:"": ""357 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.1\"" x 5.9\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/835D9792231D3698B023A7C2D4DDDA7D86C189C6.jpeg
"Aimee and Jaguar: A Love Story, Berlin 1943",Erica Fischer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1555834507"", ""ISBN13:"": ""9781555834500"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Alyson Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/AF00B77259F685A960E998A9618EAE9D30DA99B7.jpeg
Happiness: A Guide to Developing Life's Most Important Skill,Matthieu Ricard,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316167258"", ""ISBN13:"": ""9780316167253"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/B594EA550FE02E8431743E451E5B6A9E2B1E63C7.jpeg
I Remain in Darkness,Annie Ernaux,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1583220526"", ""ISBN13:"": ""9781583220528"", ""Release Date:"": ""December 2000"", ""Publisher:"": ""Seven Stories Press"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.3\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF3911EAD88D3A16D1A35C87B5164D81ABC79CC1.jpeg
The Twelve Gifts of Birth,Charlene Costanzo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0066211042"", ""ISBN13:"": ""9780066211046"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.6\"" x 8.6\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/F6D4F056D24D736FA631E66B20FA648ABF6F62DC.jpeg
Youth in Sexual Ecstasy,Carlos Cuauhtémoc Sánchez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""9687277165"", ""ISBN13:"": ""9789687277165"", ""Release Date:"": ""September 1997"", ""Publisher:"": ""Giron Books"", ""Length:"": ""221 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.7\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/87D3D9ADF6B971AC561407A0FD89AF2258137DBA.jpeg
The Wheel of Time: The Shamans of Mexico Their Thoughts about Life Death and the Universe,Carlos Castaneda,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""074341280X"", ""ISBN13:"": ""9780743412803"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Washington Square Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/E9A93F91D9D6FAF2CE5FE56A61DBB50EEEFC5003.jpeg
The Hobbit: An Illustrated Edition of the Fantasy Classic,J.R.R. Tolkien,"{""Format:"": ""Paperback"", ""ISBN:"": ""0385365322"", ""ISBN13:"": ""9780385365321"", ""Release Date:"": ""January 2016"", ""Publisher:"": ""Ballantine Books - Del Rey"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.15 lbs.""}",https://m.media-amazon.com/images/I/51WCd9A9yPL._SL350_.jpg
His Bright Light: The Story of Nick Traina,Danielle Steel,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385333463"", ""ISBN13:"": ""9780385333467"", ""Release Date:"": ""September 1998"", ""Publisher:"": ""Delacorte Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/8C09F12954AA91429329C389EF3CCB29910F8873.jpeg
"The Richest Man Who Ever Lived: King Solomon's Secrets to Success, Wealth, and Happiness",Steven K. Scott,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385516665"", ""Release Date:"": ""February 2006"", ""Publisher:"": ""Crown Currency"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""7.8\"" x 1.0\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41no9h6FNeL._SL350_.jpg
