Book Name,Authors,Info,Image URL
Games Magazine the Book of Sense and Nonsense Puzzles,Ronnie Shushan,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/364A7C02235D477A8706ADD4ABE8AEB30CDA2513.jpeg
Do Penguins Have Knees?: An Imponderables Book,David Feldman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060740914"", ""ISBN13:"": ""9780060740917"", ""Release Date:"": ""November 2004"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/FBDC51F93FC8DEADDBDE9558AF4574E17A8419E5.jpeg
Games Magazine Junior Kids' Big Book of Games,Karen C. Anderson,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/DEF92B66FCAE496985CF46079AF4814991652F59.jpeg
The Lady or the Tiger?,Raymond M. Smullyan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394514661"", ""ISBN13:"": ""9780394514666"", ""Release Date:"": ""May 1982"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""235 Pages"", ""Weight:"": ""1.00 lbs.""}",https://m.media-amazon.com/images/I/51HT+pi5DtL._SL350_.jpg
"1,000 Playthinks: Puzzles, Paradoxes, Illusions & Games",Ivan Moscovich,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0761118268"", ""ISBN13:"": ""9780761118268"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""432 Pages"", ""Weight:"": ""4.50 lbs."", ""Dimensions:"": ""1.3\"" x 11.1\"" x 11.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/D2FD945AA4BBAE558C196559DDFEFB220C83D6D6.jpeg
101 Drama Games for Children: Fun and Learning with Acting and Make-Believe,Paul Rooyackers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0897932110"", ""ISBN13:"": ""9780897932110"", ""Release Date:"": ""December 1997"", ""Publisher:"": ""Hunter House Publishers"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.9\"" x 8.9\"""", ""Age Range:"": ""4 years and up"", ""Grade Range:"": ""Preschool and higher""}",https://i.thriftbooks.com/api/imagehandler/m/1ADFC6DA0C4A9F109802980033B5DFD5B056E044.jpeg
Brain Games - Bible Word Search [Large Print],Publications International,"{""Format:"": ""Spiral-bound"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""1450827152"", ""ISBN13:"": ""9781450827157"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""Publications International, Ltd."", ""Length:"": ""192 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.6\"" x 7.5\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/62B76270BEE5EC1AE67913CECEA4CDD5A147C10B.jpeg
Brain Games - True Crime Puzzles,Publications International,"{""Format:"": ""Spiral-bound"", ""Language:"": ""English"", ""ISBN:"": ""1640302727"", ""ISBN13:"": ""9781640302723"", ""Release Date:"": ""April 2018"", ""Publisher:"": ""Publications International, Ltd."", ""Length:"": ""192 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.6\"" x 7.6\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/660FD686651E2F509115420D0A6298CFB5A0A7AD.jpeg
The Human Brain Coloring Book,Marian C. Diamond,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064603067"", ""ISBN13:"": ""9780064603065"", ""Release Date:"": ""November 1985"", ""Publisher:"": ""Collins Reference"", ""Length:"": ""301 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""0.8\"" x 8.0\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/495F37392EC164D467BE347DD039F55044C1B634.jpeg
Brain Games - Frame Games,Terry Stickels,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/11CC397776AC3D778D1FADBD12B6A6CF7E3B86EF.jpeg
