Book Name,Authors,Info,Image URL
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0722532938"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""5.1\"" x 0.6\"" x 7.8\""""}",https://m.media-amazon.com/images/I/51nPPzxm-xL._SL350_.jpg
Outlander,Diana Gabaldon,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440212561"", ""ISBN13:"": ""9780440212560"", ""Release Date:"": ""June 1992"", ""Publisher:"": ""Dell"", ""Length:"": ""896 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""1.5\"" x 4.1\"" x 6.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/302EFCC26739B03F9716A20415600A4065D9A2EB.jpeg
Beloved,Toni Morrison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B002BI4SFW"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Signet Books"", ""Weight:"": ""1.01 lbs.""}",https://m.media-amazon.com/images/I/51dEUIFNZQL._SL350_.jpg
Slaughterhouse-Five (Modern Library 100 Best Novels),Kurt Vonnegut Jr.,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440180295"", ""Release Date:"": ""November 1991"", ""Publisher:"": ""Dell"", ""Length:"": ""215 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""6.9\"" x 0.6\"" x 4.2\""""}",https://m.media-amazon.com/images/I/31nwlOInC7L._SL350_.jpg
"The Old Man and The Sea, Book Cover May Vary",Ernest Hemingway,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684801221"", ""Release Date:"": ""May 1995"", ""Publisher:"": ""Scribner"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.32 lbs."", ""Dimensions:"": ""8.0\"" x 0.3\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41x6069+8wL._SL350_.jpg
Frankstein,Mary Wollstonecraft Shelley,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B0CNHZBS35"", ""ISBN13:"": ""9788194862628"", ""Release Date:"": ""December 2020"", ""Publisher:"": ""Unbound Script"", ""Length:"": ""250 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.6\"" x 5.1\"" x 7.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/AEFA3649FFC96E9DDED41A7B952F88FE573DAD45.jpeg
The Kite Runner (Essential Edition),Khaled Hosseini,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1594481776"", ""ISBN13:"": ""9781594481772"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/5F2FAD63012DB65DE851EBCE28B2A48E37D96DA1.jpeg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. Tolkien,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345339703"", ""Release Date:"": ""August 1986"", ""Publisher:"": ""Del Rey"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""6.9\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51phhD0CaKL._SL350_.jpg
Firefly Lane: A Novel,Kristin Hannah,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312537077"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""528 Pages"", ""Weight:"": ""1.01 lbs."", ""Dimensions:"": ""8.2\"" x 1.4\"" x 5.6\""""}",https://m.media-amazon.com/images/I/51Ypv7p1YHL._SL350_.jpg
A Game of Thrones,George R.R. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553381687"", ""ISBN13:"": ""9780553381689"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""Bantam"", ""Length:"": ""720 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""1.4\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/DC3FBF36A7064A899375625FAFB20956A4EC4D88.jpeg
