Book Name,Authors,Info,Image URL
Ghosts,Raina Telgemeier,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1338115561"", ""ISBN13:"": ""9781338115567"", ""Release Date:"": ""January 2016"", ""Publisher:"": ""Scholastic Inc."", ""Weight:"": ""0.99 lbs.""}",https://image-plz.thriftbooks.com/m/5686305009E44D249FFCC3C654B71B4A.png
100 Wicked Little Witch Stories,Martin Mundt,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1566197627"", ""ISBN13:"": ""9781566197625"", ""Release Date:"": ""July 1995"", ""Publisher:"": ""Barnes & Noble"", ""Length:"": ""624 Pages"", ""Weight:"": ""1.80 lbs.""}",https://m.media-amazon.com/images/I/51yCzgCTCXL._SL350_.jpg
The Mammoth Book of Haunted House Stories,William F. Nolan,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/57D1B3F3256FBFBE7A938056CF12B4864CAAD5E6.jpeg
The Mask: A Thriller,Dean Koontz,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425247171"", ""ISBN13:"": ""9780425247174"", ""Release Date:"": ""March 2012"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.9\"" x 4.3\"" x 7.5\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/10BC9D6067E43D22148926A047C37C6F901AF38D.jpeg
Haunted,Heather Graham,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1551667509"", ""ISBN13:"": ""9781551667508"", ""Release Date:"": ""September 2003"", ""Publisher:"": ""Mira Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""2.55 lbs."", ""Dimensions:"": ""1.1\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/8A7CCB084C0858927F69EEAF944B456B2894F372.jpeg
Coffin Hollow/Other Ghost Story-Pa,Ruth Ann Musick,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0813114160"", ""ISBN13:"": ""9780813114163"", ""Release Date:"": ""December 1977"", ""Publisher:"": ""University Press of Kentucky"", ""Length:"": ""216 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.5\"" x 5.6\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/10C71186C40F424DFB10861B9D535A73C4C4B083.jpeg
Ghosts!: Ghostly Tales from Folklore,Alvin Schwartz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060217960"", ""ISBN13:"": ""9780060217969"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""63 Pages"", ""Weight:"": ""0.26 lbs."", ""Dimensions:"": ""0.5\"" x 6.2\"" x 8.8\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/D1D69190938B08705AFCB8C0B66E778C1A3C987F.jpeg
"McBroom's Ghost,",Sid Fleischman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0448214237"", ""ISBN13:"": ""9780448214238"", ""Release Date:"": ""January 1971"", ""Publisher:"": ""Grosset & Dunlap"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.58 lbs.""}",https://m.media-amazon.com/images/I/61P5q806DDL._SL350_.jpg
Shadows and Cypress: Southern Ghost Stories,Alan Brown,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1578062713"", ""ISBN13:"": ""9781578062713"", ""Release Date:"": ""October 2000"", ""Publisher:"": ""University Press of Mississippi"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.7\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/2AD06DD2E04282F079BDBD9F7DFA644276126B5F.jpeg
Interview with the Vampire,Anne Rice,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345337662"", ""Release Date:"": ""September 1991"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.57 lbs."", ""Dimensions:"": ""6.9\"" x 0.9\"" x 4.1\""""}",https://m.media-amazon.com/images/I/41nx412z55L._SL350_.jpg
The Graveyard Book,Neil Gaiman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060530944"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""7.6\"" x 1.0\"" x 5.1\""""}",https://m.media-amazon.com/images/I/51V2lDZogPL._SL350_.jpg
Scary Stories to Tell In the Dark,Alvin Schwartz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590431978"", ""ISBN13:"": ""9780590431972"", ""Release Date:"": ""October 1989"", ""Publisher:"": ""Scholastic Inc"", ""Length:"": ""111 Pages"", ""Weight:"": ""0.27 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/3F8BE24A2AB4E32A0DC1A90FA4FB89827ADAE80F.jpeg
I Spy Spooky Night: A Book of Picture Riddles,Jean Marzollo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0590481371"", ""ISBN13:"": ""9780590481373"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""Cartwheel Books"", ""Length:"": ""31 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.3\"" x 9.1\"" x 12.2\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/904B5EC8276DD54F4D21EB336D14B0CE97C76AE6.jpeg
The Haunting of Hill House,Shirley Jackson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143039989"", ""ISBN13:"": ""9780143039983"", ""Release Date:"": ""November 2006"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.6\"" x 5.0\"" x 7.7\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/4ED2D9BC40B5BFD1DA890FC4CD39EACD391024B2.jpeg
Needful Things: The Last Castle Rock Story,Stephen King,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670839531"", ""Release Date:"": ""October 1991"", ""Publisher:"": ""Viking"", ""Length:"": ""690 Pages"", ""Weight:"": ""2.20 lbs."", ""Dimensions:"": ""9.8\"" x 2.3\"" x 6.5\""""}",https://m.media-amazon.com/images/I/513BEoEd75L._SL350_.jpg
The Eyes of the Dragon,Stephen King,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451151259"", ""ISBN13:"": ""9780451151254"", ""Release Date:"": ""December 1987"", ""Publisher:"": ""Signet Book"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.28 lbs.""}",https://m.media-amazon.com/images/I/51utn5Kd5KL._SL350_.jpg
INSOMNIA,Stephen King,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670855030"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Viking Press"", ""Length:"": ""787 Pages"", ""Weight:"": ""2.43 lbs."", ""Dimensions:"": ""2.4\"" x 6.5\"" x 9.6\""""}",https://m.media-amazon.com/images/I/41KkTG3yY+L._SL350_.jpg
The Dark Tower VI: Song of Susannah,Stephen King,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1416521496"", ""ISBN13:"": ""9781416521495"", ""Release Date:"": ""June 2006"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""544 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.2\"" x 4.2\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/1E32AAEB06D6BA32C1CC6D1E89601245DB4521BF.jpeg
