Book Name,Authors,Info,Image URL
The Phantom of the Opera,Gaston Leroux,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1497587751"", ""ISBN13:"": ""9781497587755"", ""Release Date:"": ""April 2014"", ""Publisher:"": ""CreateSpace Independent Publishing Platform"", ""Length:"": ""284 Pages"", ""Weight:"": ""0.98 lbs."", ""Dimensions:"": ""9.0\"" x 0.6\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41l8qxAM4dL._SL350_.jpg
Let the Right One in,John Ajvide Lindqvist,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312355297"", ""ISBN13:"": ""9780312355296"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.12 lbs."", ""Dimensions:"": ""1.4\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/0314EDDBAA753BED4FBA2149A1FD92242518E857.jpeg
Rose Cottage,Mary Stewart,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688155847"", ""ISBN13:"": ""9780688155841"", ""Release Date:"": ""August 1997"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/72CA1728F8B6D6A5EAB0D8C95EC44E4ABDFE440A.jpeg
The Wolf and the Dove,Kathleen E. Woodiwiss,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0380007789"", ""ISBN13:"": ""9780380007783"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Avon Books"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.1\"" x 4.3\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/8AD751F176B57F884C2875EC480FFFC44B83C1C3.jpeg
The Wedding,Julie Garwood,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671871005"", ""ISBN13:"": ""9780671871000"", ""Release Date:"": ""April 1997"", ""Publisher:"": ""Pocket Star"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.1\"" x 4.1\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/5D0D976BD4F6405986BD7DD08894ECA4395FA48C.jpeg
"Dark Desire (The Carpathians (Dark) Series, Book 2)",Christine Feehan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""050552354X"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Love Spell"", ""Length:"": ""315 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""6.8\"" x 0.8\"" x 4.0\""""}",https://m.media-amazon.com/images/I/51MCLb8zazL._SL350_.jpg
Saving Grace,Julie Garwood,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671870114"", ""Release Date:"": ""March 1994"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""6.8\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41C4UmqSUAL._SL350_.jpg
Dark Magic,Christine Feehan,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0505523892"", ""ISBN13:"": ""9780505523891"", ""Release Date:"": ""July 2000"", ""Publisher:"": ""Love Spell"", ""Length:"": ""358 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""1.0\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/B98471892EB07835438F6A326CDDC0CEC6893821.jpeg
To Know Her by Name,Lori Wick,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1565075749"", ""ISBN13:"": ""9781565075740"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Harvest House Publishers"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2197C3AF7B8FE632BF7A8D6809FC6E3A5CD71141.jpeg
Ghost Walk (Harrison Investigation),Heather Graham,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0778322181"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""MIRA"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""6.6\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51w-5eFzubL._SL350_.jpg
A Lick of Frost,Laurell K. Hamilton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""034549590X"", ""ISBN13:"": ""9780345495907"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""274 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""1.0\"" x 6.5\"" x 9.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/D25CA61975DF3B28315F3DE3268A50B50C05935E.jpeg
Awakening,Sharon J. Bolton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""031238114X"", ""ISBN13:"": ""9780312381141"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Minotaur Books"", ""Length:"": ""393 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.3\"" x 6.3\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/76DF2973BD73FF4F2B8B5D13554DB27E50C3FBC5.jpeg
Wings of the Falcon,Barbara Michaels,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425110451"", ""ISBN13:"": ""9780425110454"", ""Release Date:"": ""September 1988"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""230 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.8\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/E4FAE379C89926EA0DB77579FDF0C3DFA381E747.jpeg
"Be Still My Vampire Heart (Love at Stake, Book 3)",Kerrelyn Sparks,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061118443"", ""Release Date:"": ""March 2007"", ""Publisher:"": ""Avon"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""6.8\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/319DU8Y8-ZL._SL350_.jpg
Swallowing Darkness: A Novel (Merry Gentry),Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345495942"", ""Release Date:"": ""November 2009"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""6.8\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41Y6LUw4j4L._SL350_.jpg
Destined for an Early Grave,Jeaniene Frost,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061583219"", ""ISBN13:"": ""9780061583216"", ""Release Date:"": ""July 2009"", ""Publisher:"": ""Avon Books"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.4\"" x 4.2\"" x 7.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/EEDA4067F1A284267E05D476629195C2CF11F13D.jpeg
