Book Name,Authors,Info,Image URL
The Book Thief,Markus Zusak,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375842209"", ""ISBN13:"": ""9780375842207"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Alfred A. Knopf Books for Young Readers"", ""Length:"": ""608 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""1.4\"" x 5.2\"" x 7.9\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9E600B1C66FEEF413210EFE854A7E2C1018EF609.jpeg
The Boy in the Striped Pajamas,John Boyne,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385751532"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""David Fickling Books"", ""Length:"": ""215 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""8.3\"" x 0.5\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51YM0VNZqOL._SL350_.jpg
Clockwork Angel,Cassandra Clare,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416975861"", ""ISBN13:"": ""9781416975861"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Margaret K. McElderry Books"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.11 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 9.1\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/63EE0AEFAA79201FEC880E0713D4E676114E7EFC.jpeg
Fever 1793,Laurie Halse Anderson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0689848919"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""7.6\"" x 0.8\"" x 5.1\""""}",https://m.media-amazon.com/images/I/41mHBXJ7UeL._SL350_.jpg
"Clockwork Prince, Walmart Edition (The Infernal Devices, Volume 2)",Cassandra Clare,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1442451742"", ""ISBN13:"": ""9781442451742"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Margaret K. McElderry Books / Simon & Schuster"", ""Length:"": ""502 Pages"", ""Weight:"": ""1.58 lbs.""}",https://m.media-amazon.com/images/I/51a90+oVHJL._SL350_.jpg
Prisoner B-3087,Alan Gratz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""054545901X"", ""ISBN13:"": ""9780545459013"", ""Release Date:"": ""March 2013"", ""Publisher:"": ""Scholastic Press"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""1.0\"" x 5.7\"" x 8.3\"""", ""Age Range:"": ""10 to 14 years"", ""Grade Range:"": ""Grades 5 to 9""}",https://i.thriftbooks.com/api/imagehandler/m/0241336D211BF36EB301C84A9567F635FF8C89A5.jpeg
The Battle for Skandia: Book Four,John Flanagan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142413402"", ""ISBN13:"": ""9780142413401"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Viking Books for Young Readers"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""0.8\"" x 5.0\"" x 7.8\"""", ""Age Range:"": ""10 years and up"", ""Grade Range:"": ""Grade 5 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9ED78481A1C6206360815AA0E1DF1A09D8CE011C.jpeg
Code Name Verity,Elizabeth Wein,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1423152883"", ""ISBN13:"": ""9781423152880"", ""Release Date:"": ""May 2013"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/C65ED016A0F4FC5EBD62A418CFF19CBBA2138756.jpeg
Fire,Kristin Cashore,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0803734611"", ""ISBN13:"": ""9780803734616"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Dial Books"", ""Length:"": ""461 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.5\"" x 6.3\"" x 8.7\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/DC495A3615DD25FB12E15DBE26147B481F3DC36A.jpeg
In Grandma's Attic,Arleta Richardson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0781432685"", ""ISBN13:"": ""9780781432689"", ""Release Date:"": ""July 1999"", ""Publisher:"": ""David C Cook"", ""Length:"": ""138 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.6\"""", ""Age Range:"": ""8 to 11 years"", ""Grade Range:"": ""Grades 3 to 6""}",https://i.thriftbooks.com/api/imagehandler/m/0D52D186B30CB66C35E71FC69BB6222B965533FB.jpeg
