Book Name,Authors,Info,Image URL
"Black Elk Speaks, New Edition",John G. Neihardt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0803283857"", ""ISBN13:"": ""9780803283855"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Bison Books"", ""Length:"": ""270 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF632039B921CA07C891586BD286209FA1052585.jpeg
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743270754"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""944 Pages"", ""Weight:"": ""2.73 lbs."", ""Dimensions:"": ""9.3\"" x 1.7\"" x 6.1\""""}",https://m.media-amazon.com/images/I/514pUO47lqL._SL350_.jpg
Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679729771"", ""ISBN13:"": ""9780679729778"", ""Release Date:"": ""September 1992"", ""Publisher:"": ""Pantheon Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.77 lbs."", ""Dimensions:"": ""0.4\"" x 6.4\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/BDE6929E22E35B75E720B76FCD18D1EFDF429926.jpeg
The 48 Laws of Power,Robert Greene,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140280197"", ""ISBN13:"": ""9780140280197"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/05BEFA3B95EACE377D8CBAFAFD842DA096C093D2.jpeg
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""030740885X"", ""ISBN13:"": ""9780307408853"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.94 lbs."", ""Dimensions:"": ""1.1\"" x 5.1\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/F9D724D1A013F5F8A0B6CA8089C39CB3B06BB9F5.jpeg
Travels with Charley: In Search of America,John Steinbeck,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140053204"", ""ISBN13:"": ""9780140053203"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.9\"" x 4.2\"" x 7.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/752BA909F91938F6DF50597699C74C4A49167B06.jpeg
John Adams,David McCullough,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684813637"", ""Release Date:"": ""May 2001"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""752 Pages"", ""Weight:"": ""2.34 lbs."", ""Dimensions:"": ""9.3\"" x 1.7\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51T4Fdr9AgL._SL350_.jpg
Night,Elie Wiesel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553272535"", ""Release Date:"": ""April 1982"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""109 Pages"", ""Weight:"": ""0.17 lbs."", ""Dimensions:"": ""6.7\"" x 0.5\"" x 4.1\""""}",https://m.media-amazon.com/images/I/51BK1byaALL._SL350_.jpg
"Bonhoeffer: Pastor, Martyr, Prophet, Spy: A Righteous Gentile vs. the Third Reich",Eric Metaxas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1595552464"", ""ISBN13:"": ""9781595552464"", ""Release Date:"": ""August 2011"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""608 Pages"", ""Weight:"": ""1.41 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E771FA4A32E88EAD3F4673A44B32692A17D518D.jpeg
The Hiding Place,John Sherrill,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0912376015"", ""ISBN13:"": ""9780912376011"", ""Release Date:"": ""January 1971"", ""Publisher:"": ""World Wide Publications"", ""Length:"": ""234 Pages"", ""Weight:"": ""0.90 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/00448E26E552CD05E60C655AFAB378A31D4F8A4D.jpeg
Nell Gwyn: Mistress to a King,Charles Beauclerk,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0802142745"", ""ISBN13:"": ""9780802142740"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Grove Press"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.1\"" x 5.6\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/EBE873E7D8127A3A3FCFE8CCF93CEB750C6AE937.jpeg
The Story of Annie Sullivan,Bernice Selden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440482852"", ""ISBN13:"": ""9780440482857"", ""Release Date:"": ""August 1987"", ""Publisher:"": ""Yearling Books"", ""Length:"": ""86 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.2\"" x 5.1\"" x 7.5\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://m.media-amazon.com/images/I/41P5tnjQ-oL._SL350_.jpg
