Book Name,Authors,Info,Image URL
"The History of Sexuality, Vol. 1: An Introduction",Michel Foucault,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679724699"", ""Release Date:"": ""April 1990"", ""Publisher:"": ""Vintage"", ""Length:"": ""168 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""8.0\"" x 0.5\"" x 5.2\""""}",https://m.media-amazon.com/images/I/31+1zulHC4L._SL350_.jpg
"Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century",John Boswell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0226067114"", ""ISBN13:"": ""9780226067117"", ""Release Date:"": ""January 1981"", ""Publisher:"": ""University of Chicago Press"", ""Length:"": ""424 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.5\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/3BD75903517F17B24295BA434D2E7411755815E8.jpeg
"And the Band Played on: Politics, People, and the AIDS Epidemic",Randy Shilts,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312009941"", ""ISBN13:"": ""9780312009946"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""630 Pages"", ""Weight:"": ""2.43 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 9.1\""""}",https://m.media-amazon.com/images/I/417NCiSA8iL._SL350_.jpg
Odd Girls and Twilight Lovers: A History of Lesbian Life in Twentieth-Century America,Lillian Faderman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0231074891"", ""ISBN13:"": ""9780231074896"", ""Release Date:"": ""February 2012"", ""Publisher:"": ""Columbia University Press"", ""Length:"": ""373 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""0.7\"" x 5.9\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/41D7207A0F64703133A67B0597E177A450CA5173.jpeg
Intimate Matters: A History of Sexuality in America,John D'Emilio,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060158557"", ""ISBN13:"": ""9780060158552"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""428 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""1.8\"" x 6.2\"" x 9.1\""""}",https://m.media-amazon.com/images/I/41Xs3cL-cyL._SL350_.jpg
Stonewall,Martin Duberman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452272068"", ""ISBN13:"": ""9780452272064"", ""Release Date:"": ""May 1994"", ""Publisher:"": ""Plume Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.98 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/4FF807EC011C985E947D9EC87CAF3BA94D38FF8A.jpeg
Transgender History: The Roots of Today's Revolution,Susan Stryker,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""158005689X"", ""ISBN13:"": ""9781580056892"", ""Release Date:"": ""November 2017"", ""Publisher:"": ""Seal Press (CA)"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/6B5B408436D2D80892BD7F28DA85E66AC9A4671C.jpeg
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson,Camille Paglia,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679735798"", ""Release Date:"": ""August 1991"", ""Publisher:"": ""Vintage"", ""Length:"": ""718 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""8.0\"" x 1.5\"" x 5.1\""""}",https://m.media-amazon.com/images/I/511k4T+KZ0L._SL350_.jpg
"Anatomy of Love: A Natural History of Mating, Marriage, and Why We Stray",Helen Fisher,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0449908976"", ""ISBN13:"": ""9780449908976"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/9512954E443BB3232EB855B8A0A833070ED87401.jpeg
Women and Gender in Islam: Historical Roots of a Modern Debate,Leila Ahmed,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0300055838"", ""ISBN13:"": ""9780300055832"", ""Release Date:"": ""July 1993"", ""Publisher:"": ""Yale University Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/2D0F664778ED261EB383F2105FAB5C5CAB4AF15A.jpeg
