Book Name,Authors,Info,Image URL
The Dangerous Book for Boys,Conn Iggulden,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0061243582"", ""ISBN13:"": ""9780061243585"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Williammr"", ""Length:"": ""270 Pages"", ""Weight:"": ""2.06 lbs."", ""Dimensions:"": ""1.1\"" x 7.7\"" x 9.8\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/6922211AF686CC0FD5AE6D225FA03E83A45E2649.jpeg
Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0156031442"", ""ISBN13:"": ""9780156031448"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Mariner Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""1.0\"" x 5.2\"" x 7.9\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C93CCF39E175EEA4114FC3F930E824C9863A4B35.jpeg
James Herriot's Dog Stories,James Herriot,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312439687"", ""ISBN13:"": ""9780312439682"", ""Release Date:"": ""April 1986"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""426 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.6\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C378D3E7C4500AF1169A93C65840586BF06DF04B.jpeg
Wreck This Journal: Now in Color,Keri Smith,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143131664"", ""ISBN13:"": ""9780143131663"", ""Release Date:"": ""June 2017"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.7\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AEDC4BAF05ED86E0204FDEBDF61E686142070262.jpeg
"Watercolor: Master the Basic of Drawing, Composition, and Value, as Well as the Specific Techniques Unique to Painting in Watercol",Duane R. Light,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""092926102X"", ""ISBN13:"": ""9780929261027"", ""Release Date:"": ""January 1984"", ""Publisher:"": ""Walter Foster Publishing"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.3\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/9AF074E48724AAA7EFC3C827CFA1D3981678D9CF.jpeg
Lost Ocean: An Inky Adventure and Coloring Book for Adults,Johanna Basford,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143108999"", ""ISBN13:"": ""9780143108993"", ""Release Date:"": ""October 2015"", ""Publisher:"": ""Penguin Life"", ""Length:"": ""80 Pages"", ""Weight:"": ""1.70 lbs."", ""Dimensions:"": ""0.5\"" x 9.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/2DC3D17A8826B7A47696F7A53E09D962B1213516.jpeg
"Quilts from ""The Quiltmaker's Gift"": 20 Traditional Patterns for a New Generation of Generous Quiltmakers",Joanne Larsen Line,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1570252033"", ""ISBN13:"": ""9781570252037"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""University of Minnesota Press"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""0.5\"" x 8.6\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/92D4080E5AF8CB766C208A760C9C4B689F4C6B35.jpeg
Perspective,William F. Powell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0929261135"", ""ISBN13:"": ""9780929261133"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""Walter Foster Publishing"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.2\"" x 6.6\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/2FDAC024BFD7B124C6449087F558839040986A95.jpeg
"Making Great Gingerbread Houses: Delicious Designs from Cabins to Castles, from Lighthouses to Tree Houses",Aaron Morgan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1579901360"", ""ISBN13:"": ""9781579901363"", ""Release Date:"": ""December 1999"", ""Publisher:"": ""Lark Books (NC)"", ""Length:"": ""127 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""0.6\"" x 9.0\"" x 10.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/3972719040D680E656C53804CE838C19AF73F0F1.jpeg
Flowers: A Guide to Familiar American Wildflowers,Alexander C. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307240541"", ""ISBN13:"": ""9780307240545"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Golden Press"", ""Length:"": ""159 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.3\"" x 4.0\"" x 5.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/B1F0B650380CE289D0CC487A7CE618E4462F48B8.jpeg
Picture Bride: A Novel by Yoshiko Uchida,Yoshiko Uchida,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0295976160"", ""ISBN13:"": ""9780295976167"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""University of Washington Press"", ""Length:"": ""222 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/4ED37A12619B476D85B31503415FE0B1C8736C26.jpeg
Koko's Story,Francine Pattertson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590413643"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""Scholastic"", ""Length:"": ""40 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""11.0\"" x 0.3\"" x 8.3\""""}",https://m.media-amazon.com/images/I/51s0Wkl1ojL._SL350_.jpg
James Bond: The Secret World of 007,Alastair Dougall,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0789466910"", ""ISBN13:"": ""9780789466914"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""144 Pages"", ""Weight:"": ""2.55 lbs."", ""Dimensions:"": ""0.7\"" x 10.4\"" x 12.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/0B06C9012618BD572D3A5169D27D61EFFF8E2D8B.jpeg
Mental Math Workout,Michael L. Lobosco,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1895569273"", ""ISBN13:"": ""9781895569278"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Tamos Books"", ""Length:"": ""80 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.5\"" x 8.8\"" x 10.3\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/CFBA78F3A82064F2264032DE9B693BD0E92F14A5.jpeg
Black Bear,Daniel J. Cox,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0877016844"", ""ISBN13:"": ""9780877016847"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Chronicle Books (CA)"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.3\"" x 8.4\"" x 11.0\""""}",https://m.media-amazon.com/images/I/51Ojg4QfHQL._SL350_.jpg
Dreams and Wishes: Essays on Writing for Children,Susan Cooper,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0689807368"", ""ISBN13:"": ""9780689807367"", ""Release Date:"": ""May 1996"", ""Publisher:"": ""Margaret K. McElderry Books"", ""Length:"": ""198 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.9\"" x 6.3\"" x 9.3\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/D58C185584831FA09910240E08724909D4A597BF.jpeg
