Book Name,Authors,Info,Image URL
Wiring 1-2-3,Home Depot,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""069621184X"", ""ISBN13:"": ""9780696211843"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Home Depot(r)"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""0.7\"" x 8.4\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/082D258E2A55EF85B12BF7C35B49B94CE2F66FF5.jpeg
Building Construction Illustrated,Francis D.K. Ching,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471358983"", ""ISBN13:"": ""9780471358985"", ""Release Date:"": ""October 2000"", ""Publisher:"": ""Wiley"", ""Length:"": ""464 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""1.1\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/549814DCEEC10B481182935FD2C171CD758C0BD6.jpeg
A Field Guide to American Houses,Virginia McAlester,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394739698"", ""ISBN13:"": ""9780394739694"", ""Release Date:"": ""May 1984"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""1.1\"" x 6.6\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/0B65B460EE60094245BA75A3568B7275EBCB9875.jpeg
At Home: A Short History of Private Life,Bill Bryson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""038553728X"", ""ISBN13:"": ""9780385537285"", ""Release Date:"": ""October 2013"", ""Publisher:"": ""Doubleday Books"", ""Length:"": ""553 Pages"", ""Weight:"": ""3.55 lbs."", ""Dimensions:"": ""1.4\"" x 7.8\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/42E1888B123F70E5AE5C8966D19363A91C1F0C4A.jpeg
The Not So Big House: A Blueprint for the Way We Really Live,Sarah Susanka,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1561581305"", ""ISBN13:"": ""9781561581306"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Taunton Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.8\"" x 10.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/1DB279E79A05132BF39C743002703A6F1DC40E0C.jpeg
Decks 1-2-3: Design Build Maintain Repair,Home Depot,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0696211858"", ""ISBN13:"": ""9780696211850"", ""Release Date:"": ""March 2001"", ""Publisher:"": ""Meredith Corporation"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.97 lbs."", ""Dimensions:"": ""0.8\"" x 8.4\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/63761FF7E089AA96AFE18145E4944406B5A954AC.jpeg
Domino: The Book of Decorating: A Room-By-Room Guide to Creating a Home That Makes You Happy,Sara Ruffin Costello,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416575464"", ""ISBN13:"": ""9781416575467"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""272 Pages"", ""Weight:"": ""2.58 lbs."", ""Dimensions:"": ""1.2\"" x 8.0\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/2D2CC9B61EE2C7031B847F42DD882F70FDD6C205.jpeg
House Framing,John D. Wagner,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/F9A0B7DEFE15BDC6F6D5A06A98B745CCF8BACB3B.jpeg
Style,Kate Spade,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0743250672"", ""ISBN13:"": ""9780743250672"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""111 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.6\"" x 6.2\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/6894C8CEEA90C6550EAB861506FF0BE015153708.jpeg
Sheds: The Do-It-Yourself Guide for Backyard Builders,David Stiles,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1552092925"", ""ISBN13:"": ""9781552092927"", ""Release Date:"": ""October 1998"", ""Publisher:"": ""Firefly Books"", ""Length:"": ""176 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.5\"" x 8.1\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AAB1A777B07D1B7A11453CA95BE76526D8B6456C.jpeg
