Book Name,Authors,Info,Image URL
Parenting from the Inside Out,Mary Hartzell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1585422959"", ""ISBN13:"": ""9781585422951"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Tarcherperigee"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.7\"" x 6.1\"" x 9.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/8425A29FC219E606B3C844B992C666A61AC5EF32.jpeg
The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories,Barbara M. Walker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060264187"", ""ISBN13:"": ""9780060264185"", ""Release Date:"": ""October 1979"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.23 lbs."", ""Dimensions:"": ""0.9\"" x 7.3\"" x 8.9\"""", ""Age Range:"": ""8 years and up"", ""Grade Range:"": ""Grade 3 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/24A8C367E43E8D1C3AEFE919B7F609E77D40B0F8.jpeg
Home Comforts: The Art and Science of Keeping House,Cheryl Mendelson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""068481465X"", ""ISBN13:"": ""9780684814650"", ""Release Date:"": ""November 1999"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""896 Pages"", ""Weight:"": ""2.71 lbs."", ""Dimensions:"": ""1.8\"" x 6.8\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/5E0CE662E4D326E54AD02A6141019CFB420DE4F6.jpeg
New Complete Do-It-Yourself Manual,Reader's Digest Association,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0895773783"", ""ISBN13:"": ""9780895773784"", ""Release Date:"": ""September 1991"", ""Publisher:"": ""Reader's Digest Association"", ""Length:"": ""528 Pages"", ""Weight:"": ""2.42 lbs."", ""Dimensions:"": ""1.3\"" x 11.0\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/59942927D313F5CD59236B6FBD586503416B9167.jpeg
Building Construction Illustrated,Francis D.K. Ching,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471358983"", ""ISBN13:"": ""9780471358985"", ""Release Date:"": ""October 2000"", ""Publisher:"": ""Wiley"", ""Length:"": ""464 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""1.1\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/549814DCEEC10B481182935FD2C171CD758C0BD6.jpeg
A Field Guide to American Houses,Virginia McAlester,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394739698"", ""ISBN13:"": ""9780394739694"", ""Release Date:"": ""May 1984"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""1.1\"" x 6.6\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/0B65B460EE60094245BA75A3568B7275EBCB9875.jpeg
At Home: A Short History of Private Life,Bill Bryson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""038553728X"", ""ISBN13:"": ""9780385537285"", ""Release Date:"": ""October 2013"", ""Publisher:"": ""Doubleday Books"", ""Length:"": ""553 Pages"", ""Weight:"": ""3.55 lbs."", ""Dimensions:"": ""1.4\"" x 7.8\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/42E1888B123F70E5AE5C8966D19363A91C1F0C4A.jpeg
The Not So Big House: A Blueprint for the Way We Really Live,Sarah Susanka,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1561581305"", ""ISBN13:"": ""9781561581306"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Taunton Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.8\"" x 10.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/1DB279E79A05132BF39C743002703A6F1DC40E0C.jpeg
"The Homesteading Handbook: A Back to Basics Guide to Growing Your Own Food, Canning, Keeping Chickens, Generating Your Own Energy, Crafting, Herb",Abigail R. Gehring,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1616082658"", ""ISBN13:"": ""9781616082659"", ""Release Date:"": ""May 2011"", ""Publisher:"": ""Skyhorse Publishing"", ""Length:"": ""272 Pages"", ""Weight:"": ""1.80 lbs."", ""Dimensions:"": ""0.9\"" x 6.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/236DF431EEBBEEEB251E9EC1C0FD841508643139.jpeg
Understanding Wood Finishing: How to Select and Apply the Right Finish,Bob Flexner,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0875965660"", ""ISBN13:"": ""9780875965666"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""310 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 8.7\"" x 11.2\""""}",https://m.media-amazon.com/images/I/41HBEPrRcpL._SL350_.jpg
