Book Name,Authors,Info,Image URL
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316015849"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""8.3\"" x 2.0\"" x 5.5\""""}",https://m.media-amazon.com/images/I/318nujF5v5L._SL350_.jpg
New Moon (Twilight),Stephenie Meyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316160199"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""608 Pages"", ""Weight:"": ""1.49 lbs."", ""Dimensions:"": ""8.6\"" x 1.8\"" x 6.0\""""}",https://m.media-amazon.com/images/I/91fVJKUvF7L._SL350_.jpg
Eclipse (Twilight),Stephenie Meyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316160202"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Little, Brown"", ""Length:"": ""629 Pages"", ""Weight:"": ""1.68 lbs."", ""Dimensions:"": ""8.5\"" x 2.0\"" x 5.9\""""}",https://m.media-amazon.com/images/I/31pJMbdC6kL._SL350_.jpg
Breaking Dawn,Stephenie Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316067938"", ""ISBN13:"": ""9780316067935"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""768 Pages"", ""Weight:"": ""1.57 lbs."", ""Dimensions:"": ""2.1\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/FD4B4FE71917B92C9B4040F40D19F6261437BF7B.jpeg
"City of Bones (The Mortal Instruments, Book 1)",Cassandra Clare,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1416955070"", ""ISBN13:"": ""9781442493063"", ""Release Date:"": ""February 2008"", ""Publisher:"": ""Margaret K. McElderry Books"", ""Length:"": ""485 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""8.3\"" x 1.5\"" x 5.5\""""}",https://m.media-amazon.com/images/I/418aUcioYEL._SL350_.jpg
City of Ashes,Cassandra Clare,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1416972242"", ""ISBN13:"": ""9781416972242"", ""Release Date:"": ""March 2009"", ""Publisher:"": ""Margaret K. McElderry Books"", ""Length:"": ""453 Pages"", ""Weight:"": ""1.01 lbs."", ""Dimensions:"": ""1.3\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F90CEACBB82D37E244196933B8311F86FB958F70.jpeg
City of Glass,Cassandra Clare,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1416972250"", ""ISBN13:"": ""9781416972259"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Margaret K. McElderry Books"", ""Length:"": ""576 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.5\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/38E3EA563EDEFB1F162F489F8EA1824D39C02F3C.jpeg
The Dark Tower,Stephen King,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1880418622"", ""ISBN13:"": ""9781880418628"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Donald M. Grant Publishers"", ""Length:"": ""864 Pages"", ""Weight:"": ""3.08 lbs."", ""Dimensions:"": ""2.3\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/8E4DE4AEC8E4F5C30963948659F0EB187E607030.jpeg
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316127876"", ""ISBN13:"": ""9780316127875"", ""Release Date:"": ""June 2010"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""8.5\"" x 0.8\"" x 6.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B00B5A1A4F1BC77D228E4DF091497DC8AD3CF290.jpeg
Unwind,Neal Shusterman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416912045"", ""ISBN13:"": ""9781416912040"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.3\"" x 5.8\"" x 8.3\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/E02E55BF724D676F6B9EC7B6C29601AC98294D01.jpeg
