Book Name,Authors,Info,Image URL
A Man Called Ove,Fredrik Backman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1476738025"", ""ISBN13:"": ""9781476738024"", ""Release Date:"": ""May 2015"", ""Publisher:"": ""Atria Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.69 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/362E4104CAD2CE462782EF7CE234389C7060DBEA.jpeg
My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1501115073"", ""ISBN13:"": ""9781501115073"", ""Release Date:"": ""April 2016"", ""Publisher:"": ""Atria Books"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/D9C03304A4C85E2105D90746E4C870554A80EC28.jpeg
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590476769"", ""ISBN13:"": ""9780590476768"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Scholastic Inc"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.37 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/12CBEC444257216B8946818CD4123A2D05F0FA68.jpeg
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060256672"", ""ISBN13:"": ""9780060256678"", ""Release Date:"": ""February 2014"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""176 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""0.9\"" x 7.0\"" x 9.1\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/A379DA6A5EECE400904DB2DA8F69CDBA050E1323.jpeg
If You Give a Mouse a Cookie,Laura Joffe Numeroff,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590402331"", ""ISBN13:"": ""9780590402330"", ""Release Date:"": ""January 1985"", ""Publisher:"": ""Scholastic"", ""Length:"": ""28 Pages"", ""Weight:"": ""0.23 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/24E638082FEB43F2DC9C106AB8C78E41D02D7914.jpeg
How the Grinch Stole Christmas,Dr. Seuss,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394800796"", ""Release Date:"": ""October 1957"", ""Publisher:"": ""Random House Books for Young Readers"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""11.4\"" x 0.4\"" x 8.3\""""}",https://m.media-amazon.com/images/I/41vPLPUgHsL._SL350_.jpg
"Diary of a Wimpy Kid, Book 1",Jeff Kinney,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810993139"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""Amulet Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.89 lbs."", ""Dimensions:"": ""8.3\"" x 1.0\"" x 5.8\""""}",https://m.media-amazon.com/images/I/41bVEw5Md5L._SL350_.jpg
A Light in the Attic,Shel Silverstein,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060256737"", ""Release Date:"": ""January 1981"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""176 Pages"", ""Weight:"": ""1.46 lbs."", ""Dimensions:"": ""1.0\"" x 7.0\"" x 8.8\""""}",https://m.media-amazon.com/images/I/51-mDj+62FL._SL350_.jpg
Charlie and the Chocolate Factory,Roald Dahl,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0141301155"", ""ISBN13:"": ""9780141301150"", ""Release Date:"": ""June 1998"", ""Publisher:"": ""Puffin Books"", ""Length:"": ""155 Pages"", ""Weight:"": ""0.33 lbs."", ""Dimensions:"": ""0.5\"" x 5.1\"" x 7.8\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/F1FA7C0BD744C8728CFBAE3D9E6AC8E01E2FE0C0.jpeg
Anxious People,Fredrik Backman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1501160834"", ""ISBN13:"": ""9781501160837"", ""Release Date:"": ""September 2020"", ""Publisher:"": ""Atria Books"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.17 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/B889EDE6D91AF7E4D92F5AFEA321ED219A268A90.jpeg
