Book Name,Authors,Info,Image URL
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0887307280"", ""Release Date:"": ""October 2004"", ""Publisher:"": ""Harper Business"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""8.0\"" x 0.7\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41uWUlsA1QL._SL350_.jpg
The Five Dysfunctions of a Team,Patrick Lencioni,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0787960756"", ""ISBN13:"": ""9788126506750"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""John Wiley & Sons Inc"", ""Weight:"": ""0.99 lbs.""}",https://m.media-amazon.com/images/I/41QBBJEm49L._SL350_.jpg
Steve Jobs,Walter Isaacson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1451648537"", ""ISBN13:"": ""9781451648539"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""656 Pages"", ""Weight:"": ""2.22 lbs."", ""Dimensions:"": ""1.8\"" x 6.5\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/AB15D5311EAA22B51A65B9B9312D3F3347E58467.jpeg
Moneyball: The Art of Winning an Unfair Game,Michael Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393338398"", ""ISBN13:"": ""9780393338393"", ""Release Date:"": ""August 2011"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""317 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/385425CEF39D4E156003B28D35A003623750DD94.jpeg
The Innovator's Dilemma: The Revolutionary Book That Will Change the Way You Do Business,Clayton M. Christensen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060521996"", ""ISBN13:"": ""9780060521998"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Harper Paperbacks"", ""Length:"": ""286 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4A24554136282E1B275B127680DB7347200927F1.jpeg
The Success Principles: How to Get from Where You Are to Where You Want to Be,Jack Canfield,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060594888"", ""ISBN13:"": ""9780060594886"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""Mariner Books"", ""Length:"": ""473 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.6\"" x 6.3\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/C80319EE232CEE07F764631B6B0F27DC9E2EAE94.jpeg
The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer,Jeffrey K. Liker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0071392319"", ""ISBN13:"": ""9780071392310"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""McGraw-Hill Education"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.12 lbs."", ""Dimensions:"": ""1.3\"" x 6.3\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/6CD6967EAA4CF396F16E11589C067CC586739986.jpeg
Setting the Table,Danny Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060742763"", ""ISBN13:"": ""9780060742768"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Ecco Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.59 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/675F304CF378FC1A6FC1E1BA92F0E9CA1AECEC4D.jpeg
The 5 Languages of Appreciation in the Workplace: Empowering Organizations by Encouraging People,Gary Chapman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0802461980"", ""ISBN13:"": ""9780802461988"", ""Release Date:"": ""August 2011"", ""Publisher:"": ""Northfield Press"", ""Length:"": ""264 Pages"", ""Weight:"": ""0.63 lbs."", ""Dimensions:"": ""0.7\"" x 5.8\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/09BAC6DFE07101D16365C4443D3D1A3A4F213FB9.jpeg
The Creature from Jekyll Island: A Second Look at the Federal Reserve,G. Edward Griffin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0912986395"", ""ISBN13:"": ""9780912986395"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""American Media (CA)"", ""Length:"": ""608 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""1.5\"" x 6.0\"" x 8.8\""""}",https://m.media-amazon.com/images/I/41KNort1T-L._SL350_.jpg
The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1591841666"", ""ISBN13:"": ""9781591841661"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Portfolio"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 7.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/DC20FD3B1C2CD447490CFD6876BD013CD971146D.jpeg
"House of Gucci: A Sensational Story of Murder, Madness, Glamour, and Greed",Sara Gay Forden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060937750"", ""ISBN13:"": ""9780060937751"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Custom House"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6E6CC9F25A2DA7317CFC27E4A0B04FE3CE044C7F.jpeg
Becoming a Real-Time Enterprise: Harnessing the Power of Rte to Maximize Competitive Advantage,Behnam Tabrizi,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/FFA3D0DA382862C3EC67196A1B2E6E156B6223E5.jpeg
Effective Security Management,Curtis Baillie,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0750674547"", ""ISBN13:"": ""9780750674546"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""Butterworth-Heinemann"", ""Length:"": ""1 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/8BE618256CEDBE51DE98CF04050A4BB9A9B64A13.jpeg
Michael Jordan and the New Global Capitalism,Walter F. LaFeber,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393323692"", ""ISBN13:"": ""9780393323696"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""222 Pages"", ""Weight:"": ""0.49 lbs."", ""Dimensions:"": ""0.6\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9C3DA9951B649B6715E079F40B74783013B2400D.jpeg
"Leading with the Heart: Coach K's Successful Strategies for Basketball, Business, and Life",Mike Krzyzewski,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446676780"", ""Release Date:"": ""March 2001"", ""Publisher:"": ""Warner Business Books"", ""Length:"": ""291 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""9.3\"" x 1.0\"" x 6.3\""""}",https://m.media-amazon.com/images/I/41m790SPghL._SL350_.jpg
Information Security Risk Analysis,Thomas R. Peltier,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0849308801"", ""ISBN13:"": ""9780849308802"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Auerbach Publications"", ""Length:"": ""281 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""0.8\"" x 7.0\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D1C8A9DA1A7C75CA4C197C428C3B9E0FFCE1775E.jpeg
Slide: Ology: The Art and Science of Creating Great Presentations,Nancy Duarte,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0596522347"", ""ISBN13:"": ""9780596522346"", ""Release Date:"": ""August 2008"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""294 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""0.7\"" x 9.1\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/050610AB1062837D86B24D1B839A97DB771E8C51.jpeg
Food Politics: How the Food Industry Influences Nutrition and Health,Marion Nestle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0520224655"", ""ISBN13:"": ""9780520224650"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""University of California Press"", ""Length:"": ""469 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/68F447073AD6C5E81D1E0B22863DFF98A9D6850D.jpeg
