Book Name,Authors,Info,Image URL
Confessions of an Economic Hit Man,John Perkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452287081"", ""ISBN13:"": ""9780452287082"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""Plume"", ""Length:"": ""303 Pages"", ""Weight:"": ""0.87 lbs."", ""Dimensions:"": ""8.0\"" x 0.7\"" x 5.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/E7BBD9AF5C0DF75641C9200A88F4EE83F8F2D80E.jpeg
"Superfreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Stephen J. Dubner,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060889578"", ""ISBN13:"": ""9780060889579"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 9.3\"""", ""Age Range:"": ""19 years and up"", ""Grade Range:"": ""Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/AB9DB7EE118E55D9667ECDA0115482286CBD7FF0.jpeg
Material World: A Global Family Portrait,Peter Menzel,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0871564378"", ""ISBN13:"": ""9780871564375"", ""Release Date:"": ""October 1994"", ""Publisher:"": ""Counterpoint LLC"", ""Length:"": ""256 Pages"", ""Weight:"": ""2.30 lbs."", ""Dimensions:"": ""0.9\"" x 9.3\"" x 12.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/27296AEA3918A78F3E019E3FB16F0922B814871F.jpeg
Naked Economics: Undressing the Dismal Science,Charles Wheelan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393324869"", ""ISBN13:"": ""9780393324860"", ""Release Date:"": ""September 2003"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""260 Pages"", ""Weight:"": ""0.62 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/E2028C239D95E5AD849E21A11CA46D884335655C.jpeg
"House of Gucci: A Sensational Story of Murder, Madness, Glamour, and Greed",Sara Gay Forden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060937750"", ""ISBN13:"": ""9780060937751"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Custom House"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6E6CC9F25A2DA7317CFC27E4A0B04FE3CE044C7F.jpeg
No Logo,Naomi Klein,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0006530400"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Flamingo"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""8.1\"" x 1.2\"" x 5.9\""""}",https://m.media-amazon.com/images/I/31CupjhzMuL._SL350_.jpg
A Beginner's Guide to Day Trading Online,Toni Turner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580622720"", ""ISBN13:"": ""9781580622721"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""Adams Media Corporation"", ""Length:"": ""285 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/34593D9712F8E96DA525469E92DE69D846F21D7D.jpeg
Irrational Exuberance,Robert J. Shiller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0767923634"", ""ISBN13:"": ""9780767923637"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Crown Business"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""9.2\"" x 0.7\"" x 6.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CD4968A08AF715B1EF1774FFF7289A9000460AEE.jpeg
Boomerang: Travels in the New Third World,Michael Lewis,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0393081818"", ""ISBN13:"": ""9780393081817"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.9\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/61AB5FEB5A0E01311169F82C6F1AF2BCBF5DF1E6.jpeg
Currency Wars: The Making of the Next Global Crisis,James Rickards,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1591844495"", ""ISBN13:"": ""9781591844495"", ""Release Date:"": ""November 2011"", ""Publisher:"": ""Portfolio"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.13 lbs."", ""Dimensions:"": ""1.2\"" x 6.4\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E959D624A129EE5A7A8D53C42460653863D671FA.jpeg
