Book Name,Authors,Info,Image URL
"Making Bead & Wire Jewelry: Simple Techniques, Stunning Designs",Dawn Cusick,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1579901484"", ""ISBN13:"": ""9781579901486"", ""Release Date:"": ""June 2000"", ""Publisher:"": ""Sterling Publishing (NY)"", ""Length:"": ""128 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""0.6\"" x 8.8\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/FEFC3E9F2A5919349BE7262C7F9B9B5517820558.jpeg
Teach Yourself Visually Jewelry Making and Beading,Chris Franchetti Michaels,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0470101504"", ""ISBN13:"": ""9780470101506"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Visual"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.80 lbs."", ""Dimensions:"": ""0.6\"" x 7.9\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/6D61F888B4E043BA68AD52B237C364CA7D96B127.jpeg
Creative Clay Jewelry: Extraordinary * Colorful * Fun Designs to Make from Polymer Clay,Leslie Dierks,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2646AFACB5D8F27AE2A10E1924F96C60F6694ECD.jpeg
Creating Wire and Beaded Jewelry : Over 35 Beautiful Projects Using Wire and Beads,Linda Jones,"{""Format:"": ""Hardcover"", ""ISBN:"": ""0739448528"", ""Release Date:"": ""January 1"", ""Publisher:"": ""North Light Books""}",https://images-na.ssl-images-amazon.com/images/I/51HuYhzwFEL._SL160_.jpg
Creative Bead Weaving: A Contemporary Guide to Classic Off-Loom Stitches,Carol Wells,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1887374051"", ""ISBN13:"": ""9781887374057"", ""Release Date:"": ""December 1996"", ""Publisher:"": ""Sterling"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.6\"" x 8.8\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/12CBE1A29BA606D421F3A8998D6BFA42F20CC405.jpeg
"Making Wire Jewelry: 60 Easy Projects in Silver, Copper & Brass",Mary Larom,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/99BFB0B0911B4788B6101BC856EA99F14D6408DE.jpeg
Gem Identification Made Easy: A Hands-On Guide to More Confident Buying & Selling,Antoinette L. Matlins,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0943763169"", ""ISBN13:"": ""9780943763163"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Gemstone Press"", ""Length:"": ""322 Pages"", ""Weight:"": ""1.54 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/D79D7A330896808B18A9805AB8BD4CCBADCD836C.jpeg
Book of Beads: A Practical and Inspirational Guide to Beads and Jewelry Making,Robert Budwig,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671705253"", ""ISBN13:"": ""9780671705251"", ""Release Date:"": ""August 1990"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""128 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""0.6\"" x 8.8\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/A098C9E2ABF99B3EEE5A4A5382907526C4AE241E.jpeg
Getting Started Making Wire Jewelry and More,Linda Chandler,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/B9F751D2751ADBB1E24426B10D09F7CF7A36BA26.jpeg
Beadweaving: New Needle Techniques & Original Designs,Ann Benson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0806904003"", ""ISBN13:"": ""9780806904009"", ""Release Date:"": ""December 1899"", ""Publisher:"": ""Sterling Publishing (NY)"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""0.7\"" x 8.9\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/7D0DAD91E2C724C75A836B63D0C65AE3A48BA44C.jpeg
