Book Name,Authors,Info,Image URL
The LGBTQ + History Book,DK,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/C09E4A6C30AC44C520945F168C31D4183B9B156D.jpeg
"Queer, There, and Everywhere: 23 People Who Changed the World",Sarah Prager,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062474316"", ""ISBN13:"": ""9780062474315"", ""Release Date:"": ""May 2017"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.9\"" x 5.7\"" x 8.3\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/B07BE0C057E278480CD1F9557332D273FA5FB8DD.jpeg
Moby Dyke: An Obsessive Quest to Track Down the Last Remaining Lesbian Bars in America,Krista Burton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1668000539"", ""ISBN13:"": ""9781668000533"", ""Release Date:"": ""June 2023"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.08 lbs."", ""Dimensions:"": ""1.3\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/90780DA30640969BB7A100B9B8E990B7E48DFCDE.jpeg
When We Rise: My Life in the Movement,Cleve Jones,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316315435"", ""ISBN13:"": ""9780316315432"", ""Release Date:"": ""November 2016"", ""Publisher:"": ""Hachette Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/86F7015B72649D0371201D8820D06AD1A4AABAC5.jpeg
The Gay Revolution: The Story of the Struggle,Lillian Faderman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1451694121"", ""ISBN13:"": ""9781451694123"", ""Release Date:"": ""September 2016"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""832 Pages"", ""Weight:"": ""2.45 lbs."", ""Dimensions:"": ""1.5\"" x 6.0\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/ADC5C6280706FBB148E23FD777D8A0E79C3FF253.jpeg
"And the Band Played on: Politics, People, and the AIDS Epidemic",Randy Shilts,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312009941"", ""ISBN13:"": ""9780312009946"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""630 Pages"", ""Weight:"": ""2.43 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 9.1\""""}",https://m.media-amazon.com/images/I/417NCiSA8iL._SL350_.jpg
The Men with the Pink Triangle: The True Life-And-Death Story of Homosexuals in the Nazi Death Camps,Heinz Heger,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1555830064"", ""ISBN13:"": ""9781555830069"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Alyson Books"", ""Length:"": ""120 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.3\"" x 5.4\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/1817D1DA6BB485A1658BF2023D0C29A290AAF08D.jpeg
The Lavender Scare: The Cold War Persecution of Gays and Lesbians in the Federal Government,David K. Johnson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0226825728"", ""ISBN13:"": ""9780226825724"", ""Release Date:"": ""March 2023"", ""Publisher:"": ""University of Chicago Press"", ""Length:"": ""322 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.1\"" x 6.2\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C91EBBE4ADD369A8745E8727A06A51B49D77E92.jpeg
Female Husbands: A Trans History,Jen Manion,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1108718272"", ""ISBN13:"": ""9781108718271"", ""Release Date:"": ""May 2021"", ""Publisher:"": ""Cambridge University Press"", ""Length:"": ""350 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.8\"" x 8.9\"" x 7.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/BE22E625D2CE19631FD1389EEDFDE9321EE23F6E.jpeg
"Bi: The Hidden Culture, History, and Science of Bisexuality",Julia Shaw,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""141974979X"", ""ISBN13:"": ""9781419749797"", ""Release Date:"": ""June 2023"", ""Publisher:"": ""Abrams Press"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/946521C4E217126E557AD33C8E41022BF2AB698C.jpeg
Black on Both Sides: A Racial History of Trans Identity,C. Riley Snorton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1517901731"", ""ISBN13:"": ""9781517901738"", ""Release Date:"": ""December 2017"", ""Publisher:"": ""University of Minnesota Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/0DA72C4DFD39BEBE43EE84BF01615DEFF67E7C04.jpeg
"We Are Everywhere: Protest, Power, and Pride in the History of Queer Liberation",Leighton Brown,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2120573A8D7C1369E876890281BE4A92DB4782B5.jpeg
Transgender 101: A Simple Guide to a Complex Issue,Nicholas M. Teich,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0231157134"", ""ISBN13:"": ""9780231157131"", ""Release Date:"": ""March 2012"", ""Publisher:"": ""Columbia University Press"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.6\"" x 5.4\"" x 8.1\"""", ""Age Range:"": ""22 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/1C93FBAEE494BF7E81DA224E09C6551F2D24A71A.jpeg
Pride: The LGBTQ+ Rights Movement: A Photographic Journey,Christopher Measom,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/BAE94251287A7EE9FB99592DE51238A1BA443232.jpeg
"Trans Bodies, Trans Selves: A Resource by and for Transgender Communities",Laura Erickson-Schroth,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/6A3D28DD01AB8543126C12425EA76CADBD0497A7.jpeg
Legendary Children: The First Decade of Rupaul's Drag Race and the Last Century of Queer Life,Tom Fitzgerald,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143134620"", ""ISBN13:"": ""9780143134626"", ""Release Date:"": ""March 2020"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.9\"" x 5.0\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/8CE1386D93B22C33B0065D6A176BE2810D7D98D1.jpeg
Sewing the Rainbow: A Story about Gilbert Baker,Gayle E. Pitman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1433829029"", ""ISBN13:"": ""9781433829024"", ""Release Date:"": ""May 2018"", ""Publisher:"": ""Magination Press"", ""Length:"": ""32 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.3\"" x 8.2\"" x 10.1\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/9D3066834B0B420D8C02FFFD8B806C75F0285F75.jpeg
The Deviant's War: The Homosexual vs. the United States of America,Eric Cervini,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1250798507"", ""ISBN13:"": ""9781250798503"", ""Release Date:"": ""June 2021"", ""Publisher:"": ""Picador USA"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.0\"" x 5.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/349FE83018DBD2A53D4CD6FFF9817422613B8F78.jpeg
Queer America: A People's Glbt History of the United States,Vicki L. Eaklor,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1595586369"", ""ISBN13:"": ""9781595586360"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""New Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.7\"" x 6.9\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2A82F8782D7E15679FA1F9F88AE7080B525D520E.jpeg
The Laramie Project and the Laramie Project: Ten Years Later,Greg Pierotti,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0804170398"", ""ISBN13:"": ""9780804170390"", ""Release Date:"": ""June 2014"", ""Publisher:"": ""Vintage"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.2\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/D244239DA82C784C3A97ED708487C4B6F9EB8824.jpeg
Odd Girls and Twilight Lovers: A History of Lesbian Life in Twentieth-Century America,Lillian Faderman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0231074891"", ""ISBN13:"": ""9780231074896"", ""Release Date:"": ""February 2012"", ""Publisher:"": ""Columbia University Press"", ""Length:"": ""373 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""0.7\"" x 5.9\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/41D7207A0F64703133A67B0597E177A450CA5173.jpeg
Love Wins: The Lovers and Lawyers Who Fought the Landmark Case for Marriage Equality,Debbie Cenziper,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062456083"", ""ISBN13:"": ""9780062456083"", ""Release Date:"": ""June 2016"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C661C3BB0EC85C55095E67CB3E83AADB86CBD44F.jpeg
Stonewall: A Building. an Uprising. a Revolution,Rob Sanders,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1524719528"", ""ISBN13:"": ""9781524719524"", ""Release Date:"": ""April 2019"", ""Publisher:"": ""Random House Books for Young Readers"", ""Length:"": ""40 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.4\"" x 11.2\"" x 9.1\"""", ""Age Range:"": ""5 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/33B43169DAD926BC5EDFAEF9C8841EB2F4E53766.jpeg
Prejudice and Pride: LGBT Activist Stories from Manchester and Beyond,LGBT Youth North West,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/0EC0D0D49CECEEE41D2AF1E0678B0B014E5857D2.jpeg
Gay New York,George Chauncey,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0465026338"", ""ISBN13:"": ""9780465026333"", ""Release Date:"": ""May 1994"", ""Publisher:"": ""Basic Books"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.75 lbs.""}",https://m.media-amazon.com/images/I/41Nm7nhX25L._SL350_.jpg
A Queer History of the United States,Michael Bronski,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0807044652"", ""ISBN13:"": ""9780807044650"", ""Release Date:"": ""May 2012"", ""Publisher:"": ""Beacon Press"", ""Length:"": ""312 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D81CE997A1D30F51EB9998676F6C867768EC7DDB.jpeg
"And the Category Is.: Inside New York's Vogue, House, and Ballroom Community",Ricky Tucker,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0807007323"", ""ISBN13:"": ""9780807007327"", ""Release Date:"": ""September 2022"", ""Publisher:"": ""Beacon Press"", ""Length:"": ""248 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/5094B8F975D2F63FB7C6F735688F83A6148B831F.jpeg
How to Survive a Plague: The Inside Story of How Citizens and Science Tamed AIDS,David France,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307700631"", ""ISBN13:"": ""9780307700636"", ""Release Date:"": ""November 2016"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""640 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""1.5\"" x 6.5\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/09906E433A6C2E41B1FF7AC233A2F87B82805449.jpeg
The Celluloid Closet: Homosexuality in the Movies,Vito Russo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060137045"", ""ISBN13:"": ""9780060137045"", ""Release Date:"": ""January 1981"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""276 Pages"", ""Weight:"": ""1.70 lbs.""}",https://m.media-amazon.com/images/I/51Os5CVOqUL._SL350_.jpg
Transgender Warriors : Making History from Joan of Arc to Dennis Rodman,Leslie Feinberg,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B00AKS6NQC"", ""ISBN13:"": ""9780807079416"", ""Release Date:"": ""June 1997"", ""Publisher:"": ""Beacon Press"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.7\"" x 6.5\"" x 10.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/A1CD90E04D59A75CE0ACB02C0AFF2230E6878E6B.jpeg
Crip Theory: Cultural Signs of Queerness and Disability,Robert McRuer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0814757138"", ""ISBN13:"": ""9780814757130"", ""Release Date:"": ""June 2006"", ""Publisher:"": ""New York University Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.7\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2C0FFE40BD9541865BF60348F9FDA407E7C0C7B2.jpeg
Secret City: The Hidden History of Gay Washington,James Kirchick,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1627792325"", ""ISBN13:"": ""9781627792325"", ""Release Date:"": ""May 2022"", ""Publisher:"": ""Henry Holt & Company"", ""Length:"": ""848 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""1.8\"" x 6.2\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/F20D260BC053DB194813B46401BF5A11BDE8E974.jpeg
Pageboy: A Memoir,Elliot Page,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250878357"", ""ISBN13:"": ""9781250878359"", ""Release Date:"": ""June 2023"", ""Publisher:"": ""Flatiron Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.2\"" x 5.6\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/09AF5EAD7F8E2483C005501E8DC4D103EB168E8F.jpeg
Love That Story: Observations from a Gorgeously Queer Life,Jonathan Van Ness,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0063082268"", ""ISBN13:"": ""9780063082267"", ""Release Date:"": ""April 2022"", ""Publisher:"": ""HarperOne"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.1\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/68B1DF7515EA7E01E07CE40E90ADB58593F73287.jpeg
Pretty Baby: A Memoir,Chris Belcher,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1982175826"", ""ISBN13:"": ""9781982175825"", ""Release Date:"": ""July 2022"", ""Publisher:"": ""Avid Reader Press / Simon & Schuster"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.0\"" x 5.6\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/263D4ECEB80B0850797E14D7CF8FEBA23CB4D750.jpeg
On Top of Glass: My Stories as a Queer Girl in Figure Skating,Karina Manta,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593308468"", ""ISBN13:"": ""9780593308462"", ""Release Date:"": ""October 2021"", ""Publisher:"": ""Alfred A. Knopf Books for Young Readers"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.2\"" x 5.8\"" x 8.3\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/C2775D07BF263A000A121E7E7EAE97A960BEEC6E.jpeg
Sister Outsider: Essays and Speeches,Audre Lorde,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580911862"", ""ISBN13:"": ""9781580911863"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Crossing Press"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D73AB9B024EF92AFF01DE1CFB1B45AD61987B910.jpeg
"Damn Shame: A Memoir of Desire, Defiance, and Show Tunes",David Pevsner,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/A4E711BA26BB5B2F8E5FE07579BF5218CCE3AC9D.jpeg
High-Risk Homosexual: A Memoir,Edgar Gomez,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593767056"", ""ISBN13:"": ""9781593767051"", ""Release Date:"": ""January 2022"", ""Publisher:"": ""Soft Skull"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.0\"" x 5.6\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/E16A9351B97D00ADCC6C39989984EF62CE3F1846.jpeg
Before Night Falls: A Memoir,Reinaldo Arenas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140157654"", ""ISBN13:"": ""9780140157659"", ""Release Date:"": ""October 1994"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.8\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/FD6400262DD959692084E580CAA3DCB811CB480D.jpeg
The Mayor of Castro Street: The Life & Times of Harvey Milk,Randy Shilts,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312560850"", ""ISBN13:"": ""9780312560850"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""418 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5BDDDF642C6DD56C229C699B2DB366673B92C1AE.jpeg
I'm Just a Person,Tig Notaro,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062266632"", ""ISBN13:"": ""9780062266637"", ""Release Date:"": ""June 2016"", ""Publisher:"": ""Ecco Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.8\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/AA047F48CD64E47157653FDCD3F0E377C8736159.jpeg
I Was Better Last Night: A Memoir,Harvey Fierstein,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593320522"", ""ISBN13:"": ""9780593320525"", ""Release Date:"": ""March 2022"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.5\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/77F836F3E51FF8FB8700ADDC4849E646116A9880.jpeg
Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062906372"", ""ISBN13:"": ""9780062906373"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""HarperOne"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/607C323AFF0FCED16DB8C2259F21860C4B19FEBF.jpeg
Guru,RuPaul,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062862995"", ""ISBN13:"": ""9780062862990"", ""Release Date:"": ""October 2018"", ""Publisher:"": ""Dey Street Books"", ""Length:"": ""208 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1085DDF616D71E413BAE3D36B47744DCA6346C7E.jpeg
I Have Something to Tell You: A Memoir,Chasten Glezman Buttigieg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1982138122"", ""ISBN13:"": ""9781982138127"", ""Release Date:"": ""September 2020"", ""Publisher:"": ""Atria Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.0\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/29B88A60A97F7D1312CD636C0431B42DF66411C4.jpeg
Girls Can Kiss Now: Essays,Jill Gutowitz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1982158506"", ""ISBN13:"": ""9781982158507"", ""Release Date:"": ""March 2022"", ""Publisher:"": ""Atria Books"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.6\"" x 5.4\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/5597A27B7B4E89456E70EEE0954CB213B0926648.jpeg
