Book Name,Authors,Info,Image URL
Watch Where They Hide: A Jordan Manning Novel [Large Print],Tamron Hall,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0063266199"", ""ISBN13:"": ""9780063266193"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Harper Large Print"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/185EAFF749EDD340AD30E89257F06CFDEAF8A336.jpeg
The Fury [Large Print],Alex Michaelides,"{""Format:"": ""Library Binding"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""B0CJJZF558"", ""ISBN13:"": ""9798885796880"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""Thorndike Press Large Print"", ""Length:"": ""1 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/DF76BE87A8CC5908B6162D192C401EC8551B1064.jpeg
The Night Island [Large Print],Jayne Ann Krentz,"{""Format:"": ""Library Binding"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""B0CJHNQ553"", ""ISBN13:"": ""9798885790284"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Thorndike Press Large Print"", ""Length:"": ""1 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.5\"" x 5.7\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C20B6750A10DAA1E4171971E454CE1516BFBDB32.jpeg
Martyr! [Large Print],Kaveh Akbar,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593862759"", ""ISBN13:"": ""9780593862759"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""464 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.6\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/0E82ADC54306F9588EE3A5F61DF7CA4192144D07.jpeg
Missing Persons: The Most Exciting International Thriller Series Since Jason Bourne [Large Print],James Patterson,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""1538766485"", ""ISBN13:"": ""9781538766484"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""464 Pages"", ""Weight:"": ""3.08 lbs."", ""Dimensions:"": ""1.3\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C3A970D016EC1089829CE73B34C2A94DD1B6AE5.jpeg
The Prisoner's Throne: A Novel of Elfhame Volume 2 [Large Print],Holly Black,"{""Format:"": ""Hardcover"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0316578886"", ""ISBN13:"": ""9780316578882"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.3\"" x 5.5\"" x 9.1\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/600F30CE34D559DF96839FD43847ED7DEB2083D9.jpeg
Supercommunicators: How to Unlock the Secret Language of Connection [Large Print],Charles Duhigg,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593862066"", ""ISBN13:"": ""9780593862063"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CCDE9F98C822D61E286E9651F10532F8557762E6.jpeg
Untangle Your Emotions: Naming What You Feel and Knowing What to Do about It [Large Print],Jennie Allen,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593862082"", ""ISBN13:"": ""9780593862087"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/1CF64B6A0693521C404525482B935D6A75D802B6.jpeg
Why We Remember: Unlocking Memory's Power to Hold on to What Matters [Large Print],Charan Ranganath,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593862724"", ""ISBN13:"": ""9780593862728"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""464 Pages"", ""Weight:"": ""1.01 lbs."", ""Dimensions:"": ""1.2\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/268D1C56E77CECE671CFA5509FBDFD6F33A87C2F.jpeg
Three-Inch Teeth [Large Print],C.J. Box,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593862333"", ""ISBN13:"": ""9780593862339"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/998ABB9BD853F2FD65C418302DE32F10BACFD3B9.jpeg
Wandering Stars [Large Print],Tommy Orange,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593862783"", ""ISBN13:"": ""9780593862780"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/B8911F4A6958DA0CCC0893CBA3B863813DDCEC64.jpeg
