Book Name,Authors,Info,Image URL
Rubyfruit Jungle,Rita Mae Brown,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""055327886X"", ""Release Date:"": ""May 1983"", ""Publisher:"": ""Bantam"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.31 lbs."", ""Dimensions:"": ""6.9\"" x 0.7\"" x 4.2\""""}",https://m.media-amazon.com/images/I/510No4ZFSxL._SL350_.jpg
Bastard Out of Carolina,Dorothy Allison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452269571"", ""ISBN13:"": ""9780452269576"", ""Release Date:"": ""March 1993"", ""Publisher:"": ""Plume Books"", ""Length:"": ""309 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/AD45BE0158BCE592976EEA2F484FE5276F746389.jpeg
Oranges Are Not the Only Fruit,Jeanette Winterson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0802135161"", ""Release Date:"": ""August 1997"", ""Publisher:"": ""Grove Press"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.38 lbs."", ""Dimensions:"": ""8.3\"" x 0.5\"" x 6.0\""""}",https://m.media-amazon.com/images/I/518JHpbNv9L._SL350_.jpg
Tipping the Velvet,Sarah Waters,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573227889"", ""ISBN13:"": ""9781573227889"", ""Release Date:"": ""May 2000"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""488 Pages"", ""Weight:"": ""0.87 lbs."", ""Dimensions:"": ""1.1\"" x 5.1\"" x 8.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/49C5C182F4F17E95D67FCD9A82BA8AE340DF76C7.jpeg
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0070212570"", ""ISBN13:"": ""9780070212572"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""403 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/20C1D13F29A0BCB95FFC3B1B4146024A321C30A8.jpeg
The Little Stranger,Sarah Waters,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1594484465"", ""ISBN13:"": ""9781594484469"", ""Release Date:"": ""May 2010"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.1\"" x 5.6\"" x 8.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F7C5F6CD1F75FF7A9463ECC7C02E7A8CB2F4FFB3.jpeg
Fingersmith,Sarah Waters,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573229725"", ""ISBN13:"": ""9781573229722"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""600 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.3\"" x 5.2\"" x 8.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9B7BAB4344E7AF8756919AD76F0DB539CEE731F3.jpeg
What We All Long for,Dionne Brand,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0676971679"", ""ISBN13:"": ""9780676971675"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Knopf Canada"", ""Length:"": ""319 Pages"", ""Weight:"": ""1.16 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/2B3CA73A29E295049D038DD126F4544E972D1830.jpeg
Ash,Malinda Lo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""031604010X"", ""ISBN13:"": ""9780316040105"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""264 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/17EB9534D85EAD41E53616771E9227C72A57E79E.jpeg
Stone Butch Blues,Leslie Feinberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1563410303"", ""ISBN13:"": ""9781563410307"", ""Release Date:"": ""April 1993"", ""Publisher:"": ""Firebrand Books"", ""Length:"": ""301 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""0.9\"" x 5.8\"" x 8.8\""""}",https://m.media-amazon.com/images/I/41QM-3C9qqL._SL350_.jpg
Look Both Ways: Bisexual Politics,Jennifer Baumgardner,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0374190046"", ""ISBN13:"": ""9780374190040"", ""Release Date:"": ""February 2007"", ""Publisher:"": ""Farrar Straus Giroux"", ""Length:"": ""244 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""0.9\"" x 5.8\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/20659BDC0362F23027A1F5BAAA363982757D5655.jpeg
Battle Scars,Meghan O'Brien,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1602821291"", ""ISBN13:"": ""9781602821293"", ""Release Date:"": ""December 2009"", ""Publisher:"": ""Bold Strokes Books"", ""Length:"": ""243 Pages"", ""Weight:"": ""0.57 lbs."", ""Dimensions:"": ""0.6\"" x 6.7\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/8404EC21085553875F9FC6FD91E148CB52A714E6.jpeg
Stir-Fry,Emma Donoghue,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""006017109X"", ""ISBN13:"": ""9780060171094"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""1.1\"" x 5.8\"" x 8.5\""""}",https://m.media-amazon.com/images/I/41bMz5HBa2L._SL350_.jpg
"Girls, Visions, and Everything",Sarah Schulman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0931188385"", ""ISBN13:"": ""9780931188381"", ""Release Date:"": ""January 1986"", ""Publisher:"": ""Seal Press (CA)"", ""Length:"": ""178 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/0921C6CDCCA769B91F6AEFED357C2F521906F9D2.jpeg
Dykeswords,Womens Press,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/FD10812C3B06079A212FF8603955433C4AE97925.jpeg
Windrow Garden,Janet McClellan,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/09C54E1101FAE63DEED84A45CBDCB2DA86728497.jpeg
I Can't Think Straight,Shamim Sarif,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0956031617"", ""ISBN13:"": ""9780956031617"", ""Release Date:"": ""November 2008"", ""Publisher:"": ""Enlightenment Productions Limited"", ""Length:"": ""204 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.5\"" x 4.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/38756DBBD98E31AEBE65C29800565BDCF54DE1EE.jpeg
You Make Me Wanna...,Nikki Rashan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0595374395"", ""ISBN13:"": ""9780595374397"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""iUniverse"", ""Length:"": ""204 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9F4256D72A26D89E89C909DC39ED2CE18B2584CC.jpeg
Root of Passion,Ann Roberts,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1594931550"", ""ISBN13:"": ""9781594931550"", ""Release Date:"": ""August 2009"", ""Publisher:"": ""Bella Books"", ""Length:"": ""188 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/0B12C6760F621EF4BCAD12D2CE37BEDF62C79984.jpeg
Faultline,Sheila Ortiz Taylor,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""093004424X"", ""ISBN13:"": ""9780930044244"", ""Release Date:"": ""January 1982"", ""Publisher:"": ""Naiad Press"", ""Length:"": ""126 Pages"", ""Weight:"": ""0.50 lbs.""}",https://m.media-amazon.com/images/I/51g1bPD490L._SL350_.jpg
"The Price of Salt, or Carol",Patricia Highsmith,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393325997"", ""ISBN13:"": ""9780393325997"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/0A660B9F3F44EC536BD22048DBC9BDEAB79AEA60.jpeg
Nightwood,Djuna Barnes,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0811216713"", ""ISBN13:"": ""9780811216715"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""New Directions Publishing Corporation"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.5\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/2BC46E77C881A13F5FC0D529FD60D96850A58463.jpeg
Annie on My Mind,Nancy Garden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0374400113"", ""ISBN13:"": ""9780374400118"", ""Release Date:"": ""February 2007"", ""Publisher:"": ""Square Fish"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""12 to 18 years"", ""Grade Range:"": ""Grade 7 to Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/5E3E6B764FD966A8F3E0C668AA5252106ED3637B.jpeg
The Well of Loneliness: The Classic of Lesbian Fiction,Radclyffe Hall,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385416091"", ""ISBN13:"": ""9780385416092"", ""Release Date:"": ""October 1990"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""1.0\"" x 5.2\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/96037F4DD8F551706D7B82FE2F8AEAF9A900A520.jpeg
Quicksand and Passing (American Women Writers),Nella Larsen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0813511704"", ""Release Date:"": ""April 1986"", ""Publisher:"": ""Rutgers University Press"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""8.5\"" x 0.8\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51Uk3Ux1yeL._SL350_.jpg
Curious Wine,Katherine V. Forrest,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0930044436"", ""ISBN13:"": ""9780930044435"", ""Release Date:"": ""January 1983"", ""Publisher:"": ""Naiad Press"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.4\"" x 5.5\"" x 8.4\""""}",https://m.media-amazon.com/images/I/51j7X1IsyUL._SL350_.jpg
Two or Three Things I Know for Sure,Dorothy Allison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452273404"", ""Release Date:"": ""August 1996"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""94 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""7.5\"" x 0.3\"" x 4.5\""""}",https://m.media-amazon.com/images/I/51NAxc5wdHL._SL350_.jpg
Open Me Carefully: Emily Dickinson's Intimate Letters to Susan Huntington Dickinson,Emily Dickinson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0963818368"", ""ISBN13:"": ""9780963818362"", ""Release Date:"": ""October 1998"", ""Publisher:"": ""Paris Press"", ""Length:"": ""360 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.1\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/A37D7EFEA3B654624E1C2DF1D2B643E06F4EB267.jpeg
Trash,Dorothy Allison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452283515"", ""ISBN13:"": ""9780452283510"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 7.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/19348E86EFAD5F3A239FF30AB1FBE3FF69C681A7.jpeg
The Collected Poems of Audre Lorde,Audre Lorde,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393319725"", ""ISBN13:"": ""9780393319729"", ""Release Date:"": ""February 2000"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""1.4\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/B696B189EF1B71A79463B6C6C07DA0366DBEE406.jpeg
The Sewing Circle: Hollywood's Greatest Secret: Female Stars Who Loved Other Women,Axel Madsen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1559722754"", ""ISBN13:"": ""9781559722759"", ""Release Date:"": ""December 1994"", ""Publisher:"": ""Birch Lane Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""9.3\"" x 1.3\"" x 6.5\""""}",https://m.media-amazon.com/images/I/41hNzwSDChL._SL350_.jpg
The Last Time I Wore Dress,Daphne Scholinski,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573226963"", ""ISBN13:"": ""9781573226967"", ""Release Date:"": ""October 1998"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F283F8D460FDE8B8DC7553E92AC6DB7C0DB248B4.jpeg
Six of One,Rita Mae Brown,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060105240"", ""ISBN13:"": ""9780060105242"", ""Release Date:"": ""January 1978"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""310 Pages"", ""Weight:"": ""0.50 lbs.""}",https://m.media-amazon.com/images/I/41Bs3+zwa6L._SL350_.jpg
I Dwell in Possibility: A Memoir,Toni A.H. McNaron,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1558610502"", ""ISBN13:"": ""9781558610507"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Feminist Press"", ""Length:"": ""196 Pages"", ""Weight:"": ""0.63 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.5\""""}",https://m.media-amazon.com/images/I/511ldfap0yL._SL350_.jpg
Valencia,Michelle Tea,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580050352"", ""ISBN13:"": ""9781580050357"", ""Release Date:"": ""April 2000"", ""Publisher:"": ""Seal Press (CA)"", ""Length:"": ""216 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/A6CE92DC8B6F5FE3A6DF9752C64DF70995D83CE7.jpeg
Tales of the Lavender Menace: A Memoir of Liberation,Karla Jay,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0465083668"", ""ISBN13:"": ""9780465083664"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""Basic Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/70C38DCA7E2D889DCDD987CB43198A1FF64154B7.jpeg
