Book Name,Authors,Info,Image URL
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""030738604X"", ""ISBN13:"": ""9780307386045"", ""Release Date:"": ""July 2010"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/86A3ECBFF8583C97602468A792BB51AD7EEEE80A.jpeg
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316067601"", ""ISBN13:"": ""9780316067607"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/06918119C6BCEC9A8E642D46F6EF7D5884F8549E.jpeg
A Rumor of War,Philip Caputo,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345331222"", ""ISBN13:"": ""9780345331229"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""328 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""1.1\"" x 4.3\"" x 6.7\""""}",https://m.media-amazon.com/images/I/51je5+9WbBL._SL350_.jpg
"No Ordinary Time: Franklin and Eleanor Roosevelt, the Home Front in World War II",Doris Kearns Goodwin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671642405"", ""ISBN13:"": ""9780671642402"", ""Release Date:"": ""September 1994"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""768 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.6\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/1B864F86AB351BC806AB03DEF0B15FEA4F91514F.jpeg
With the Old Breed: At Peleliu and Okinawa,Eugene B. Sledge,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0891419063"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Random House Publishing Group"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""8.2\"" x 0.8\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51CqD7cjLUL._SL350_.jpg
"Undaunted Courage: Meriwether Lewis, Thomas Jefferson, and the Opening of the American West",Stephen E. Ambrose,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684811073"", ""ISBN13:"": ""9780684811079"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.62 lbs."", ""Dimensions:"": ""1.6\"" x 6.3\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/AE8E7695D6B693390499CA16DB1EE8355BFDDA07.jpeg
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743270754"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""944 Pages"", ""Weight:"": ""2.73 lbs."", ""Dimensions:"": ""9.3\"" x 1.7\"" x 6.1\""""}",https://m.media-amazon.com/images/I/514pUO47lqL._SL350_.jpg
Personal Memoirs,Ulysses S. Grant,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140437010"", ""ISBN13:"": ""9780140437010"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""704 Pages"", ""Weight:"": ""1.06 lbs."", ""Dimensions:"": ""1.3\"" x 5.1\"" x 7.8\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9008969B4261815CA40D2A20FCC383FAF796F0AB.jpeg
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1400064163"", ""ISBN13:"": ""9781400064168"", ""Release Date:"": ""November 2010"", ""Publisher:"": ""Random House"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.67 lbs."", ""Dimensions:"": ""1.4\"" x 6.2\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/3B92417C352194888A5D76F6C3C78EB36B23B4ED.jpeg
Beyond Band of Brothers: The War Memoirs of Major Dick Winters,Dick Winters,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425213757"", ""ISBN13:"": ""9780425213759"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Dutton Caliber"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/079DA7F4B39473D51F1027A1D3130BD8FBE711B3.jpeg
