Book Name,Authors,Info,Image URL
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375725601"", ""Release Date:"": ""February 2004"", ""Publisher:"": ""Knopf Doubleday Publishing Group"", ""Length:"": ""447 Pages"", ""Weight:"": ""0.91 lbs."", ""Dimensions:"": ""8.0\"" x 0.9\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41u4GelLu-L._SL350_.jpg
In Cold Blood,Truman Capote,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679745580"", ""ISBN13:"": ""9780679745587"", ""Release Date:"": ""February 1994"", ""Publisher:"": ""Vintage"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/4E397C3C0A1FDCED4F56FD1FC1D53D0E15F6DCBD.jpeg
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679751521"", ""Release Date:"": ""June 1999"", ""Publisher:"": ""Vintage"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""8.0\"" x 0.9\"" x 5.2\""""}",https://m.media-amazon.com/images/I/51pf1kjr2ZL._SL350_.jpg
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400032806"", ""ISBN13:"": ""9781400032808"", ""Release Date:"": ""June 2004"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/40E4A6FA70DC171C46DF06B4FD7F23E813420DB2.jpeg
Thunderstruck,Erik Larson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400080673"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Crown"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.82 lbs."", ""Dimensions:"": ""8.0\"" x 1.0\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41ED0cRkiLL._SL350_.jpg
Mindhunter: Inside the FBI's Elite Serial Crime Unit,John E. Douglas,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684803763"", ""ISBN13:"": ""9780684803760"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.48 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/59C65E69BA17D13CCDC151603F54828877EF24CF.jpeg
The Innocent Man,John Grisham,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440243831"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Dell"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""6.9\"" x 1.2\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41Q7HQP-GHL._SL350_.jpg
Columbine,Dave Cullen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446546925"", ""ISBN13:"": ""9780446546928"", ""Release Date:"": ""March 2010"", ""Publisher:"": ""Twelve"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.13 lbs."", ""Dimensions:"": ""1.3\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/96BFD1F72ACADCC08E9093825B12BC674F6EBF57.jpeg
The Stranger Beside Me (Revised and Updated): 20th Anniversary,Ann Rule,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451203267"", ""ISBN13:"": ""9780451203267"", ""Release Date:"": ""June 2001"", ""Publisher:"": ""Signet Book"", ""Length:"": ""548 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""1.3\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/A80FE59B301A78896B13A08222AAB645D537D328.jpeg
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393322238"", ""ISBN13:"": ""9780393322231"", ""Release Date:"": ""December 2001"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""736 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.4\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/A070DDBF0D0F16BB62A265E3EC36E841E1440990.jpeg
The Burning of Bridget Cleary: A True Story,Angela Bourke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""067089270X"", ""ISBN13:"": ""9780670892709"", ""Release Date:"": ""August 2000"", ""Publisher:"": ""Viking Books"", ""Length:"": ""279 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.1\"" x 5.8\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/DE04449693FCED79E9E405CA1255DBD065783FEF.jpeg
The Bone Lady: Life as a Forensic Anthropologist,Mary H. Manhein,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""014029192X"", ""ISBN13:"": ""9780140291926"", ""Release Date:"": ""July 2000"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""160 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.4\"" x 5.1\"" x 7.7\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/97BBE4FDA49661A7A6ED8C930B7EB92D51823C7B.jpeg
"The Beautiful Cigar Girl: Mary Rogers, Edgar Allan Poe, and the Invention of Murder",Daniel Stashower,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""052594981X"", ""ISBN13:"": ""9780525949817"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Dutton Books"", ""Length:"": ""326 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 6.6\"" x 9.3\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/6F547421533A0DA9FAEB5ED94F77220F25C9F396.jpeg
