Book Name,Authors,Info,Image URL
Murder on the Orient Express: A Hercule Poirot Mystery: The Official Authorized Edition,Agatha Christie,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062073494"", ""ISBN13:"": ""9780062073495"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/3B16729A3A08170C5AD569757C3F20AA6690E8B6.jpeg
Dark Places,Gillian Flynn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307341577"", ""ISBN13:"": ""9780307341570"", ""Release Date:"": ""May 2010"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/4A658D08746527CA40E73FB2A63EDA7FF6639006.jpeg
In the Woods: A Novel (Dublin Murder Squad),Tana French,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143113496"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""8.4\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41bCa9lSWiL._SL350_.jpg
Tripwire (Jack Reacher),Lee Child,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515143073"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Berkley"", ""Length:"": ""608 Pages"", ""Weight:"": ""0.74 lbs."", ""Dimensions:"": ""7.5\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/41P55TiUK-L._SL350_.jpg
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0964729237"", ""Release Date:"": ""July 2007"", ""Publisher:"": ""Windblown Media"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""5.3\"" x 0.6\"" x 8.0\""""}",https://m.media-amazon.com/images/I/518nBzyV7hL._SL350_.jpg
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400032717"", ""ISBN13:"": ""9781400032716"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""Vintage"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.87 lbs."", ""Dimensions:"": ""0.8\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/FE012A6AB4777CE4BA3B048930C813E2673D7348.jpeg
Still Life: A Chief Inspector Gamache Novel,Louise Penny,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312541538"", ""ISBN13:"": ""9780312541538"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""Minotaur Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/861EBBDE8DDD448B8FEA2E3A083EF21E616B7B2C.jpeg
The Girl with the Dragon Tattoo: A Lisbeth Salander Novel,Stieg Larsson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307454541"", ""ISBN13:"": ""9780307454546"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Vintage Crime/Black Lizard"", ""Length:"": ""608 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5C707987B4DA01EACA65E956BBEC5A872A5D2240.jpeg
Along Came A Spider,James Patterson,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446364193"", ""Release Date:"": ""December 1993"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""6.9\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51dGivzCAOL._SL350_.jpg
Hour Game,David Baldacci,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1538709589"", ""ISBN13:"": ""9781538709580"", ""Release Date:"": ""January 2023"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.6\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/06EA412D2720E602A2701BDCB1ABA0904CCCA22A.jpeg
Book of Days: A Novel,James L. Rubart,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1433671514"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""B&H Books"", ""Length:"": ""381 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""8.3\"" x 1.0\"" x 5.4\""""}",https://m.media-amazon.com/images/I/41d704bZLNL._SL350_.jpg
Lavender Blue Murder,Laura Childs,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451489675"", ""ISBN13:"": ""9780451489678"", ""Release Date:"": ""January 2021"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""1.0\"" x 4.1\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/586B726CEA31BFB0F5BB7A856DEFA829925C02C2.jpeg
The Innocence of Father Brown (The Best Mysteries of All Time),G.K. Chesterton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""B004H2UPSY"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""ImPress/Reader's Digest"", ""Length:"": ""271 Pages"", ""Weight:"": ""0.95 lbs.""}",https://m.media-amazon.com/images/I/41GjXpA63VL._SL350_.jpg
Wings Bestsellers--Mystery/Suspense: Agatha Christie: Murderers Abroad,Agatha Christie,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0517055880"", ""ISBN13:"": ""9780517055885"", ""Release Date:"": ""February 1991"", ""Publisher:"": ""Random House Value Publishing"", ""Length:"": ""773 Pages"", ""Weight:"": ""3.00 lbs."", ""Dimensions:"": ""2.7\"" x 6.4\"" x 9.4\""""}",https://m.media-amazon.com/images/I/51qJVqOBWeL._SL350_.jpg
"In a Dark, Dark Wood",Ruth Ware,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1501112333"", ""ISBN13:"": ""9781501112331"", ""Release Date:"": ""April 2016"", ""Publisher:"": ""Gallery/Scout Press"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.0\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/8ECE7DFBEB1FB66E3D0755E19BFF5ED2FAD7BA27.jpeg
The Wedding Guest: An Alex Delaware Novel,Jonathan Kellerman,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0525618511"", ""ISBN13:"": ""9780525618515"", ""Release Date:"": ""November 2019"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""1.3\"" x 4.1\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/F6BF5DCADF00D3E8516A0FB3009DA38996BEA585.jpeg
Murder Being Once Done,Ruth Rendell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375704884"", ""ISBN13:"": ""9780375704888"", ""Release Date:"": ""March 1999"", ""Publisher:"": ""Vintage Crime/Black Lizard"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9248579A763308576C6145CCA435827B8F1B5434.jpeg
Sew Deadly (Southern Sewing Circle Series),Elizabeth Lynn Casey,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425229106"", ""Release Date:"": ""August 2009"", ""Publisher:"": ""Berkley"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""6.8\"" x 0.8\"" x 4.3\""""}",https://m.media-amazon.com/images/I/41Jhs5jOMYL._SL350_.jpg
Dying to Be Thin,Kathryn Lilley,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/238778085D7438474D0329C6DF05742AB50671E6.jpeg
Murder at Midnight,C.S. Challinor,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/BFE66F84801A8FBCF1A8FAFF758117153F9DFF5D.jpeg
