Book Name,Authors,Info,Image URL
Fools Crow,James Welch,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670811211"", ""ISBN13:"": ""9780670811212"", ""Release Date:"": ""November 1986"", ""Publisher:"": ""Viking Books"", ""Length:"": ""391 Pages"", ""Weight:"": ""1.65 lbs.""}",https://m.media-amazon.com/images/I/516ma7hF41S._SL350_.jpg
Wilderness Empire,Allan W. Eckert,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553264885"", ""Release Date:"": ""March 1985"", ""Publisher:"": ""Domain"", ""Length:"": ""768 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""7.0\"" x 1.3\"" x 4.3\""""}",https://m.media-amazon.com/images/I/71TY3YN6ZNL._SL350_.jpg
Dance on the Wind: A Novel (Titus Bass),Terry C. Johnston,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553572814"", ""Release Date:"": ""August 1996"", ""Publisher:"": ""Bantam"", ""Length:"": ""624 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""6.8\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51dSJoOdVgL._SL350_.jpg
The Thousand-Mile War,Brian Garfield,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553275275"", ""ISBN13:"": ""9780553275278"", ""Release Date:"": ""July 1988"", ""Publisher:"": ""Bantam"", ""Length:"": ""345 Pages"", ""Weight:"": ""0.40 lbs.""}",https://m.media-amazon.com/images/I/41L6iqYwGRL._SL350_.jpg
Turn the Stars Upside Down: The Last Days and Tragic Death of Crazy Horse (The Plainsmen Series),Terry C. Johnston,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312982097"", ""Release Date:"": ""June 2002"", ""Publisher:"": ""St. Martin's Paperbacks"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""6.7\"" x 1.0\"" x 4.1\""""}",https://m.media-amazon.com/images/I/51IH1CKaruL._SL350_.jpg
The Lost Band,Don Coldsmith,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553294733"", ""ISBN13:"": ""9780553294736"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Bantam"", ""Length:"": ""332 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""6.8\"" x 0.7\"" x 4.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/69B967B9628B49A00481B5BBA56F18E30632823B.jpeg
Masked Gods: Navaho and Pueblo Ceremonialism,Frank Waters,"{""Format:"": ""Paperback"", ""ISBN:"": ""0345018737"", ""ISBN13:"": ""9780345018731"", ""Release Date:"": ""January 1925"", ""Publisher:"": ""Ballantine Books"", ""Weight:"": ""2.05 lbs.""}",https://m.media-amazon.com/images/I/51mowuxZpaL._SL350_.jpg
Hundred in the Hand,Joseph M. Marshall III,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1555916538"", ""ISBN13:"": ""9781555916534"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Fulcrum Publishing"", ""Length:"": ""392 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.1\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6C56AB6CF01EF5FCC58A7762E13267F01812CA4F.jpeg
Watershed,Percival Everett,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0807016276"", ""ISBN13:"": ""9780807016275"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Beacon Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/752D84E2223B30A27BDE72421014AC5A446D89E5.jpeg
The Story Catcher,Mari Sandoz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0803291639"", ""ISBN13:"": ""9780803291638"", ""Release Date:"": ""June 1986"", ""Publisher:"": ""Bison Books"", ""Length:"": ""175 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 8.1\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/34757956928AFA8F52D13157485AF4B8CF356820.jpeg
The Long Knives Are Crying,Joseph M. Marshall III,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1555916724"", ""ISBN13:"": ""9781555916725"", ""Release Date:"": ""August 2008"", ""Publisher:"": ""Fulcrum Publishing"", ""Length:"": ""441 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/604A8AC431D8D28CE538F1CD66408EAE8B646B92.jpeg
Warriors: Warfare and the Native Americans,Norman Bancroft Hunt,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0517140330"", ""ISBN13:"": ""9780517140338"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Random House Value Publishing"", ""Length:"": ""256 Pages"", ""Weight:"": ""3.10 lbs."", ""Dimensions:"": ""1.0\"" x 8.9\"" x 12.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/46F2BC8CADB4898ACF533A085E33FD22FCC53645.jpeg
Little Big Horn,Robert Nightengale,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0965288900"", ""ISBN13:"": ""9780965288903"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Far West Publishing"", ""Length:"": ""206 Pages"", ""Weight:"": ""2.75 lbs."", ""Dimensions:"": ""1.0\"" x 8.7\"" x 11.2\""""}",https://m.media-amazon.com/images/I/41z3TJFrelL._SL350_.jpg
Return to Beauty: A Historical Novel,Ernest L. Schusky,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/96C4433AD4D8A8F2D3F51866ED658379F8EFFC87.jpeg
Shadow Warrior: A Novel of the Old West,J.C. Gotcher,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1592281222"", ""ISBN13:"": ""9781592281220"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Lyons Press"", ""Length:"": ""245 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.0\"" x 6.2\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/999D833D69626015D10E31BE13406B5672FAF8BB.jpeg
"Stay Away, Joe",Barry Cushman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670668605"", ""ISBN13:"": ""9780670668601"", ""Release Date:"": ""January 1953"", ""Publisher:"": ""Viking Books"", ""Length:"": ""249 Pages"", ""Weight:"": ""0.95 lbs.""}",https://m.media-amazon.com/images/I/51u8fMn+qFL._SL350_.jpg
