Book Name,Authors,Info,Image URL
Murder Machine (Onyx True Crime),Gene Mustain,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451403878"", ""Release Date:"": ""July 1993"", ""Publisher:"": ""Berkley"", ""Length:"": ""496 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""6.7\"" x 1.4\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41tr1+4HrjL._SL350_.jpg
The Ice Man: Confessions of a Mafia Contract Killer,Philip Carlo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312374658"", ""ISBN13:"": ""9780312374655"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""440 Pages"", ""Weight:"": ""0.91 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8177F61CE803D61C601D8767826AA35B66922CAA.jpeg
No Angel: My Harrowing Undercover Journey to the Inner Circle of the Hells Angels,Nils Johnson-Shelton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307405850"", ""ISBN13:"": ""9780307405852"", ""Release Date:"": ""February 2009"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""328 Pages"", ""Weight:"": ""1.49 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9BC9602366346B2215C7219F1BFA52C4A3841D54.jpeg
A Complete History of the Mafia by JO DURDEN SMITH (2007) Hardcover,Jo Durden-Smith,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0760791953"", ""ISBN13:"": ""9780760791950"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""METRO BOOKS"", ""Length:"": ""208 Pages"", ""Weight:"": ""1.55 lbs.""}",https://m.media-amazon.com/images/I/51iOi4dUDxL._SL350_.jpg
Killing Pablo: The Hunt for the World's Greatest Outlaw,Mark Bowden,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0871137836"", ""ISBN13:"": ""9780871137838"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Atlantic Monthly Press"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E9BBBE5DCD58C662C3440B7BAB56B43502B75FAA.jpeg
"""I Heard You Paint Houses"": Frank ""The Irishman"" Sheeran & Closing the Case on Jimmy Hoffa",Charles Brandt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1586420895"", ""ISBN13:"": ""9781586420895"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Steerforth Press"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/10AA218328124D81E4B0E3826647094956D37253.jpeg
"Boardwalk Empire: The Birth, High Times, and Corruption of Atlantic City",Nelson Johnson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0966674855"", ""ISBN13:"": ""9780966674859"", ""Release Date:"": ""September 2009"", ""Publisher:"": ""Plexus Publishing"", ""Length:"": ""296 Pages"", ""Weight:"": ""0.84 lbs."", ""Dimensions:"": ""0.7\"" x 6.5\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/EB2D47D11667BCBBBB6930A03A92F0F2AA1E3F25.jpeg
"Five Families: The Rise, Decline, and Resurgence of America's Most Powerful Mafia Empires",Selwyn Raab,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1250101700"", ""ISBN13:"": ""9781250101709"", ""Release Date:"": ""October 2016"", ""Publisher:"": ""Thomas Dunne Book for St. Martin's Griffin"", ""Length:"": ""816 Pages"", ""Weight:"": ""2.07 lbs."", ""Dimensions:"": ""2.2\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/DA3378A28E3C3F9B162689A529C425A188B3F5F6.jpeg
Blood Covenant,Michael Franzese,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0883688670"", ""ISBN13:"": ""9780883688670"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Whitaker Distribution"", ""Length:"": ""404 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E3CC3D8E6D90A75C57A91DA60F411F8DDB8968BE.jpeg
Wiseguy: Life in a Mafia Family,Nicholas Pileggi,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671633929"", ""ISBN13:"": ""9780671633929"", ""Release Date:"": ""February 1987"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""289 Pages"", ""Weight:"": ""0.38 lbs.""}",https://m.media-amazon.com/images/I/51ue7gcqN+L._SL350_.jpg
