Book Name,Authors,Info,Image URL
"Lover Mine (Black Dagger Brotherhood, Book 8)",J.R. Ward,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451231554"", ""Release Date:"": ""November 2010"", ""Publisher:"": ""Berkley"", ""Length:"": ""656 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""6.8\"" x 1.4\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41A-FG7MA+L._SL350_.jpg
Fantasy Lover,Sherrilyn Kenyon,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312979975"", ""Release Date:"": ""February 2002"", ""Publisher:"": ""St. Martin's Paperbacks"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.39 lbs."", ""Dimensions:"": ""6.7\"" x 0.9\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41VM3sQu0PL._SL350_.jpg
The Unseen,Heather Graham,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0778314294"", ""ISBN13:"": ""9780778314295"", ""Release Date:"": ""February 2013"", ""Publisher:"": ""Mira Books"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.38 lbs."", ""Dimensions:"": ""1.0\"" x 4.1\"" x 6.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/DF16A2E24BF7E6C70ED50508CBBC9E605D6868B4.jpeg
The Wolf Gift: The Wolf Gift Chronicles (1),Anne Rice,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307742105"", ""ISBN13:"": ""9780307742100"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.3\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/2EC9B4DC69DE13C15860540B4EA0F3F76F916674.jpeg
"The Lunatic Cafe (Anita Blake, Vampire Hunter, Book 4)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""051513452X"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Berkley"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""6.7\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/413s2tGRnuL._SL350_.jpg
"Bloody Bones (Anita Blake, Vampire Hunter, Book 5)",Laurell K. Hamilton,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515134465"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Berkley"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.43 lbs."", ""Dimensions:"": ""6.7\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41cxqop8qfL._SL350_.jpg
Shadow of Night,Deborah Harkness,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670023485"", ""ISBN13:"": ""9780670023486"", ""Release Date:"": ""July 2012"", ""Publisher:"": ""Viking"", ""Length:"": ""592 Pages"", ""Weight:"": ""1.56 lbs."", ""Dimensions:"": ""1.9\"" x 6.4\"" x 9.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C7909A9D325008E055FBF80076F1CB32BAEEE2D4.jpeg
"Dead And Gone (Sookie Stackhouse/True Blood, Book 9)",Charlaine Harris,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0441018513"", ""Release Date:"": ""April 2010"", ""Publisher:"": ""Ace"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.38 lbs."", ""Dimensions:"": ""6.7\"" x 0.8\"" x 4.2\""""}",https://m.media-amazon.com/images/I/5149omBPR0L._SL350_.jpg
White Lies,Jayne Ann Krentz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""039915373X"", ""ISBN13:"": ""9780399153730"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Putnam Adult"", ""Length:"": ""371 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/68E00A5C332C3B03BEC884A4ADBE6F26B518FE13.jpeg
"Sacred Evil (Krewe of Hunters, Book 3)",Heather Graham,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0778312429"", ""Release Date:"": ""July 2011"", ""Publisher:"": ""MIRA"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""6.6\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/516ADU9laHL._SL350_.jpg
