Book Name,Authors,Info,Image URL
The Search for the Green River Killer,Carlton Smith,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451402391"", ""ISBN13:"": ""9780451402394"", ""Release Date:"": ""March 1991"", ""Publisher:"": ""Onyx Books"", ""Length:"": ""512 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""1.4\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D80C789896FE080C2F63965123CFBB5EC63B7762.jpeg
The Riverman: Ted Bundy and I Hunt for the Green River Killer,Robert D. Keppel,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671867636"", ""Release Date:"": ""September 1995"", ""Publisher:"": ""Pocket"", ""Length:"": ""496 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""4.2\"" x 1.1\"" x 6.8\""""}",https://m.media-amazon.com/images/I/51wnTVNOdSL._SL350_.jpg
Deranged: The Shocking True Story of America's Most Fiendish Killer,Harold Schechter,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671678752"", ""ISBN13:"": ""9780671678753"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.9\"" x 4.2\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/6FBA39E725A360D5B2A513118BB62B9E9B24AE86.jpeg
Evil Eyes,Corey Mitchell,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0786016760"", ""ISBN13:"": ""9780786016761"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Pinnacle Books"", ""Length:"": ""426 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""1.2\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/AC9441D25A8AED7FC4F8C50343A7EB09FC9CE1B0.jpeg
Cannibal Killers,Moira Martingale,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312956045"", ""Release Date:"": ""August 1995"", ""Publisher:"": ""St. Martin's Paperbacks"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.33 lbs."", ""Dimensions:"": ""6.8\"" x 0.7\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51N223Os-7L._SL350_.jpg
I Would Find a Girl Walking by Diana Montane (2011-04-05),Diana Montane,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425231860"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Berkley"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""6.8\"" x 0.8\"" x 4.1\""""}",https://m.media-amazon.com/images/I/41kmwv-FkBL._SL350_.jpg
The Boy Next Door,Gretchen Brinck,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0739405136"", ""ISBN13:"": ""9780739405130"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Pinnacle Books/Kensington"", ""Length:"": ""369 Pages"", ""Weight:"": ""1.10 lbs.""}",https://m.media-amazon.com/images/I/511rigvXO7L._SL350_.jpg
"The Encyclopedia of Serial Killers, Second Edition: A Study of the Chilling Criminal Phenomenon from the Angels of Death to the Zodiac Killer",Michael Newton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0816061963"", ""ISBN13:"": ""9780816061969"", ""Release Date:"": ""March 2006"", ""Publisher:"": ""Checkmark Books"", ""Length:"": ""515 Pages"", ""Weight:"": ""3.00 lbs."", ""Dimensions:"": ""1.1\"" x 8.3\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/1A483C001BBFE182B26ED44C470E6D8CCF9ED85D.jpeg
The Jeffrey Dahmer Story: An American Nightmare,Don Davis,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312928408"", ""Release Date:"": ""November 1991"", ""Publisher:"": ""St. Martin's Paperbacks"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""6.7\"" x 0.9\"" x 4.1\""""}",https://m.media-amazon.com/images/I/519ZRSl7HWL._SL350_.jpg
Base Instincts: What Makes Killers Kill?,Jonathan H. Pincus,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""039305022X"", ""ISBN13:"": ""9780393050226"", ""Release Date:"": ""June 2001"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""239 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.0\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/52D7181712FED686D152EB1E19626B6D58919978.jpeg
