Book Name,Authors,Info,Image URL
The Fall,Guillermo del Toro,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061558257"", ""ISBN13:"": ""9780061558252"", ""Release Date:"": ""June 2011"", ""Publisher:"": ""HarperTorch"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.1\"" x 4.2\"" x 7.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/9CBAEA9F5344F2E6D485C8EB4A84B7A6C3F0DB6D.jpeg
Doctor Sleep,Stephen King,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1982138866"", ""ISBN13:"": ""9781982138868"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""656 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""1.5\"" x 4.1\"" x 7.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/234FF48009778046BD255834342A5F39498744FB.jpeg
The Third Gate,Lincoln Child,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307473740"", ""ISBN13:"": ""9780307473745"", ""Release Date:"": ""February 2013"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.1\"" x 4.3\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B213A4097C452AB1C41BC6BD931EA95D09D39F3B.jpeg
The Night Eternal,Guillermo del Toro,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0061558265"", ""ISBN13:"": ""9780061558269"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""371 Pages"", ""Weight:"": ""1.26 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/C57AF3A361F0459886D6BA0448A803B061815B7D.jpeg
"Sacred Evil (Krewe of Hunters, Book 3)",Heather Graham,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0778312429"", ""Release Date:"": ""July 2011"", ""Publisher:"": ""MIRA"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""6.6\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/516ADU9laHL._SL350_.jpg
Falling Angel,William Hjortsberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0151301182"", ""ISBN13:"": ""9780151301188"", ""Release Date:"": ""January 1978"", ""Publisher:"": ""Houghton Mifflin Harcourt P"", ""Length:"": ""242 Pages"", ""Weight:"": ""1.05 lbs.""}",https://m.media-amazon.com/images/I/51gQO2qQubL._SL350_.jpg
Mr. Mercedes,Stephen King,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1476754470"", ""ISBN13:"": ""9781476754475"", ""Release Date:"": ""January 2015"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""1.3\"" x 5.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/AD0EEA4A7F7883E62ABAD0DBCC1EAD65F9F5B90E.jpeg
The Historian,Elizabeth Kostova,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316011770"", ""ISBN13:"": ""9780316011778"", ""Release Date:"": ""June 2005"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""656 Pages"", ""Weight:"": ""1.99 lbs."", ""Dimensions:"": ""1.9\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/470EC61DEACB615CEC01C74E2A1DE86C3150B002.jpeg
Brimstone,Lincoln Child,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""044653143X"", ""ISBN13:"": ""9780446531436"", ""Release Date:"": ""August 2004"", ""Publisher:"": ""Warner Books (NY)"", ""Length:"": ""497 Pages"", ""Weight:"": ""1.61 lbs."", ""Dimensions:"": ""1.7\"" x 6.4\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AA0530595069A79E33C908E1A5CE2AE7F9DE01D2.jpeg
Deeply Odd,Dean Koontz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0553807730"", ""ISBN13:"": ""9780553807738"", ""Release Date:"": ""May 2013"", ""Publisher:"": ""Bantam"", ""Length:"": ""335 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.3\"" x 6.5\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/50B85C2E0B2AC1FE530FE0F79C07F728F79230AE.jpeg
Odd Interlude,Dean Koontz,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345536592"", ""ISBN13:"": ""9780345536594"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Bantam"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.9\"" x 4.1\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/23CB4944883DF2A3B97733B79DA88CCB174840F9.jpeg
All Together Dead (Sookie Stackhouse/True Blood),Charlaine Harris,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0441015816"", ""Release Date:"": ""March 2008"", ""Publisher:"": ""Ace Books"", ""Length:"": ""342 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""6.8\"" x 0.9\"" x 4.1\""""}",https://m.media-amazon.com/images/I/51v77lVi59L._SL350_.jpg
The Gates,John Connolly,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1439172633"", ""ISBN13:"": ""9781439172636"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Atria Books"", ""Length:"": ""296 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.3\"" x 5.1\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/B9D1F1E598F1ED8626A5BA699E67D2809D746D1E.jpeg
Personal Demon,Kelley Armstrong,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307358429"", ""ISBN13:"": ""9780307358424"", ""Release Date:"": ""February 2010"", ""Publisher:"": ""Vintage Books Canada"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/25C538F1F16B109AED11655DB731D4CC66B59DD5.jpeg
"The Fall of the Governor, Part Two",Jay Bonansinga,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250052017"", ""ISBN13:"": ""9781250052018"", ""Release Date:"": ""March 2014"", ""Publisher:"": ""Thomas Dunne Books"", ""Length:"": ""278 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.0\"" x 6.5\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8B65DA3C3C13C75C74B42705C02C9145AD6F22E5.jpeg
