Book Name,Authors,Info,Image URL
The Hobbit: The Enchanting Prelude to the Lord of the Rings,J.R.R. Tolkien,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345339681"", ""ISBN13:"": ""9780345339683"", ""Release Date:"": ""July 1986"", ""Publisher:"": ""Del Rey Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.51 lbs."", ""Dimensions:"": ""0.9\"" x 4.1\"" x 6.8\"""", ""Age Range:"": ""12 to 17 years"", ""Grade Range:"": ""Grades 7 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/ACEA43017E0B5CA3964D97BD27CBF83E5A8F91A6.jpeg
The Great Gatsby,F. Scott Fitzgerald,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743273567"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Scribner"", ""Length:"": ""180 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""8.0\"" x 0.6\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41IkR2Ml51L._SL350_.jpg
"The Chronicles of Narnia - The Lion, the Witch & the Wardrobe",C.S. Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0439847974"", ""ISBN13:"": ""9780439847971"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Scholastic Books"", ""Length:"": ""189 Pages"", ""Weight:"": ""0.28 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/4EBE4E0B421FBD138021ABBEBC6CF6F9ACBB92E4.jpeg
Charlotte's Web: A Newbery Honor Award Winner (Trophy Newbery),E.B. White,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064400557"", ""Release Date:"": ""April 2012"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""184 Pages"", ""Weight:"": ""0.36 lbs."", ""Dimensions:"": ""7.6\"" x 0.4\"" x 5.1\""""}",https://m.media-amazon.com/images/I/61ccl4tmOaL._SL350_.jpg
The 7 Habits of Highly Effective People,Stephen R. Covey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671708635"", ""ISBN13:"": ""9780671708634"", ""Release Date:"": ""September 1990"", ""Publisher:"": ""Free Press"", ""Length:"": ""358 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""1.0\"" x 5.0\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9ECE5DBEB7D777D4FDEA40EB55A241E865E32C78.jpeg
The Handmaid's Tale,Margaret Atwood,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""038549081X"", ""ISBN13:"": ""9780385490818"", ""Release Date:"": ""March 1998"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""0.8\"" x 5.1\"" x 7.9\"""", ""Age Range:"": ""14 to 18 years"", ""Grade Range:"": ""Grade 9 to Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/E94081B550CA10B0B059EA145E3A1E17194ACCFF.jpeg
1984: 75th Anniversary,George Orwell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451524934"", ""Release Date:"": ""January 1961"", ""Publisher:"": ""Signet Classic"", ""Length:"": ""328 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""7.5\"" x 0.8\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41sjzA8EGhL._SL350_.jpg
Harry Potter and the Prisoner of Azkaban – Hufflepuff Edition,J.K. Rowling,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1526606208"", ""Release Date:"": ""June 2019"", ""Publisher:"": ""Bloomsbury Children's Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""5.5\"" x 1.4\"" x 8.0\""""}",https://m.media-amazon.com/images/I/41Xhx44iGZL._SL350_.jpg
To Kill a Mockingbird,Harper Lee,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446310786"", ""ISBN13:"": ""9780446310789"", ""Release Date:"": ""October 1988"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.39 lbs."", ""Dimensions:"": ""1.1\"" x 4.1\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/DB4854583331B76620DCC8F063EFF2A9A2C1992A.jpeg
Pride and Prejudice (Bantam Classics),Jane Austen,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553213105"", ""Release Date:"": ""December 1983"", ""Publisher:"": ""Bantam Classics"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.69 lbs."", ""Dimensions:"": ""6.9\"" x 0.8\"" x 4.1\""""}",https://m.media-amazon.com/images/I/410V9KJISjL._SL350_.jpg
The Giver (Giver Quartet),Lois Lowry,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440237688"", ""ISBN13:"": ""9780440237686"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Laurel-Leaf"", ""Length:"": ""179 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""6.8\"" x 0.6\"" x 4.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/BEDA3F89D03E6396F1A03A051528969418E9772B.jpeg
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316015849"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Little, Brown Books for Young Readers"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""8.3\"" x 2.0\"" x 5.5\""""}",https://m.media-amazon.com/images/I/318nujF5v5L._SL350_.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""059035342X"", ""ISBN13:"": ""9780590353427"", ""Release Date:"": ""September 1998"", ""Publisher:"": ""Arthur A. Levine Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 7.6\"""", ""Age Range:"": ""9 to 13 years"", ""Grade Range:"": ""Grades 4 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/7C52EE6118BB38DCD7D1EA79C81AE53D0E80859C.jpeg
Harry Potter and the Chamber of Secrets,J.K. Rowling,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0439064872"", ""ISBN13:"": ""9780439064873"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Scholastic Paperbacks"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""1.0\"" x 5.2\"" x 7.5\"""", ""Age Range:"": ""9 to 13 years"", ""Grade Range:"": ""Grades 4 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/7676B986CBA89E49968F192A6C5CAC8FC194E578.jpeg
Catching Fire (The Hunger Games),Suzanne Collins,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439023491"", ""Release Date:"": ""September 2009"", ""Publisher:"": ""Scholastic Press"", ""Length:"": ""391 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""9.0\"" x 1.5\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51nJ3eDhl5L._SL350_.jpg
Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439784549"", ""Release Date:"": ""August 2005"", ""Publisher:"": ""Arthur A. Levine Books"", ""Length:"": ""672 Pages"", ""Weight:"": ""2.15 lbs."", ""Dimensions:"": ""9.3\"" x 2.0\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51uO1pQc5oL._SL350_.jpg
It Ends with Us,Colleen Hoover,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1982143657"", ""ISBN13:"": ""9781982143657"", ""Release Date:"": ""January 1"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""1.1\"" x 4.1\"" x 6.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/B4F16E1FE8D08D7F5D5B3C85420F0419F2B5AFD6.jpeg
Where the Crawdads Sing: Reese's Book Club (a Novel),Delia Owens,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0735219109"", ""ISBN13:"": ""9780735219106"", ""Release Date:"": ""March 2021"", ""Publisher:"": ""G.P. Putnam's Sons"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.77 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/4EF93472EA3E6AED014C278809DF54AB59829790.jpeg
A Stranger in the House,Shari Lapena,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400026954"", ""ISBN13:"": ""9781400026951"", ""Release Date:"": ""January 2019"", ""Publisher:"": ""Seal Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.45 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/1B354887E47960BAE8FA17F9A6D5968CEE572BA1.jpeg
Luckiest Girl Alive,Jessica Knoll,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1476789649"", ""ISBN13:"": ""9781476789644"", ""Release Date:"": ""April 2016"", ""Publisher:"": ""S&s/ Marysue Rucci Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/037FF17E28000D53B91AB51022B49A1B5EF481C4.jpeg
World Without End: A Novel (Kingsbridge),Ken Follett,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451228375"", ""Release Date:"": ""July 2010"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""1024 Pages"", ""Weight:"": ""0.94 lbs."", ""Dimensions:"": ""6.7\"" x 1.5\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51aKjwBYV8L._SL350_.jpg
Fall of Giants,Ken Follett,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451232852"", ""ISBN13:"": ""9780451232854"", ""Release Date:"": ""September 2012"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""960 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""1.7\"" x 4.3\"" x 6.8\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/AC226F60024AEA726FC8B80AD96CF9E582494BA6.jpeg
Order,Daniel Silva,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062834843"", ""ISBN13:"": ""9780062834843"", ""Release Date:"": ""July 2020"", ""Publisher:"": ""Harper"", ""Length:"": ""464 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.7\"" x 6.2\"" x 9.1\""""}",https://m.media-amazon.com/images/I/519uxwI79rL._SL350_.jpg
The Passage,Justin Cronin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345504976"", ""ISBN13:"": ""9780345504975"", ""Release Date:"": ""May 2011"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""800 Pages"", ""Weight:"": ""1.41 lbs."", ""Dimensions:"": ""1.4\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/3B03C958E76F65DA307A8358EEC3A50BF224A087.jpeg
Chaos,Patricia Cornwell,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062436708"", ""ISBN13:"": ""9780062436702"", ""Release Date:"": ""February 2019"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""1.3\"" x 4.1\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/54BB82562CB137C25C532FCF1F2FE6A6FB1F4CA8.jpeg
The Late Show,Michael Connelly,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1455524220"", ""ISBN13:"": ""9781455524228"", ""Release Date:"": ""August 2018"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""1.1\"" x 4.1\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/08F4AEB7CA18D53B3866E475D109C365E152ACA7.jpeg
Listening Woman,Tony Hillerman,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061000299"", ""Release Date:"": ""July 1990"", ""Publisher:"": ""HarperTorch"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.30 lbs.""}",https://m.media-amazon.com/images/I/51kURd3QpBS._SL350_.jpg
"Living Dead in Dallas (Sookie Stackhouse/True Blood, Book 2)",Charlaine Harris,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0441009239"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""Ace Books"", ""Length:"": ""291 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""6.8\"" x 0.8\"" x 4.1\""""}",https://m.media-amazon.com/images/I/41+0Iz8urgL._SL350_.jpg
Cruel & Unusual (Kay Scarpetta Mysteries),Patricia Cornwell,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0380718340"", ""Release Date:"": ""May 1994"", ""Publisher:"": ""Avon"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""6.8\"" x 1.0\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51Q1594-AhL._SL350_.jpg
NYPD Red,James Patterson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""145552154X"", ""ISBN13:"": ""9781455521548"", ""Release Date:"": ""June 2013"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.2\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2371612EEECB910C0AFFDF6866B646BFFB319ADD.jpeg
Ford County: Stories,John Grisham,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385532458"", ""Release Date:"": ""November 2009"", ""Publisher:"": ""Doubleday"", ""Length:"": ""308 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""8.5\"" x 1.1\"" x 5.7\""""}",https://m.media-amazon.com/images/I/41beGh0WU6L._SL350_.jpg
Hot Six,Janet Evanovich,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312976275"", ""ISBN13:"": ""9780312976279"", ""Release Date:"": ""June 2001"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""1.0\"" x 4.1\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/DC61544A2FCCF378C276BE9ACB48197C4E12367F.jpeg
Act of Treason,Vince Flynn,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0743270371"", ""ISBN13:"": ""9780743270373"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Atria Books"", ""Length:"": ""413 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""1.4\"" x 6.3\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/700ED0239A3C7BFD4E39026244E9888C1D32835D.jpeg
Brother Odd,Dean Koontz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0553804804"", ""ISBN13:"": ""9780553804805"", ""Release Date:"": ""November 2006"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""364 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""1.4\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/0D2DB73AE119146882AA708E89E3B45A75425D64.jpeg
State of the Union,Brad Thor,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743436784"", ""ISBN13:"": ""9780743436786"", ""Release Date:"": ""May 2005"", ""Publisher:"": ""Pocket Books"", ""Length:"": ""532 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""1.3\"" x 4.1\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/D97F6A35A45DFE7841C2002977539C6599E159F4.jpeg
Guess How Much I Love You Padded Board Book,Sam McBratney,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""0763649767"", ""Release Date:"": ""August 2011"", ""Publisher:"": ""Candlewick"", ""Length:"": ""28 Pages"", ""Weight:"": ""0.81 lbs."", ""Dimensions:"": ""8.3\"" x 0.9\"" x 7.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/3FC2193F0DEE72FED74D70124C4EF3458705FB45.jpeg
Little Women,Louisa May Alcott,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1503280292"", ""ISBN13:"": ""9781503280298"", ""Release Date:"": ""November 2018"", ""Publisher:"": ""Createspace Independent Publishing Platform"", ""Length:"": ""286 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.7\"" x 4.4\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0E4AA7814EE3BD6880AFE862008082F4B6C87870.jpeg
Where's Spot?,Eric Hill,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""0399240462"", ""Release Date:"": ""June 2003"", ""Publisher:"": ""Warne"", ""Length:"": ""22 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""6.3\"" x 0.6\"" x 6.1\""""}",https://m.media-amazon.com/images/I/41hvrFO1tzL._SL350_.jpg
A Bad Case of Stripes,David Shannon,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0590929976"", ""ISBN13:"": ""9780590929974"", ""Release Date:"": ""March 1998"", ""Publisher:"": ""Scholastic Paperbacks"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.15 lbs."", ""Dimensions:"": ""0.2\"" x 7.8\"" x 9.8\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/5E2B7AFB416EE1AFC031D9D9CA9E99105F3FC888.jpeg
The Grouchy Ladybug,Eric Carle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062043544"", ""ISBN13:"": ""9780062043542"", ""Release Date:"": ""January 1977"", ""Publisher:"": ""Harper"", ""Length:"": ""41 Pages"", ""Weight:"": ""0.77 lbs."", ""Dimensions:"": ""8.5\"" x 8.8\"" x 0.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/9967C276AB1730646D6B4E72FBEF574DFA9BDDA7.jpeg
Hop on Pop,Dr. Seuss,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""0375828370"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Random House Books for Young Readers"", ""Length:"": ""24 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""5.8\"" x 0.5\"" x 4.3\""""}",https://m.media-amazon.com/images/I/41Jws+GUEcL._SL350_.jpg
Little Bear (An I Can Read Book),Else Holmelund Minarik,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064440044"", ""Release Date:"": ""February 2003"", ""Publisher:"": ""Harper Trophy"", ""Length:"": ""63 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""8.3\"" x 0.2\"" x 5.4\""""}",https://m.media-amazon.com/images/I/51JZQ-DBhoL._SL350_.jpg
